階層コード,地域コード,地域,人口総数／令和４年3月１日,人口総数／令和３年3月１日,人口総数／令和２年3月１日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,13972039,14018509,14018479,-46470,-0.33,-46440,-0.33
1,13100,区部,9660461,9706508,9713620,-46047,-0.47,-53159,-0.55
1,13200,市部,4232684,4232322,4224283,362,0.01,8401,0.2
1,13300,郡部,54916,55323,55789,-407,-0.74,-873,-1.56
1,13350,島部,23978,24356,24787,-378,-1.55,-809,-3.26
,,,,,,,,,
東京都の人口（推計）_令和４年3月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
