階層コード,地域コード,地域,人口総数／2022-10-01,人口総数／2021-10-01,人口総数／2020-10-01,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14040732,14011487,14047594,29245,0.21,-6862,-0.05
1,13100,区部,9720389,9691689,9733276,28700,0.3,-12887,-0.13
1,13200,市部,4241974,4240673,4234381,1301,0.03,7593,0.18
1,13300,郡部,54636,55015,55476,-379,-0.69,-840,-1.51
1,13350,島部,23733,24110,24461,-377,-1.56,-728,-2.98
,,,,,,,,,
東京都の人口（推計）_令和4年10月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
