階層コード,地域コード,地域,人口総数／2022-12-01,人口総数／2021-12-01,人口総数／2020-12-01,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14042127,13998001,14039210,44126,0.32 ,2917,0.02 
1,13100,区部,9722792,9679649,9724111,43143,0.45 ,-1319,-0.01 
1,13200,市部,4241080,4239255,4235226,1825,0.04 ,5854,0.14 
1,13300,郡部,54560,55010,55447,-450,-0.82 ,-887,-1.60 
1,13350,島部,23695,24087,24426,-392,-1.63 ,-731,-2.99 
,,,,,,,,,
東京都の人口（推計）_令和4年12月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
