階層コード,地域コード,地域,人口総数／令和4年8月1日,人口総数／令和3年8月1日,人口総数／令和2年8月1日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14036936,14026137,14067911,10799,0.08,-30975,-0.22
1,13100,区部,9716115,9705259,9752268,10856,0.11,-36153,-0.37
1,13200,市部,4242264,4241630,4235613,634,0.01,6651,0.16
1,13300,郡部,54762,55076,55558,-314,-0.57,-796,-1.43
1,13350,島部,23795,24172,24472,-377,-1.56,-677,-2.77
,,,,,,,,,
東京都の人口（推計）_令和4年8月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
