階層コード,地域コード,地域,人口総数／令和４年1月１日,人口総数／令和３年1月１日,人口総数／令和２年1月１日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,13988129,14036721,14016160,-48592,-0.35,-28031,-0.2
1,13100,区部,9671141,9721032,9708575,-49891,-0.51,-37434,-0.39
1,13200,市部,4237962,4235873,4226814,2089,0.05,11148,0.26
1,13300,郡部,54993,55409,55924,-416,-0.75,-931,-1.66
1,13350,島部,24033,24407,24847,-374,-1.53,-814,-3.28
,,,,,,,,,
東京都の人口（推計）_令和４年１月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
