階層コード,地域コード,地域,人口総数／令和４年2月１日,人口総数／令和３年2月１日,人口総数／令和２年2月１日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,13980485,14029400,14019098,-48915,-0.35,-38613,-0.28
1,13100,区部,9665798,9716013,9712667,-50215,-0.52,-46869,-0.48
1,13200,市部,4235749,4233718,4225765,2031,0.05,9984,0.24
1,13300,郡部,54923,55305,55854,-382,-0.69,-931,-1.67
1,13350,島部,24015,24364,24812,-349,-1.43,-797,-3.21
,,,,,,,,,
東京都の人口（推計）_令和４年2月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
