地域階層,地域コード,地域,人口／総数,人口／男,人口／女,性比（女100に対する男の割合）,人口総数に対する割合（％）,面積（ｋm2）注１）,人口密度（1ｋm2当たり）,前月人口との増減,＜参考値＞世帯数
0,13000,総数,13995469,6864127,7131342,96.3,100,2194.05,6379,23430,7269268
1,13100,区部,9680548,4742833,4937715,96.1,69.17,627.53,15426,20087,5232813
1,13200,市部,4236727,2081710,2155017,96.6,30.27,783.95,5404,4043,2002154
2,13300,郡部,54837,27298,27539,99.1,0.39,375.86,146,-79,21959
2,13350,島部,23357,12286,11071,111,0.17,406.71,57,-621,12342
1,13100,区部,9680548,4742833,4937715,96.1,69.17,627.53,15426,20087,5232813
4,13101,千代田区,66914,33703,33211,101.5,0.48,11.66,5739,129,37243
4,13102,中央区,171249,81717,89532,91.3,1.22,10.21,16773,437,94231
4,13103,港区,259376,122607,136769,89.6,1.85,20.37,12733,1103,146244
4,13104,新宿区,345683,172827,172856,100,2.47,18.22,18973,321,221640
4,13105,文京区,240510,115493,125017,92.4,1.72,11.29,21303,737,134184
4,13106,台東区,212754,109001,103753,105.1,1.52,10.11,21044,522,127067
4,13107,墨田区,273234,134945,138289,97.6,1.95,13.77,19843,845,149126
4,13108,江東区,524764,257770,266994,96.5,3.75,43.01,12201,1879,267763
4,13109,品川区,419364,206886,212478,97.4,3,22.84,18361,1089,236869
4,13110,目黒区,284421,133751,150670,88.8,2.03,14.67,19388,448,154130
4,13111,大田区,741032,369448,371584,99.4,5.29,61.86,11979,1967,400222
4,13112,世田谷区,938552,442657,495895,89.3,6.71,58.05,16168,1929,491603
4,13113,渋谷区,241891,116846,125045,93.4,1.73,15.11,16009,262,149026
4,13114,中野区,342258,170969,171289,99.8,2.45,15.59,21954,1065,207250
4,13115,杉並区,587324,282397,304927,92.6,4.2,34.06,17244,1936,335425
4,13116,豊島区,298004,149333,148671,100.4,2.13,13.01,22906,518,182449
4,13117,北区,353037,175331,177706,98.7,2.52,20.61,17129,526,190491
4,13118,荒川区,216406,107111,109295,98,1.55,10.16,21300,155,112515
4,13119,板橋区,580623,283621,297002,95.5,4.15,32.22,18021,997,316248
4,13120,練馬区,749848,359645,390203,92.2,5.36,48.08,15596,814,376984
4,13121,足立区,692474,345709,346765,99.7,4.95,53.25,13004,1193,350436
4,13122,葛飾区,451322,224537,226785,99,3.22,34.8,12969,852,218592
4,13123,江戸川区,689508,346529,342979,101,4.93,49.9,13818,363,333075
1,13200,市部,4236727,2081710,2155017,96.6,30.27,783.95,5404,4043,2002154
4,13201,八王子市,578940,290892,288048,101,4.14,186.38,3106,774,271389
4,13202,立川市,184343,91288,93055,98.1,1.32,24.36,7567,406,91518
4,13203,武蔵野市,150772,72224,78548,91.9,1.08,10.98,13732,288,78631
4,13204,三鷹市,195624,94451,101173,93.4,1.4,16.42,11914,79,96812
4,13205,青梅市,132006,65915,66091,99.7,0.94,103.31,1278,-170,57108
4,13206,府中市,262610,131014,131596,99.6,1.88,29.43,8923,238,125151
4,13207,昭島市,114428,56910,57518,98.9,0.82,17.34,6599,288,53206
4,13208,調布市,243372,117278,126094,93,1.74,21.58,11278,506,122038
4,13209,町田市,432682,211044,221638,95.2,3.09,71.55,6047,777,196066
