年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(生)(100g)/円,1116かつお(たたき)(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきだけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1517しらぬひ(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成27年10月,2015,10,405,94,89,282,190,147,284,119,95,588,255,87,288,330,123,465,237,879,266,222,195,135,132,277,984,239,640,710,152,811,1654,492,328,700,182,362,819,248,978,755,1596,...,2139,397,546,715,803,863,1762,1119,565,793,565,...,530,785,301,449,...,...,620,...,1199,460,...,...,...,...,...,243,851,190,216,312
平成27年11月,2015,11,400,88,103,...,...,141,282,115,82,578,244,89,283,325,125,428,230,880,266,220,195,135,130,192,669,164,499,389,149,591,1693,460,315,606,138,337,797,239,946,741,1549,...,1812,390,518,644,680,737,1724,...,539,782,...,456,503,778,328,449,...,...,...,...,...,445,...,...,...,...,...,244,868,189,216,315
平成27年11月上旬,2015,11上,402,92,107,...,...,133,...,121,82,590,234,85,...,...,...,436,...,...,...,...,...,...,...,206,721,198,512,435,...,670,1668,...,...,...,151,...,...,240,957,...,...,...,1804,376,508,658,730,734,...,...,...,...,...,479,505,...,...,...,...,...,...,...,...,434,...,...,...,...,...,245,...,189,215,313
平成27年11月中旬,2015,11中,393,90,102,...,...,152,282,118,80,578,243,96,283,325,125,425,230,880,266,220,195,135,130,210,690,164,512,384,149,638,1680,460,315,606,145,337,797,238,927,741,1549,...,1816,395,481,646,689,754,1724,...,539,782,...,461,489,778,328,449,...,...,...,...,...,423,...,...,...,...,...,240,868,189,216,314
平成27年11月下旬,2015,11下,405,82,100,...,...,137,...,107,85,566,254,85,...,...,...,424,...,...,...,...,...,...,...,160,595,129,472,346,...,465,1730,...,...,...,117,...,...,240,953,...,...,...,1815,400,565,629,622,723,...,...,...,...,...,429,514,...,...,...,...,...,...,...,...,477,...,...,...,...,...,248,...,189,216,317
平成27年12月上旬,2015,12上,401,88,88,...,...,153,...,100,87,572,252,102,...,...,...,413,...,...,...,...,...,...,...,137,622,119,489,392,...,467,1853,...,...,...,105,...,...,229,953,...,...,...,1913,420,772,728,600,712,...,...,...,...,...,449,519,...,...,...,...,...,...,...,...,527,...,...,...,1813,...,237,...,192,217,321
平成27年12月中旬,2015,12中,402,87,94,...,...,120,286,107,80,572,258,84,286,317,131,412,236,898,264,222,196,138,133,134,682,109,568,491,152,477,1944,456,303,601,108,317,816,234,933,755,1544,...,1950,441,818,814,596,759,1742,...,538,746,...,446,520,706,453,451,...,...,...,...,...,581,...,...,...,1745,...,240,880,193,220,331
銘柄改正年月,,,,,,,H27.1,,,,,,,,,,,,,,,H27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H27.1,,,,,,,,,,H27.1,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成27年12月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
