"年度[西暦]","コミュニティ振興 事業数[件]","コミュニティ振興 延参加者数[人]","MINATOシティハーフマラソン 延参加者数[人]","みなと区民まつり 延参加者数[人]","区民まつり (内スポーツ･体育祭 延参加者数)","区民まつり参加団体数(WEBでみなと区民まつり)","スポーツ振興 事業数[件]","スポーツ振興 延参加者数[人]","文化振興・生涯学習支援 事業数[件]","文化振興・生涯学習支援 延参加者数[人]","健康増進 事業数[件]","健康増進 延参加者数[人]","合計 事業数[件]","合計 参加団体数[団体]","合計 延参加者数[人]"
"2018","9","7582","5276","122570","13420",,"40","10095","105","45234","2","531","158",,"191288"
"2019","10","8397","5869","11917","11917",,"38","8536","82","31515","20","629","152",,"66863"
"2020","11","3786",,,,"110","40","5529","66","9445","20","685","137","110","19445"
"2021","11","92",,,,"136","39","6886","56","10750","24","1338","130","136","19066"
"2022","12","3938","5305","200250","10250",,"49","13766","70","14255","18","757","151",,"238271"

"令和5年度港区行政資料集　公益財団法人港区スポーツふれあい文化健康財団 事業実施状況","Ver202303",,,,,,,,,,,,,,
