"年度[西暦]","あっぴぃ台場 利用者数[人]","あっぴぃ麻布 利用者数[人]","あっぴぃ港南 利用者数[人]","あっぴぃ港南四丁目 利用者数[人]","あっぴぃ新橋 利用者数[人]","あっぴぃ西麻布 利用者数[人]","あっぴぃ芝浦 利用者数[人]","あっぴぃ赤坂 利用者数[人]","あっぴぃ白金台 利用者数[人]"
"2018","7878","20936","3762","10822","6036","15334","31406","13058","9957"
"2019","7581","19060","3496","13826","6586","13009","28788","12983","9803"
"2020","2494","2759","1108","4726","1173","1787","7936","2304","3621"
"2021","3708","5567","1419","7022","1272","2519","15144","3864","5713"
"2022","3684","10504","1615","5791","2458","3027","20372","4827","5400"

"令和5年度港区行政資料集　子育てひろば事業実施状況","Ver202303",,,,,,,,
