海区,Sea region,区分,Classification,区分,Classification,生産金額 Value
総数,Total,総数,Total,,,3826783
総数,Total,魚類,Fish,総数,Total,3219728
総数,Total,魚類,Fish,きんめだい,Alfonsino,1579271
総数,Total,魚類,Fish,かじき類,Swordfish,232038
総数,Total,魚類,Fish,いさき,Grunt,57517
総数,Total,その他の水産動物,Other marine animals,総数,Total,438388
総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,169192
総数,Total,その他の水産動物,Other marine animals,いか,Squid,42885
総数,Total,その他の水産動物,Other marine animals,かめ ,Sea turtle　,9604
総数,Total,貝類,Shellfish,総数,Total,65381
総数,Total,貝類,Shellfish,さざえ,Top shell,13916
総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,19237
総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,15903
総数,Total,藻類,Seaweed,総数,Total,103287
総数,Total,藻類,Seaweed,てんぐさ,Tengusa,96414
総数,Total,藻類,Seaweed,とさかのり,Comb paste,5444
東京湾海区,Tokyo bay area,総数,Total,,,296298
東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,268847
東京湾海区,Tokyo bay area,魚類,Fish,あなご,Conger,19006
東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,164572
東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,41576
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,434
東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,26954
東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,19237
東京湾海区,Tokyo bay area,貝類,Shellfish,その他,Others,7717
東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,63
大島海区,Oshima sea area,総数,Total,,,1578072
大島海区,Oshima sea area,魚類,Fish,総数,Total,1278181
大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,864997
大島海区,Oshima sea area,魚類,Fish,いさき,Grunt,57357
大島海区,Oshima sea area,魚類,Fish,たかべ,Yellow striped butterfish,68691
