年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税 交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,特別地方消費税交付金 Special local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,国有提供施設等所在市町村助成交付金 Subsidies to municipalities where national facilities are located,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成26,2014,13200,,市部,All shi,1502932,713044,6269,5209,12092,53204,381,-,2090,2814,41790,486,12731,16384,14087,244117,3096,191299,5697,2032,37635,47986,16959,73530
平成27,2015,13200,,市部,All shi,1551889,714961,6534,4473,10653,94425,410,-,2937,2725,38215,505,14030,16194,14819,257213,2905,194744,5534,3024,32598,44540,16648,73801
平成28,2016,13200,,市部,All shi,1560674,715409,6525,1226,6319,84332,417,-,2969,2806,34709,475,14854,16170,14567,269398,2895,201360,4727,2327,46170,52938,14491,65589
平成28,2016,13201,1,八王子市,Hachioji-shi,195933,89168,973,148,763,11950,96,-,444,397,3754,75,2037,1886,2535,36553,2,25940,408,107,497,4875,1427,11901
平成28,2016,13202,2,立川市,Tachikawa-shi,78160,39199,265,51,262,4137,-,-,120,127,35,23,593,970,625,14838,232,8636,71,84,168,4391,1024,2309
平成28,2016,13203,3,武蔵野市,Musashino-shi,70918,40361,183,67,348,3218,-,-,83,38,50,15,439,873,688,9173,-,6260,168,3,3706,2924,618,1704
平成28,2016,13204,4,三鷹市,Mitaka-shi,69939,38097,260,69,356,3718,-,-,119,95,48,19,536,903,446,10863,-,8001,155,40,1699,1454,554,2507
平成28,2016,13205,5,青梅市,Ome-shi,49994,20086,283,32,167,2859,53,-,129,92,2503,21,943,508,555,8853,-,7381,766,29,1087,821,564,2263
平成28,2016,13206,6,府中市,Fuchu-shi,109897,51080,398,80,410,5459,-,-,181,198,41,28,789,1513,1054,20720,4,11580,1046,909,2303,4689,1760,5657
平成28,2016,13207,7,昭島市,Akishima-shi,43842,19049,169,28,146,2371,28,-,77,79,287,12,628,468,440,9176,13,5869,34,2,2256,1123,266,1320
平成28,2016,13208,8,調布市,Chofu-shi,89754,44735,329,78,402,4551,10,-,149,143,55,24,1108,1203,644,13467,-,10198,144,290,2306,5804,407,3708
平成28,2016,13209,9,町田市,Machida-shi,144519,68691,714,126,647,8585,45,-,325,316,760,51,1543,954,1916,26468,-,18377,492,55,3562,4958,1219,4715
平成28,2016,13210,10,小金井市,Koganei-shi,42321,21246,162,43,221,2311,-,-,73,61,42,10,279,515,438,6546,-,6227,25,3,1790,1588,270,473
平成28,2016,13211,11,小平市,Kodaira-shi,63172,30645,256,54,280,3758,17,-,116,139,534,19,498,745,265,11003,-,8831,89,33,2630,1182,448,1630
平成28,2016,13212,12,日野市,Hino-shi,68797,29957,298,52,268,3656,-,-,135,143,780,22,510,766,713,10907,-,8812,90,203,3615,3136,1402,3332
平成28,2016,13213,13,東村山市,Higashimurayama-shi,54383,20512,229,39,199,2950,-,-,104,117,4037,15,336,677,554,10305,-,8563,82,65,1476,674,370,3081
平成28,2016,13214,14,国分寺市,Kokubunji-shi,48036,22571,177,44,226,2398,-,-,80,64,42,10,603,672,404,7230,-,6087,130,34,3685,2161,708,710
平成28,2016,13215,15,国立市,Kunitachi-shi,30038,14956,115,28,145,1531,-,-,52,40,79,9,226,447,180,4909,-,4366,147,119,780,509,372,1030
平成28,2016,13218,16,福生市,Fussa-shi,26689,8012,90,14,73,1184,-,-,41,29,2359,10,241,183,197,6003,1618,3590,17,5,935,1564,153,373
平成28,2016,13219,17,狛江市,Komae-shi,28044,12108,111,25,130,1495,-,-,50,53,1532,7,217,286,323,4399,-,4030,57,147,390,1026,331,1326
平成28,2016,13220,18,東大和市,Higashiyamato-shi,34698,12786,145,21,110,1650,-,-,66,72,1735,11,385,153,335,5870,-,4738,28,4,2403,1303,216,2668
平成28,2016,13221,19,清瀬市,Kiyose-shi,29883,9395,115,18,91,1443,-,-,52,56,3758,7,203,215,182,6032,32,4522,190,12,857,1103,144,1457
平成28,2016,13222,20,東久留米市,Higashikurume-shi,39951,16678,184,31,157,2253,-,-,84,91,2777,14,316,396,78,7383,-,5897,19,43,45,1307,356,1845
平成28,2016,13223,21,武蔵村山市,Musashimurayama-shi,28392,10126,125,15,76,1446,-,-,57,63,1891,11,286,126,136,5996,467,4576,9,10,912,744,274,1048
