種類,Type,項番 Item number,区分,Classification,マーク Mark,総額 Total value,土地 Land／面積 Area(m2),土地 Land／価格 Value,建物 Buildings／延面積 Total floor space(m2),建物 Buildings／価格 Value,工作物 Structures,立木 Timber,船舶 Ships,航空機 Aircraft,浮標，浮さん橋，浮ドック Buoys， floating piers and docks,地上権等 Surface rights， etc.,特許権等 Patent rights， etc.,株式等 Securities， etc.,出資による権利 Rights based on investments,信託の受益権  Rights based in trusts
一般財産 ,General assets,1,総額,Total,,11628268,89575199,6029184,27582518,3539068,973524,961,10701,6517,1887,6640,9158,240832,631577,178218
一般財産 ,General assets,2,行政財産,Administrative assets,,9593592,81602666,5509054,26548756,3180874,878796,866,10503,6517,1537,5443,-,-,-,-
一般財産 ,General assets,3,普通財産,Non-administrative assets,,2034676,7972533,520130,1033762,358194,94728,95,198,-,350,1196,9158,240832,631577,178218
準公営企業用財産 ,Quasi-autonomous public enterprise assets,4,総額,Total,,2459671,13191964,1509007,1932839,312020,475478,1,113,-,-,250,160,112417,6,50218
準公営企業用財産 ,Quasi-autonomous public enterprise assets,5,行政財産,Administrative assets,,1519743,6281842,781108,1879192,310718,427553,1,113,-,-,250,-,-,-,-
準公営企業用財産 ,Quasi-autonomous public enterprise assets,6,普通財産,Non-administrative assets,,939928,6910122,727899,53647,1302,47925,-,-,-,-,-,160,112417,6,50218
公営企業用財産,Public enterprise assets,,,,1),13542642,256355524,972083,3095956,1149538,11381358,1966,150,-,-,334,-,35836,1377,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (1) 都有 (平成28年度末) 21-9  PUBLIC ASSETS  (1) ASSETS OWNED BY THE TOKYO METROPOLITAN GOVERNMENT ( End of Fiscal Year 2016 ),,,,,,,,,,,,,,,,,,,,
注1) 行政財産及び普通財産の合計額である。　,,,,,,,,,,,,,,,,,,,,
Note:1) Figures are the total amounts of “administrative assets” and “non-administrative assets.”,,,,,,,,,,,,,,,,,,,,
資料：都財務局財産運用部総合調整課 Source: Bureau of Finance， TMG,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,
