年次,Year,月次 ,Month,店舗数 Stores,営業日数 (日) Business Days (days),従業者数 (人) Number of Employees (persons),売場面積 Sales Floor Area (1000m2),販売額 Sales／総額 Total,販売額 Sales／紳士服・洋品 Men's Clothes,販売額 Sales／婦人・子供服・洋品 Women's and Children's Clothes,販売額 Sales／その他の衣料品 Other Clothing,販売額 Sales／身の回り品 Accessories,販売額 Sales／飲食料品 Food and Beverages,販売額 Sales／家具 Furniture,販売額 Sales／家庭用電気機械器具 Household Electric Appliances,販売額 Sales／家庭用品 Household Equipment,販売額 Sales／その他の商品 Others,販売額 Sales／食堂・喫茶 Restaurants and Cafe,商品券 Gift Certificate
平成24,2012,総数,Total,35,364.5,22496,1204,1832967,142745,420765,39116,235609,497384,30821,14253,63117,344145,45012,52091
平成25,2013,総数,Total,34,363.6,22651,1171,1877377,147760,428301,39965,248449,491422,31034,14602,63383,367280,45181,46632
平成26,2014,総数,Total,34,363.6,22388,1138,1914381,152560,428293,40996,258032,494300,30645,14525,64074,385993,44962,43945
平成27,2015,総数,Total,34,363.7,22096,1139,1973941,155507,425729,40377,274892,500741,29500,14203,66332,420945,45715,41967
平成28,2016,総数,Total,34,364.5,21692,1153,1924232,147308,399586,39136,264213,494749,28382,13216,61900,432643,43100,39256
平成28,2016,1,Jan.,34,30.3,21994,1139,168733,14964,41965,3739,25007,36351,2217,1130,5516,34172,3672,2058
平成28,2016,2,Feb.,34,28.6,21752,1139,144053,9462,28512,3001,19274,37887,2686,1010,4936,34064,3221,2097
平成28,2016,3,Mar.,34,31,21599,1153,170692,12497,39699,3229,22833,39066,3239,1236,6029,39167,3697,3285
平成28,2016,4,Apr.,34,30,22157,1153,150460,12265,33043,2889,21650,32826,2152,880,5917,35403,3435,2584
平成28,2016,5,May,34,31,22177,1153,150708,13625,32299,3046,21629,33053,1937,1061,5058,35369,3632,2452
平成28,2016,6,June,34,30,22273,1153,156244,11084,28211,3229,20289,47020,2091,967,4872,35010,3472,5005
平成28,2016,7,July,34,31,22085,1153,178046,13070,37536,4013,25205,48524,2266,1016,5078,37167,4172,4541
平成28,2016,8,Aug.,34,30.6,21997,1153,126828,7401,22500,2896,17782,32647,2465,1151,4092,32216,3677,2025
平成28,2016,9,Sept.,34,30,21842,1153,136382,9257,29325,2768,19462,32404,2036,859,4618,32298,3357,2118
平成28,2016,10,Oct.,34,31,21685,1153,151958,14264,35211,3210,20787,33557,2152,748,4682,33950,3398,2251
平成28,2016,11,Nov.,34,30,21830,1153,173255,14240,34880,3430,20993,50176,2211,2179,4851,36933,3362,4783
平成28,2016,12,Dec.,34,31,21692,1153,216872,15178,36406,3686,29301,71240,2931,979,6252,46894,4006,6058
平成28,2016,区部(再掲),All ku ( Relisted ),23,364.6,19292,942,1729044,135666,355884,32881,244134,427500,26402,12861,56267,401368,36081,34999
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,
12-3  大型小売店販売額 (1) 百貨店（平成24～28年） 12-3  LARGE-SCALE RETAIL STORE SALES (1) DEPARTMENT STORES ( 2012-2016 ),,,,,,,,,,,,,,,,,,,
「大型小売店」とは，  従業者50人以上の百貨店及びスーパーをいう。,,,,,,,,,,,,,,,,,,,
日本標準産業分類の百貨店のうちスーパーに該当しない事業所で，かつ売場面積が区部においては3，000m2以上，その他の地域では1，500m2以上の事業所をいう。 ,,,,,,,,,,,,,,,,,,,
Large-scale retail stores refer to department stores and supermarkets with 50 or more employees.,,,,,,,,,,,,,,,,,,,
Department stores are establishments classified as department stores under the Japan Standard Industrial Classification but are not supermarkets， with a floor space of 3，000m2 or more in the All ku area and 1，500m2 or more in all other areas.,,,,,,,,,,,,,,,,,,,
注 1) 年計の事業所数，  従業者及び売場面積の数値は， 12月末の数である。,,,,,,,,,,,,,,,,,,,
Note: 1) Annual figures for the number of establishments， employees， and sales floor space are year-end numbers.,,,,,,,,,,,,,,,,,,,
資料：経済産業省 「商業動態統計年報」（ホームページ）  Source: Ministry of Economy， Trade and Industry,,,,,,,,,,,,,,,,,,,
（単位  金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,
