観測地,Observatory,総数 Total,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月  Oct.,11月 Nov.,12月 Dec.
東京,Tokyo,1779,85,57,103,120,137.5,174.5,81.5,414,287,96.5,139,84
江戸川臨海,Edogawarinkai,1538.5,66.5,65.5,134.5,105.5,138.5,175.5,87.5,205.5,270.5,91,128.5,69.5
練馬,Nerima,1565.5,76.5,53.5,82,112,84.5,134,135.5,392.5,249.5,51,117.5,77
世田谷,Setagaya,1817.5,77.5,70.5,117,119.5,119.5,160.5,134,458,274.5,73,129.5,84
府中,Fuchu,1608.5,83,58.5,78.5,99.5,79.5,141.5,121.5,422,267,54,123,80.5
八王子,Hachioji,1487,72.5,55.5,67.5,91.5,60,108,102,412,274.5,47.5,118.5,77.5
小沢,Ozawa,1501,83,75.5,81.5,94.5,51.5,93.5,129,407.5,226.5,43,118,97.5
青梅,Ome,1483,73,65,73.5,89.5,45,108,143.5,451.5,214,37.5,117.5,65
小河内,Ogochi,1277.5,72,61.5,75,92.5,45.5,91,74.5,361.5,207,31.5,96,69.5
羽田,Haneda,1493.5,57,77,157,120,119,140.5,105,154,282,85.5,129,67.5
大島,Oshima,2766,142,136,216,260.5,215,273,108,500,350.5,203,235.5,126.5
新島,Niijima,2168.5,67,100.5,202,137.5,85,336.5,116,295,236.5,174.5,232,186
三宅島,Miyakejima,3372,160,131,370.5,209.5,163.5,312,104,642,510.5,274,337.5,157.5
八丈島,Hachijojima,3420,175,149.5,505,223,141,324,252.5,319.5,357.5,503.5,324.5,145
父島,Chichijima,1021,113,116.5,151,201,63,20.5,18.5,88.5,33,68,86.5,61.5
,,,,,,,,,,,,,,
東京都統計年鑑 （平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,
1-7  地域気象観測所降水量（平成28年） 1-7 PRECIPITATION AT LOCAL METEOROLOGICAL STATIONS ( 2016 ),,,,,,,,,,,,,,
この表の観測地のうち，東京とは東京管区気象台をいい，その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,
注) 記号）: 準正常値 欠測等により統計を行う対象資料が許容範囲で欠けている 。 ,,,,,,,,,,,,,,
Note: A parenthesis following a figure indicates that an acceptable portion of data needed for the calculation was missing due to measurement failure or other reasons. ,,,,,,,,,,,,,,
資料：気象庁 Source: Japan Meteorological Agency,,,,,,,,,,,,,,
 （単位　mm）(In mm）,,,,,,,,,,,,,,
