年次,Year,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／強姦 Rape,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強姦 Rape),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強姦 Rape),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering／theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking & entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offense／賭博 Gambling,風俗犯 Moral offense／わいせつ Indecency,その他 Others
平成24,2012,48915,108,1,23,7,84,2,106,2,179,53,145,2,2849,2311,13,299,291,6416,20963,2751,118,504,7,6,18,1000,10657
平成25,2013,44758,97,3,13,10,86,3,90,4,155,63,170,3,2915,2182,4,314,270,6116,18487,2847,114,475,3,2,22,908,9402
平成26,2014,41909,124,2,18,2,102,1,97,1,161,67,169,1,3033,2406,14,507,254,5801,16830,2311,115,442,1,-,21,1018,8411
平成27,2015,43516,113,1,14,5,61,1,94,4,185,53,163,-,3287,2462,6,476,337,6111,17093,2970,120,495,5,5,24,855,8576
平成28,2016,40091,81,1,7,3,47,1,102,0,203,53,149,0,3379,2466,7,479,243,4819,15592,2885,97,757,3,5,26,897,7789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-11  刑法犯の罪種別検挙件数 （平成24～28年） 20-11 CRIMINAL OFFENSE ARRESTS BY KIND ( 2012-2016 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 ) 業務上等過失致死傷 （交通関係） 事件は除く。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note) Excludes cases of professional negligence resulting in deaths and injuries (traffic related).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：警視庁総務部文書課 「警視庁の統計」(ホームぺージ) Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
