年次,Year,月次,Month,平均海面気圧 Average atmospheric pressure (sea level) (hPa),気温 Temperature／平均 Average (℃),気温 Temperature／最高気温平均 Average highs (℃) ,気温 Temperature／最低気温平均 Average lows (℃),湿度 Humidity／平均 Average (%),湿度 Humidity／最小湿度 Minimum humidity／湿度 Humidity (%),湿度 Humidity／最小湿度 Minimum humidity／年／月／日 Year／Month／Date,平均雲量 Average amount of clouds (0-10),日照 Sunshine／日照時間 Duration of sunshine (Hour),日照 Sunshine／日照率 Percentage of sunshine (%),風速 Wind speed／平均 Average (m／s),風速 Wind speed／最大風速 Maximum wind speed／風速 Speed (m／s),風速 Wind speed／最大風速 Maximum wind speed／方向 Direction,風速 Wind speed／最大風速 Maximum wind speed／年／月／日 Year／Month／Date,降水 Precipitation／総数 Total precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／降水量 Precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／年／月／日 Year／Month／Date,降水 Precipitation／日数 Number of days／≧0.5mm,降水 Precipitation／日数 Number of days／≧1.0mm,降水 Precipitation／日数 Number of days／≧10mm,降水 Precipitation／日数 Number of days／≧30mm,天気日数 Weather days／快晴 Clear,天気日数 Weather days／曇天 Cloudy,天気日数 Weather days／雨 Rainy,天気日数 Weather days／雪 Snowy,天気日数 Weather days／積雪 Snow cover,天気日数 Weather days／霧 Fog,天気日数 Weather days／雷 Thunder storm,天気日数 Weather days／不照 No sunshine,天気日数 Weather days／風速10m以上 Maximum wind speed 10m／s or more,地震回数（震度1以上） Earthquakes on record (seismic intensity of one or greater)
平成6,1994,総数,Total,1013.8,16.9,20.5,13.5,62,13,1994-04-03,6.4,2063.6,47,3.3,12.3,北西 NW,1994-02-21,1131.5,70,1994-06-19,108,92,34,8,42,132,108,9,9,-,19,44,16,47
平成7,1995,総数,Total,1013.2,16.3,20.1,13,60,16,1995-11-18,6.2,2028.1,46,3.3,16,北 N,1995-09-17,1220,93.5,1995-09-17,101,94,40,10,47,140,101,5,2,5,11,45,14,44
平成8,1996,総数,Total,1013.9,15.8,19.7,12.3,62,11,1996-03-16,6.5,1984.2,45,3.3,17,北北西 NNW,1996-09-22,1333.5,259.5,1996-09-22,100,90,34,10,32,131,100,12,5,1,9,48,20,57
平成9,1997,総数,Total,1013.7,16.7,20.6,13.2,63,11,1997-04-25， 1997-04-26,6.3,2063.9,47,3.4,15.4,南西 SW,1997-05-08,1302,98.5,1997-08-23,106,93,44,10,44,133,106,3,-,4,12,56,18,64
平成10,1998,総数,Total,1014.6,16.7,20.5,13.4,68,11,1998-01-24,7.2,1535.4,35,3.2,12.9,南西 SW,1998-03-20,1546.5,94,1998-09-16,132,119,52,16,30,182,132,11,14,2,13,77,13,24
平成11,1999,総数,Total,1013.6,17,20.9,13.6,62,11,1999-12-21,6.3,2008.1,45,3.3,13.9,北北西 NNW,1999-03-22,1622,130.5,1999-07-13,103,94,44,16,46,133,103,5,1,5,7,52,17,14
平成12,2000,総数,Total,1013.4,16.9,20.6,13.6,60,10,2000-01-21,6.4,1962.5,44,3.2,13.8,北西 NW,2000-03-20,1603,115,2000-07-08,112,96,52,13,33,131,112,7,2,1,22,60,18,27
平成13,2001,総数,Total,1013.3,16.5,20.4,13.1,59,10,2001-12-14,6.2,1976.5,45,3.2,17.7,北東 NE ,2001-09-11,1491,186,2001-10-10,103,93,46,10,49,139,103,13,7,-,12,54,10,24
平成14,2002,総数,Total,1013.4,16.7,20.5,13.4,59,9,2002-03-18,6.5,1990,45,3.2,13.9,西 W ,2002-10-01,1294.5,107.5,2002-09-06,105,94,37,11,48,150,105,5,-,-,17,77,16,42
平成15,2003,総数,Total,1014.4,16,19.6,12.8,61,6,2003-02-28,7,1723.2,39,3.1,11.4,北北西 NNW,2003-04-21,1854,151,2003-08-15,136,113,49,18,34,172,136,10,3,3,6,86,10,43
平成16,2004,総数,Total,1014.3,17.3,21.3,13.9,58,9,2004-04-29,6.3,2132.7,48,3.7,17.5,南西 SW,2004-12-05,1750,222.5,2004-10-09,105,93,47,11,33,128,105,7,1,2,14,59,38,67
平成17,2005,総数,Total,1012.8,16.2,20,12.8,57,9,2005-03-21,6.4,1965,44,3.4,13.4,北東 NE,2005-08-26,1482,74.5,2005-07-26,103,94,49,14,39,138,103,14,5,-,12,54,26,85
平成18,2006,総数,Total,1013.8,16.4,19.9,13.4,61,10,2006-03-24,7.1,1587.8,36,3.4,13.5,北北西 NNW,2006-10-06,1740,154.5,2006-12-26,121,106,50,15,34,175,121,12,5,2,20,80,27,55
平成19,2007,総数,Total,1013.6,17,20.7,13.7,58,10,2007-04-14,6.5,1996,45,3.4,14.9,東南東 ESE,2007-09-06,1332,88.5,2007-10-27,105,89,40,13,35,137,105,3,-,1,18,60,23,67
平成20,2008,総数,Total,1014,16.4,20.1,13.3,60,9,2008-04-22， 2008-04-23,6.9,1857.8,42,2.8,14.2,北西 NW,2008-02-24,1857.5,111.5,2008-08-05,125,115,56,14,37,156,125,9,5,-,25,66,10,60
平成21,2009,総数,Total,1013.3,16.7,20.2,13.6,60,11,2009-04-09,7,1783.3,40,2.9,13.1,南 S,2009-10-08,1801.5,127,2009-10-08,116,105,48,19,31,171,116,8,2,-,11,73,13,49
平成22,2010,総数,Total,1014.1,16.9,20.7,13.6,61,11,2010-11-09,6.8,1987,45,2.9,14.6,南 S,2010-03-21,1679.5,102,2010-09-08,125,111,42,16,34,151,125,14,6,1,11,61,13,48
平成23,2011,総数,Total,1014,16.5,20.3,13.1,58,9,2011-01-16， 2011-04-04,6.4,2056.2,46,2.9,16.9,南 S,2011-09-21,1479.5,124,2011-09-21,101,95,40,13,36,145,101,13,3,-,13,46,14,463
平成24,2012,総数,Total,1013.6,16.3,20,13.1,62,11,2012-02-02,6.8,2022.9,46,3,16.3,南 S,2012-06-19,1570,121.5,2012-05-03,123,109,49,14,29,149,123,10,5,1,26,53,11,131
平成25,2013,総数,Total,1013,17.1,21,13.6,61,13,2013-02-08， 2013-02-25,6.3,2131.1,48,3.1,14.5,南南西 SSW,2013-03-13,1614,176.5,2013-10-16,111,93,38,17,53,137,111,5,6,-,19,44,20,91
平成26,2014,総数,Total,1013.8,16.6,20.5,13.3,62,8,2014-04-12,6.6,2104,47,2.9,11.8,南 S,2014-03-18,1808,148.5,2014-10-05,113,106,41,16,46,153,113,11,10,-,20,51,14,65
平成27,2015,総数,Total,1014.1,16.4,20.8,12.8,68,12,2015-02-13， 2015-05-11,6.8,1966.6,44,2.8,11,北北西， 南南西 NNW， SSW,2015-02-15， 2015-12-11,1781.5,156.5,2015-09-09,129,115,51,17,39,165,129,11,2,-,13,67,14,66
平成28,2016,総数,Total,1014.5,16.4,20.9,12.7,69,9,2016-03-17,7.1,1841.7,41,2.8,12.6,南 S,2016-04-17,1779,106.5,2016-08-22,128,113,50,19,24,181,128,6,3,-,8,62,8,71
平成28,2016,1,Jan.,1016.2,6.1,10.6,1.8,55,11,2016-01-24,4.4,201.5,65,2.4,9.7,北西 NW,2016-01-20,85,67,2016-01-18,4,4,1,1,6,5,4,2,3,-,-,4,-,3
平成28,2016,2,Feb.,1018.8,7.2,12.2,3.1,56,17,2016-02-17,5.8,160.1,51,2.9,10.8,南 S,2016-02-14,57,40.5,2016-02-20,8,3,2,1,6,9,8,3,-,-,-,1,2,5
平成28,2016,3,Mar.,1018.9,10.1,14.9,6.1,61,9,2016-03-17,7,161.9,44,2.8,8.9,北西 NW,2016-03-15,103,37,2016-03-14,9,6,3,2,1,15,9,1,-,-,1,5,-,4
平成28,2016,4,Apr.,1013.6,15.4,20.3,11.3,67,17,2016-04-15,8.2,149.2,38,3.3,12.6,南 S,2016-04-17,120,33,2016-04-07,13,12,4,1,1,18,13,-,-,-,-,6,1,4
平成28,2016,5,May,1013.4,20.2,25.2,15.7,66,14,2016-05-08,7.3,204.9,47,3.4,11.8,南 S,2016-05-04,137.5,36.5,2016-05-27,8,8,5,2,1,16,8,-,-,-,-,4,2,5
平成28,2016,6,June,1009.4,22.4,26.3,19.1,75,17,2016-06-02,8.3,139.1,32,2.9,9.1,北西 NW,2016-06-02,174.5,98.5,2016-06-13,16,13,3,1,1,21,16,-,-,-,-,10,-,5
平成28,2016,7,July,1010,25.4,29.7,22.1,80,39,2016-07-07,8.2,143.7,32,2.7,8.3,南東 SE,2016-07-07,81.5,28.5,2016-07-21,10,10,3,-,1,20,10,-,-,-,2,6,-,9
平成28,2016,8,Aug.,1005,27.1,31.6,23.9,78,33,2016-08-09,7.8,156.5,38,3.1,11.3,西 W,2016-08-22,414,106.5,2016-08-22,15,13,9,5,1,18,15,-,-,-,5,3,1,8
平成28,2016,9,Sept.,1013.5,24.4,27.7,21.9,86,39,2016-09-01,8.9,79.4,21,2.4,8.4,南南東 SSE,2016-09-08,287,91.5,2016-09-20,14,14,8,3,-,22,14,-,-,-,-,8,-,9
平成28,2016,10,Oct.,1017.6,18.7,22.6,15.3,72,32,2016-10-07， 2016-10-27,7.9,119.6,34,2.4,10.3,南南西 SSW,2016-10-06,96.5,32.5,2016-10-09,10,9,4,1,1,19,10,-,-,-,-,9,1,5
平成28,2016,11,Nov.,1019.2,11.4,15.5,8.1,71,29,2016-11-04,6.7,132.1,43,2.5,9.4,北西 NW,2016-11-09,139,49,2016-11-11,13,13,4,1,1,11,13,1,1,-,-,6,-,10
平成28,2016,12,Dec.,1018.1,8.9,13.8,4.5,59,25,2016-12-30,4.9,193.7,64,2.6,10.1,南 S,2016-12-22,84,37,2016-12-14,8,8,4,1,4,7,8,-,-,-,-,-,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑 （平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5  気象概況 （平成6～28年） 1-5  CLIMATE ( 1994-2016 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
