年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total ,宅地 Land for buildings／計  Total ,宅地 Land for buildings／商業地区 Commercial district ,宅地 Land for buildings／工業地区 Industrial district ,宅地 Land for buildings／住宅地区 Residential district ,宅地 Land for buildings／その他  Others  ,田 Paddy fields  ,畑 Ordinary fields  ,山林 Forests  ,原野 Waste land  ,池沼 Ponds and swamps  ,雑種地 Miscellaneous land  ,免税点未満 Land under the legal tax exemption limit  
平成25,2013,0,13000,,東京都,Tokyo-to,103775.38,57109.69,2785,3468.18,49445.24,1411.28,314,8395.62,25222.55,1818.48,12.08,4713.5,6189.46
平成26,2014,0,13000,,東京都,Tokyo-to,103696.91,57225.47,2789.95,3473.18,49546.69,1415.66,308.97,8296.87,25175.99,1790.12,11.95,4713.8,6173.74
平成27,2015,0,13000,,東京都,Tokyo-to,103546.68,57319.36,2825.52,3430.57,49649.54,1413.76,298.8,8193.64,25102.55,1795.72,11.94,4681.15,6143.58
平成28,2016,0,13000,,東京都,Tokyo-to,103375.81,57451.2,2830.37,3443.88,49759.38,1417.59,295.63,8099.22,24955.02,1792.09,11.84,4625.57,6145.16
平成29,2017,0,13000,,東京都,Tokyo-to,103199.68,57523.97,2812.47,3453,49844.51,1414,291.57,7978.77,24886.23,1791.31,12.07,4602.37,6113.42
平成29,2017,1,13100,,区部,All ku          　,33243.26,31534.92,1989.14,1644.63,27900.18,0.97,0.42,509.43,15.86,-,5.75,1163.33,13.55
平成29,2017,3,13101,1,千代田区,Chiyoda-ku,406.6,365.6,317.86,-,47.74,-,-,-,-,-,-,40.99,0.01
平成29,2017,3,13102,2,中央区,Chuo-ku,393.42,392.67,247.33,11.99,133.35,-,-,-,-,-,-,0.73,0.02
平成29,2017,3,13103,3,港区,Minato-ku,1000.57,929.89,298.34,21.39,610.16,-,-,-,-,-,0.06,70.57,0.05
平成29,2017,3,13104,4,新宿区,Shinjuku-ku,1019.13,988.64,113.97,14.67,860,-,-,-,-,-,-,30.26,0.23
平成29,2017,3,13105,5,文京区,Bunkyo-ku,595.36,588.07,81.28,19.35,487.44,-,-,-,-,-,-,7.04,0.25
平成29,2017,3,13106,6,台東区,Taito-ku,466.68,439.78,236.17,-,203.61,-,-,-,-,-,-,26.76,0.14
平成29,2017,3,13107,7,墨田区,Sumida-ku,709.55,685.17,45.77,118.76,520.64,-,-,-,-,-,-,24.1,0.28
平成29,2017,3,13108,8,江東区,Koto-ku,1559.22,1491.06,71.84,418.78,1000.44,-,-,-,-,-,4.5,63.3,0.36
平成29,2017,3,13109,9,品川区,Shinagawa-ku,1364.79,1152.13,79.91,144.73,927.49,-,-,-,-,-,-,212.27,0.39
平成29,2017,3,13110,10,目黒区,Meguro-ku,927.52,910.83,33.02,-,877.81,-,-,2.59,0.55,-,-,13.38,0.17
平成29,2017,3,13111,11,大田区,Ota-ku,2579.34,2502.22,32.14,240.48,2229.59,0.01,-,3.4,1.03,-,0.15,71.55,0.99
