年度末,End of fiscal year,一般加入電話 Number of landline phones／総数 Total,一般加入電話 Number of landline phones／単独 Individual,一般加入電話 Number of landline phones／事業所集団 Establishments,一般加入電話住宅用比率 Percentage of telephones for residential use (%),ISDN契約数 Number of ISDN subscriptions／INSﾈｯﾄ64 64kbps,ISDN契約数 Number of ISDN subscriptions／INSﾈｯﾄ1500 1500kbps,移動体通信ｻｰﾋﾞｽ加入数 Number of mobile communication service subscriptions／携帯電話 Cellular phones,移動体通信ｻｰﾋﾞｽ加入数 Number of mobile communication service subscriptions／PHS Personal handyphone system,公衆電話 Payphones／総数 Total,公衆電話 Payphones／総数 Total／うちデジタル電話 Of which are digital payphones,ブロードバンド契約数 Broadband subscriptions／CATV Cable television,ブロードバンド契約数 Broadband subscriptions／DSL Digital subscriber line,ブロードバンド契約数 Broadband subscriptions／FTTH Fiber to the home,ブロードバンド契約数 Broadband subscriptions／FWA Fix Wireless Access,ブロードバンド契約数 Broadband subscriptions／BWA Broadband Wireless Access,ブロードバンド契約数 Broadband subscriptions／3.9-4世代 3.9G／4G LTE (Long Term Evolution)
平成19,2007,5034,5021,13,69.3,982,22,15007,…,42,21,518,1688,2243,1,…,…
平成20,2008,4286,4286,-,70.9,882,20,16770,…,39,20,568,1424,2584,1,…,…
平成21,2009,3845,3835,10,70.6,777,18,18247,…,36,19,784,1209,2930,0,102,…
平成22,2010,3451,3442,10,70.2,682,16,20456,…,32,17,872,995,3159,0,495,…
平成23,2011,3124,3114,9,69.8,612,14,23277,…,29,16,937,820,3349,0,711,…
平成24,2012,2826,2817,9,69.9,549,13,26177,…,26,14,976,672,3431,0,2190,3357
平成25,2013,2590,2582,8,70.1,495,11,30302,…,24,14,1051,571,3539,0,2643,8488
平成26,2014,2395,2388,7,70.4,448,10,35600,…,22,13,1161,493,3636,0,5275,13300
平成27,2015,2234,2228,6,69,408,9,37488,…,18,12,1293,426,3738,-,8240,19434
平成28,2016,2094,2088,6,69,376,8,42626,…,17,10,1339,301,3931,-,10877,24027
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016) 5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,,,,,,,,,
5-４　一般加入電話，公衆電話及びインターネット契約数等(平成19～28年度末) 5-4 LANDLINE， PAYPHONE， AND INTERNET SUBSCRIPTIONS ( End of Fiscal Years 2007-2016),,,,,,,,,,,,,,,,,
注) 「単独」 には 「構内交換」 を含む。,,,,,,,,,,,,,,,,,
Note:  “Individual” includes PBX (private branch exchange phone systems).,,,,,,,,,,,,,,,,,
資料：東日本電信電話株式会社東京支店，総務省関東総合通信局（ホームページ）Source: Nippon Telegraph and Telephone East Corporation; Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,,,,
(単位　千件) (In thousands),,,,,,,,,,,,,,,,,
