項番 Item number,出火原因,Causes of fire,出火件数 Number of fires,焼損面積 Area burned (m2),焼損棟数 Buildings burned,り災世帯数 Households affected
,総数,Total,4477,30900,3413,2411
1,たばこ,Cigarettes,667,1916,431,371
2,こんろ,Gas table,625,1782,666,503
3,かまど,Kitchen stove,6,-,6,1
4,風呂かまど,Bathtub water heater ,6,-,5,6
5,炉,Furnace,13,5,12,2
6,焼却炉,Incinerator,1,-,-,-
7,ストーブ,Space heater ,83,815,115,119
8,こたつ,Kotatsu， a Japanese table with a heating device,2,20,2,2
9,ボイラー,Hot water boiler,9,-,8,4
10,煙突・煙道,Chimney and flue,2,-,2,-
11,排気管,Exhaust pipe,39,300,3,-
12,電気機器,Electric machinery and appliances,296,919,260,129
13,電気装置,Electric equipment,90,373,75,21
14,電灯電話配線,Lighting and telephone wiring,175,1728,114,55
15,内燃機関,Internal-combustion engine,8,188,12,13
16,配線器具,Wiring devices ,235,1567,235,146
17,火遊び,Playing with matches／lighters,74,2021,27,30
18,マッチ・ライター,Matches and lighters,45,95,29,33
19,たき火,Bonfire,32,6,8,2
20,切断機・溶接機,Welding and cutting machines,33,56,15,5
21,灯火,Lighting,43,137,49,50
22,衝突の火花,Sparks caused by collision,1,-,-,-
23,取灰,Ash,11,-,7,4
24,火入れ,Kindling,-,-,-,-
25,放火,Arson,935,1770,400,193
26,放火の疑い,Suspected arson,88,544,33,16
27,交通機関内配線,Wiring installed in transportation facilities ,31,-,3,-
28,その他,Others　,561,2177,469,250
29,不明・調査中,Unknown and currently under investigation,366,14481,427,456
,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,
20-18  出火原因別出火件数及び焼損面積 （平成27年） 20-18  NUMBER OF FIRES BY CAUSE AND AREA BURNED ( 2015 ),,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,
