品目階層,品目,Item,平成26年 2014／数量 Quantity,平成26年 2014／金額 Value,平成27年 2015／数量 Quantity,平成27年 2015／金額 Value,平成28年 2016／数量 Quantity,平成28年 2016／金額 Value
0,総数,Total,2077339,541068774,2035703,579275463,1993439,599267617
1,野菜,Vegetables,1571449,365025521,1549946,395045724,1521456,408082203
2,根菜類,Root vegetables,275130,33278112,269563,35554318,253711,39588134
3,だいこん,Japanese radish,144429,11305909,140938,12652358,131049,13657670
3,かぶ,Turnip,16914,2248958,16592,2274117,15613,2265348
3,にんじん,Carrot,92382,10961400,91605,11589212,88391,14253521
3,ごぼう,Edible burdock,9653,2971844,9753,2891601,8262,3124242
3,れんこん,Lotus root,8724,4228052,8179,4542759,7556,4703068
3,その他,Others,3028,1561948,2496,1604269,2839,1584284
2,キャベツ類,Cabbage varieties,183514,17056717,190032,20047228,192189,19316600
2,レタス類,Lettuce varieties,97238,18898818,96457,21876044,97581,21780498
2,葉茎菜類,Leaf and stem vegetables,298403,78990511,291098,86871188,285637,91153504
3,はくさい,Chinese cabbage,116145,7561739,111946,8556906,114729,10000675
3,こまつな,"""Komatsuna""",13086,3883248,13700,4375574,13687,4523538
3,ほうれんそう,Spinach,16294,8278410,16680,8691706,14412,8321812
3,ねぎ,Welsh onion,57236,15657022,55467,17280084,54176,19155640
3,ブロッコリー,Broccoli,26888,8819572,26292,10107106,23618,10801080
3,その他,Others,68754,34790520,67014,37859812,65015,38350759
2,果菜類,Fruit vegetables,314537,107725199,310509,116100145,314494,121257419
3,きゅうり,Cucumber,74269,23780113,76466,24778990,78208,26092192
3,かぼちゃ,Pumpkin　,33510,6582009,34507,6660685,34468,6723255
3,なす,Eggplant,30690,11007591,29898,11765197,31629,12808677
3,トマト,Tomato,87662,28945663,84621,31365872,84558,33059467
3,ピーマン,Bell pepper,23318,8755528,22192,10291707,23466,10720888
3,その他,Others,65088,28654296,62825,31237694,62165,31852940
2,豆科野菜類,Legumes,16596,12044546,15621,12699274,13644,11843985
3,いんげん,String bean,4089,3164520,4087,3401997,3550,3143452
3,えだまめ,Green soybean,6091,4585993,5896,4912663,5884,4934610
3,その他,Others,6417,4294033,5637,4384615,4210,3765923
2,ばれいしょ類,Potatoes,100084,11641771,94026,14166564,87809,16084840
2,土物類,Sweet potatoes／onions， etc.,193766,35037422,192888,35586582,188334,34843219
