年次及び種類,Year(Av.) and kind,総平均 All commodities,工業製品 Manufacturing industry products,農林水産物 Agriculture， forestry & fishery products,鉱産物 Minerals,電力・都市ガス・水道 Electric power， gas & water,スクラップ類 Scrap & waste
品目数,Number of commodities,746,703,24,6,9,4
ウエイト,Weight,1000,888.3,35.8,3.9,67.1,4.9
平成24,2012,98,98.9,96.7,89.3,86.4,112.5
平成25,2013,99.2,99.4,100.1,91.9,93.6,127.5
平成26,2014,102.3,102.3,100.1,99.1,102.9,128.6
平成27,2015,100,100,100,100,100,100
平成28,2016,96.5,97,102.5,94.2,87.2,91.4
,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 13 　物価・地価 13   PRICES,,,,,,,
13-2  企業物価指数  （ 全国 ） (1)  国内企業物価指数 （平成24～28年） 13-2 CORPORATE GOODS PRICE INDEX （ JAPAN ） (1) PRODUCER PRICE INDEX （ 2012-2016 ）,,,,,,,
企業物価指数は，企業間で取引される商品の価格に焦点を当てた物価指数である。,,,,,,,
The Corporate Goods Price Index (CGPI) is a price index that focuses on the prices of goods traded among companies.,,,,,,,
資料：日本銀行 「物価指数年報」 Source: The Bank of Japan,,,,,,,
（平成27年平均＝100） (2015 Average＝100),,,,,,,
