地域階層,地域コード,地域,District,除却 Removed／建築物数 Number,除却 Removed／床面積の合計 Total floor space,除却 Removed／建築物評価額 Estimated value,災害 Damaged by disasters／建築物数 Number,災 害Damaged by disasters／床面積の合計 Total floor space,災害 Damaged by disasters／建築物損害見積額 Estimated damages
0,13000,総数,Tokyo-to,7974,2430293,7678682,134,7517,43822
1,13100,区部,All ku,5647,1954736,7156140,91,4930,28564
5,13101,千代田区,Chiyoda-ku,58,240518,4022208,1,54,91
5,13102,中央区,Chuo-ku,180,165421,617374,-,-,-
5,13103,港区,Minato-ku,99,94343,624647,-,-,-
5,13104,新宿区,Shinjuku-ku,193,124325,175915,-,-,-
5,13105,文京区,Bunkyo-ku,75,36284,17805,-,-,-
5,13106,台東区,Taito-ku,160,55125,88655,4,422,422
5,13107,墨田区,Sumida-ku,155,42732,25777,6,153,153
5,13108,江東区,Koto-ku,150,30200,17572,3,460,1380
5,13109,品川区,Shinagawa-ku,334,79589,92614,6,234,1830
5,13110,目黒区,Meguro-ku,229,68525,52810,-,-,-
5,13111,大田区,Ota-ku,378,161535,119429,9,545,4183
5,13112,世田谷区,Setagaya-ku,752,168553,114848,12,806,5642
5,13113,渋谷区,Shibuya-ku,175,140663,117354,-,-,-
5,13114,中野区,Nakano-ku,210,35566,26909,-,-,-
5,13115,杉並区,Suginami-ku,348,58792,115106,15,621,1860
5,13116,豊島区,Toshima-ku,212,68049,229286,-,-,-
5,13117,北区,Kita-ku,235,54445,117923,-,-,-
5,13118,荒川区,Arakawa-ku,116,19159,34251,5,215,2052
5,13119,板橋区,Itabashi-ku,254,82993,32230,8,406,3189
5,13120,練馬区,Nerima-ku,558,106106,367403,8,403,2822
5,13121,足立区,Adachi-ku,306,50835,33050,7,277,1908
5,13122,葛飾区,Katsushika-ku,226,35701,79145,-,-,-
5,13123,江戸川区,Edogawa-ku,244,35277,33829,7,334,3032
1,13200,市部,All shi,2285,468591,518943,43,2587,15258
5,13201,八王子市,Hachioji-shi,258,47234,67222,16,970,4315
5,13202,立川市,Tachikawa-shi,87,38079,42615,3,239,1036
5,13203,武蔵野市,Musashino-shi,108,21234,17364,-,-,-
5,13204,三鷹市,Mitaka-shi,136,23413,35154,3,388,1752
5,13205,青梅市,Ome-shi,58,14618,9904,-,-,-
5,13206,府中市,Fuchu-shi,215,66810,66819,-,-,-
5,13207,昭島市,Akishima-shi,64,12072,14994,-,-,-
5,13208,調布市,Chofu-shi,127,16709,17153,-,-,-
5,13209,町田市,Machida-shi,190,41936,72192,12,500,4990
5,13210,小金井市,Koganei-shi,92,14742,10363,-,-,-
5,13211,小平市,Kodaira-shi,171,32986,21552,-,-,-
5,13212,日野市,Hino-shi,94,14475,7294,5,241,2403
5,13213,東村山市,Higashimurayama-shi,71,28023,32116,-,-,-
5,13214,国分寺市,Kokubunji-shi,100,14342,18890,-,-,-
5,13215,国立市,Kunitachi-shi,50,16774,5686,-,-,-
5,13218,福生市,Fussa-shi,38,4490,3764,-,-,-
5,13219,狛江市,Komae-shi,52,5757,6742,-,-,-
5,13220,東大和市,Higashiyamato-shi,33,4292,2836,-,-,-
5,13221,清瀬市,Kiyose-shi,22,2140,2850,-,-,-
5,13222,東久留米市,Higashikurume-shi,44,4440,5518,-,-,-
5,13223,武蔵村山市,Musashimurayama-shi,30,3020,5250,-,-,-
5,13224,多摩市,Tama-shi,51,12112,3836,-,-,-
5,13225,稲城市,Inagi-shi,40,5199,4520,3,129,626
5,13227,羽村市,Hamura-shi,26,2711,2835,-,-,-
5,13228,あきる野市,Akiruno-shi,37,6864,28948,-,-,-
5,13229,西東京市,Nishitokyo-shi,91,14119,12526,1,120,136
,,郡部，島部,All gun and islands,42,6966,3599,-,-,-
,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,
3-13  地 域 別 滅 失 建 築 物 （平成28年） ,,,,,,,,,
DESTROYED BUILDINGS BY DISTRICT ( 2016 ) ,,,,,,,,,
この表は建築基準法により， 工事施工者から知事に届出のあった建築物除去届及び市町村長からの建築物災害報告によって作成された ,,,,,,,,,
もので，対象は床面積の合計が10平方メートルを越える建築物である。 ,,,,,,,,,
This table is based on notifications of building removal submitted to the Governor by contractors，andreportsonbuildingsdamagedby,,,,,,,,,
disasters submitted by the heads of shi，machi，andmura，andcoversbuildingswithtotalfloorspaceofmorethan10squaremeters.,,,,,,,,,
（単位　面積　平方メートル， 金額　万円）     (Space in ㎡， Value in 10 thousand yen),,,,,,,,,
資料：都都市整備局市街地建築部建築企画課 Source: Bureau of Urban Development， TMG,,,,,,,,,
