年度,Fiscal year,人員 Passengers／総数 Total（千人 in thousands),人員 Passengers／営業用 For business／バス Buses（千人 in thousands),人員 Passengers／営業用 For business／乗用 Cars（千人 in thousands),人キロ Passenger-kilometers ／総数 Total（千人 in thousands),人キロ Passenger-kilometers ／営業用 For business／バス Buses（千人 in thousands),人キロ Passenger-kilometers ／営業用 For business／乗用 Cars（千人 in thousands)
平成24,2012,1186984,784955,402029,8485659,6733028,1752631
平成25,2013,1152762,796414,356348,8979004,7380847,1598157
平成26,2014,1165011,815691,349320,9304900,7708862,1596038
平成27,2015,1151263,821421,329842,8991362,7472885,1518477
平成28,2016,1157513,843439,314074,9644823,8171069,1473754
,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 4　運輸 4　TRANSPORT ,,,,,,,
4-18  旅客自動車の輸送状況 （平成23～27年度） 4-18 TRANSPORTATION BY PASSENGER CARS ( Fiscal Years 2011-2015 ),,,,,,,
注 1) 「バス」 とは乗車定員11人以上， 「乗用」 とは乗用定員10人以下をいい， 自家用乗合を除く。,,,,,,,
"Note 1) ""Bus"" refers to vehicles with a capacity of 11 or more persons and ""car"" refers to vehicles with a capacity up to 10， ridesharing of　private-use passenger cars excluded.",,,,,,,
資料：国土交通省 「自動車輸送統計月報」,,,,,,,
Source : Ministry of Land， Infrastructure， Transport and Tourism ,,,,,,,
