品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位,Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,　　　　,,,22594620,,10587324,,12007295
食料品及び動物,Foodstuffs and animals,,,,,,,　　　　,,,1524527,,1384581,,139947
食料品及び動物,Foodstuffs and animals,肉類及び同調製品,Meat and meat preparations,,,,, 1，000ｔ,,864,421863,864,421863,-,-
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,, 1，000ｔ,,623,545830,581,476185,42,69646
食料品及び動物,Foodstuffs and animals,果実及び野菜,Fruits and vegetables,,,,, 1，000ｔ,,1448,293750,1396,256940,52,36809
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,451911,,410429,,41482
飲料及びたばこ,Beverages and tobacco,アルコール飲料,Alcoholic beverages,,,,,1，000kl,,274,125295,274,125295,-,-
飲料及びたばこ,Beverages and tobacco,たばこ,Tobacco,,,,,,,,299759,,267156,,32604
食料に適さない原材料,No beverage raw material,,,,,,,　　　　,,,249088,,191338,,57750
鉱物性燃料,Mineral fuels,,,,,,,　　　　,,,10994,,9209,,1784
動植物性油脂,Animal and vegetable oils and fats,,,,,,, 1，000ｔ,,110,27442,109,25675,1,1766
化学製品,Chemical products,,,,,,,　　　　,,,3084841,,1058265,,2026577
化学製品,Chemical products,元素及び化合物,Elements and compounds,,,,,,,,612132,,227392,,384740
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,,,,484287,,124658,,359629
化学製品,Chemical products,医薬品,Medical products,,,,, 1，000ｔ,,38,1674279,30,259926,8,1414353
化学製品,Chemical products,プラスチック,Plastic materials,,,,, 1，000ｔ,,861,257717,851,216286,10,41431
原料別製品,Manufactured goods by raw materials,,,,,,,　　　　,,,1629520,,1013358,,616162
原料別製品,Manufactured goods by raw materials,紙類及び同製品,Paper and paper products,,,,, 1，000ｔ,,748,123148,748,123148,-,-
原料別製品,Manufactured goods by raw materials,織物用糸及び繊維製品,Textile yarn and textile goods,,,,,　　　　,,,209434,,185747,,23688
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,        ,,,264880,,110708,,154172
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,, 1，000ｔ,,84,464890,80,133132,4,331758
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,,,,325204,,258902,,66302
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,　　　　,,,10297771,,3653126,,6644645
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,　　　　,,,3350150,,1438442,,1911708
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,        ,,,1701177,,769961,,931216
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,（電算機類（含周辺機器））,(Computers (including peripheral devices)),100万台,mil.number,52,1370179,29,542932,23,827247
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,,,,,        ,,,6187363,,1999377,,4187986
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,重電機器,Heavy electrical power machinery,,,,,,243129,,155602,,87527
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,音響・映像機器（含部品）,Audio／visual apparatuses (including parts),,,,,,563037,,343216,,219821
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,通信機,Communication instruments,,,　　　　,,,1893338,,222197,,1671141
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,家庭用電気機器,Domestic electrical equipment,,,,,,241595,,224310,,17285
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,半導体等電子部品,Semiconductors and other electronic parts,,,        ,,,1610255,,409834,,1200421
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,半導体等電子部品,Semiconductors and other electronic parts,(IC）,(Integrated circuits),1，000万個,10mil.num.,1135,1352325,156,265129,979,1087196
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,電気計測機器,Electrical measuring and instruments,,,        ,,,418316,,122909,,295407
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,,,,,　　　　,,,760257,,215307,,544950
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車の部分品,Parts of motor vehicles,,, 1，000ｔ,,156,174641,145,129347,11,45293
雑製品,Miscellaneous manufactured goods,,,,,,,,,,4771478,,2734834,,2036643
雑製品,Miscellaneous manufactured goods,バッグ類,Bags,,,,, 1，000ｔ,,80,373135,73,169893,7,203242
雑製品,Miscellaneous manufactured goods,衣類及び同付属品,Clothing and accessories,,,,,,,,1194010,,891533,,302477
雑製品,Miscellaneous manufactured goods,はき物,Footwear,,,,, 1，000ｔ,,132,337661,127,283563,6,54098
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,,,,,,,,1394565,,388824,,1005741
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,科学光学機器,Scientific and optical instruments,,,,,,1113096,,355643,,757454
雑製品,Miscellaneous manufactured goods,プラスチック製品,Plastics products,,,,, 1，000ｔ,,474,265583,467,227785,7,37798
