階層項目,項番 Item number,項目,Item,平成25年度 Fiscal year 2013／実数 Value,平成25年度 Fiscal year 2013／構成比 Percentage Distribution (%),平成25年度 Fiscal year 2013／対前年度増加率 Percent changes from previous fiscal year (%),平成26年度 Fiscal year 2014／実数 Value,平成26年度 Fiscal year 2014／構成比 Percentage Distribution (%),平成26年度 Fiscal year 2014／対前年度増加率 Percent changes from previous fiscal year (%)
0,1,産業,Industries,86666,92.2,1.5,87513.6,92.2,1
1,,農林水産業,Agriculture， forestry and fishing,48.4,0.1,-2.6,48.8,0.1,0.8
1,,鉱業,Mining,21.5,0,2,20.5,0,-4.9
1,,製造業,Manufacturing,6408.8,6.8,-0.7,6540.8,6.9,2.1
1,,建設業,Construction,4104.8,4.4,3.9,4154.7,4.4,1.2
1,,電気・ガス・水道業,Electricity， gas and water supply ,1094.2,1.2,5.7,1166.2,1.2,6.6
1,,卸売・小売業,Wholesale and retail trade,19258.7,20.5,-1.2,18817.8,19.8,-2.3
1,,金融・保険業,Finance and insurance,9061.6,9.6,2.5,9021.8,9.5,-0.4
1,,不動産業,Real estate,12068,12.8,1.1,12272.8,12.9,1.7
1,,運輸業,Transport ,3781.1,4,1.7,3933.3,4.1,4
1,,情報通信業,Information and communications,11313.8,12,5,11556.3,12.2,2.1
1,,サービス業,Service activities,19505,20.7,2.1,19980.6,21.1,2.4
0,2,政府サービス生産者,Producers of government services,5674.9,6,-0.8,5857.7,6.2,3.2
1,,電気・ガス・水道業,Electricity， gas and water supply ,300.8,0.3,-0.9,304.4,0.3,1.2
1,,サービス業,Service activities,928.1,1,-1.9,946.3,1,2
1,,公務,Public administration,4446,4.7,-0.6,4607,4.9,3.6
0,3,対家計民間非営利サービス生産者,Producers of private non-profit services to households,1637.5,1.7,-0.4,1638.5,1.7,0.1
1,,サービス業,Service activities,1637.5,1.7,-0.4,1638.5,1.7,0.1
0,4,小計 (1+2+3),Sub-total (1+2+3),93978.4,99.9,1.3,95009.7,100.1,1.1
0,5,輸入品に課される税・関税,Taxes and duties on imports,439.7,0.5,1.9,445.4,0.5,1.3
0,6,(控除) 総資本形成に係る消費税,(less) Consumption taxes for gross capital formation,387.5,0.4,8.1,553.1,0.6,42.7
0,7,都内総生産 (4+5-6),Gross prefectural domestic product (4+5-6),94030.6,100,1.3,94902.1,100,0.9
,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,,
16-2  経済活動別都内総生産 (名目) (平成25，26年度) 16-2  GROSS PREFECTURAL DOMESTIC PRODUCT CLASSIFIED BY ECONOMIC ACTIVITIES(AT CURRENT PRICES) ( Fiscal Years 2013 and 2014),,,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,,,
"項目階層（0:大項目　1:項目）
",,,,,,,,,
