年次および種類,Year and kind,月次 ,Month,第3次産業総合 Tertiary industry,第3次産業総合 Tertiary industry／電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,第3次産業総合 Tertiary industry／情報通信業 Information and communications,第3次産業総合 Tertiary industry／運輸業，郵便業 Transport and postal activities,第3次産業総合 Tertiary industry／卸売業 Wholesale trade,第3次産業総合 Tertiary industry／金融業，保険業 Finance and insurance,第3次産業総合 Tertiary industry／物品賃貸業 (自動車賃貸業を含む) Goods rental and leasing (include automobile rental and leasing),第3次産業総合 Tertiary industry／事業者向け関連サービス Business-related services,第3次産業総合 Tertiary industry／小売業 Retail trade,第3次産業総合 Tertiary industry／不動産業 Real estate,第3次産業総合 Tertiary industry／医療，福祉 Medical， health care and welfare,第3次産業総合 Tertiary industry／生活娯楽関連サービス Living and amusement-related services
ウェイト ,Weight,,,10000,139.4,1498.9,496,1690.9,1216.1,382.1,1407.2,711.8,900.5,511.8,1045.4
平成24,2012,平均,Average,101.1,95.3,100.5,104.6,97.1,105.7,96.3,101.6,100.5,101.7,107.7,100.5
平成25,2013,平均,Average,102.4,93.4,102.1,104.2,93.1,112.9,94.1,102.6,102.2,105.1,110.5,102.9
平成26,2014,平均,Average,101.8,91.3,103.4,105.7,89.9,114.2,92.5,102.8,101.2,103.7,113,99.2
平成27,2015,平均,Average,103.4,90.1,105,106.6,90,119.6,92.4,103.3,101.9,104.7,117.2,101
平成28,2016,平均,Average,104.5,89.8,106.6,108.7,92.7,119.3,95.2,105.6,99.8,104.9,120.5,99.8
平成28,2016,1,Jan.,104,86.8,105.9,106.5,92.4,120.9,93.3,105.2,101,105.1,119.7,97
平成28,2016,2,Feb.,105,90.1,106,111.1,92.5,122.6,94.1,103.4,103.6,105.4,120.9,101.7
平成28,2016,3,Mar.,103.2,90.4,105.3,107.2,87.2,119,94.7,105,100.7,103.7,120.7,100.5
平成28,2016,4,Apr.,104.7,90.1,106.8,105.9,94.1,118.4,94.7,105.3,100.2,105.2,119.8,102
平成28,2016,5,May,104.3,91.4,106.8,108.2,92.5,118.6,95.2,104.9,99.7,105.5,118.9,100.5
平成28,2016,6,June,104.4,91.1,106.8,109.6,92.9,118.2,95.4,105.5,99.1,104.9,120,100.3
平成28,2016,7,July,104.4,88.5,106.6,108.4,93.7,119.6,95.7,105.7,99.9,103,120.2,98.8
平成28,2016,8,Aug.,105,88.5,107.7,109,95.3,119.7,95.2,105,99.1,104.8,120.1,100.5
平成28,2016,9,Sept.,104.7,91,106.1,109.8,93,117.5,96,107.3,99.4,106.6,120.6,99.6
平成28,2016,10,Oct.,105,90.3,107.6,110,94.1,118.8,96.2,105.9,98.5,105.9,121.1,100.6
平成28,2016,11,Nov.,104.9,91.1,108.6,108.5,94.8,120.1,95.8,106,98.6,104.2,121.2,97.4
平成28,2016,12,Dec.,104.8,91.4,107.4,110.3,92.9,120.5,95.7,106.8,98.3,104.6,121,98.2
,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,
12-4  第３次産業活動指数 (平成24～28年) 12-4  INDICES OF TERTIARY INDUSTRY ACTIVITY ( 2012-2016 ),,,,,,,,,,,,,,,
(1) ウェイト………平成22年の粗付加価値額,,,,,,,,,,,,,,,
(2) 算式………固定ウェイトによる加重算術平均式 ,,,,,,,,,,,,,,,
(1) Weight  ……… Gross value added in 2010,,,,,,,,,,,,,,,
(2) Formula……… A weighted arithmetic mean formula based on weights fixed in the base period,,,,,,,,,,,,,,,
注 1) 月別の値は，季節調整済指数である。 ,,,,,,,,,,,,,,,
2) 暦年の値は月別原指数の平均値である。 ,,,,,,,,,,,,,,,
3) 指数値は，最新のデータ入手に伴い遡及して変更されることがある。 ,,,,,,,,,,,,,,,
Note: 1) Monthly figures are seasonally adjusted indices.,,,,,,,,,,,,,,,
2) Yearly figures are the averages of original monthly indices.,,,,,,,,,,,,,,,
3) Indices may be retroactively revised  to reflect the latest available data.,,,,,,,,,,,,,,,
資料：都総務局統計部調整課 「東京都第３次産業活動指数」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
（平成 22年平均＝100） ( 2010  Average=100 ),,,,,,,,,,,,,,,
