年次,Year,原因,Cause,区分,Classification,総数 Total／幼児 Toddler,総数 Total／小学生 Elementary school,総数 Total／中学生 Junior high school,死亡 Killed／幼児 Toddler,死亡 Killed／小学生 Elementary school,死亡 Killed／中学生 Junior high school,負傷 Injured／幼児 Toddler,負傷 Injured／小学生 Elementary school,負傷 Injured／中学生 Junior high school,
平成24,2012,総数,Total,,,997,"2,041",711,1,6,-,996,"2,035",711,
平成25,2013,総数,Total,,,799,"1,791",631,1,2,-,798,"1,789",631,
平成26,2014,総数,Total,,,727,"1,434",526,1,4,1,726,"1,430",525,
平成27,2015,総数,Total,,,655,"1,238",428,3,3,1,652,"1,235",427,
平成28,2016,総数,Total,,,668,"1,212",394,1,4,-,667,"1,208",394,
平成28,2016,歩行者の場合,Pedestrians,,,159,442,72,-,3,-,159,439,72,
平成28,2016,歩行者の場合,Pedestrians,信号無視,Ignoring traffic light signals,5,12,1,-,1,-,5,11,1,
平成28,2016,歩行者の場合,Pedestrians,通行区分違反,Lane violation ,2,1,-,-,-,-,2,1,-,
平成28,2016,歩行者の場合,Pedestrians,横断歩道外横断,Crossing outside pedestrian crossings ,1,23,1,-,-,-,1,23,1,
平成28,2016,歩行者の場合,Pedestrians,斜め横断,Diagonal crossing,1,7,3,-,-,-,1,7,3,
平成28,2016,歩行者の場合,Pedestrians,駐停車車両の直前 ・後横断,Crossing immediately in front of or behind a parked vehicle,-,9,1,-,-,-,-,9,1,
平成28,2016,歩行者の場合,Pedestrians,走行車両の直前・後横断,Crossing immediately in front of or behind a vehicle in motion,-,4,-,-,-,-,-,4,-,
平成28,2016,歩行者の場合,Pedestrians,横断禁止場所横断,Crossing at prohibited places,1,-,1,-,-,-,1,-,1,
平成28,2016,歩行者の場合,Pedestrians,幼児のひとり歩き,Toddlers walking alone,8,-,-,-,-,-,8,-,-,
平成28,2016,歩行者の場合,Pedestrians,踏切り不注意,Lack of caution at railroad crossings,-,-,-,-,-,-,-,-,-,
平成28,2016,歩行者の場合,Pedestrians,路上遊戯,Playing on road,4,10,1,-,-,-,4,10,1,
平成28,2016,歩行者の場合,Pedestrians,飛び出し,Rushing out into the street,25,96,8,-,-,-,25,96,8,
平成28,2016,歩行者の場合,Pedestrians,その他の違反,Other violations,1,6,-,-,-,-,1,6,-,
平成28,2016,歩行者の場合,Pedestrians,調査不能,Cause undetermined,-,1,-,-,-,-,-,1,-,
平成28,2016,歩行者の場合,Pedestrians,違反なし,No violation,94,264,51,-,2,-,94,262,51,
平成28,2016,歩行者の場合,Pedestrians,第3当事者以下,Third party involvement,17,9,5,-,-,-,17,9,5,
平成28,2016,自転車乗車の場合,Riding on bicycles,,,275,544,247,1,1,-,274,543,247,
平成28,2016,自転車乗車の場合,Riding on bicycles,信号無視,Ignoring traffic light signals,-,8,6,-,-,-,-,8,6,
平成28,2016,自転車乗車の場合,Riding on bicycles,通行区分違反,Lane violation ,-,3,1,-,-,-,-,3,1,
平成28,2016,自転車乗車の場合,Riding on bicycles,横断・転回禁止,Violation of rules prohibiting crossing or making U-turns,-,-,-,-,-,-,-,-,-,
平成28,2016,自転車乗車の場合,Riding on bicycles,右・左折違反,Right or left turns violation,-,-,-,-,-,-,-,-,-,
平成28,2016,自転車乗車の場合,Riding on bicycles,交差点安全進行義務違反,Violation of duty to use caution at intersections,-,50,32,-,-,-,-,50,32,
平成28,2016,自転車乗車の場合,Riding on bicycles,徐行違反,Slow down violation,-,1,-,-,-,-,-,1,-,
平成28,2016,自転車乗車の場合,Riding on bicycles,一時不停止,Stop sign violation,-,54,21,-,-,-,-,54,21,
平成28,2016,自転車乗車の場合,Riding on bicycles,安全運転義務違反　,Violation of safe driving obligations,-,103,53,-,-,-,-,103,53,
平成28,2016,自転車乗車の場合,Riding on bicycles,その他の違反,Other violations,-,2,1,-,-,-,-,2,1,
平成28,2016,自転車乗車の場合,Riding on bicycles,調査不能,Cause undetermined,-,4,-,-,-,-,-,4,-,
平成28,2016,自転車乗車の場合,Riding on bicycles,違反なし,No violation,18,288,129,-,1,-,18,287,129,
平成28,2016,自転車乗車の場合,Riding on bicycles,第3当事者以下　,Third party involvement,257,31,4,1,-,-,256,31,4,
平成28,2016,その他,Others,,,234,226,75,-,-,-,234,226,75,
,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,　
20-15  子供の交通事故死傷者数 （平成24～28年） 20-15 CHILDREN KILLED OR INJURED IN TRAFFIC ACCIDENTS ( 2012-2016 ),,,,,,,,,,,,,,,
資料：警視庁総務部文書課 Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,,,
