年次,Year,区分,Classification,港または空港,Seaport or airport ,総数 Total,アジア Asia,ヨーロッパ Europe,アフリカ Africa,北アメリカ North America,南アメリカ South America,オセアニア Oceania,無国籍 No nationality
平成26,2014,出国, Departure,総数,Total,6712760,4643189,825033,23425,899413,66473,254686,541
平成27,2015,出国, Departure,総数,Total,8581352,6137026,974547,26065,1041516,81643,319913,642
平成28,2016,出国, Departure,総数,Total,10090107,7233530,1118736,28200,1240037,85488,383318,798
平成28,2016,出国, Departure,東京,Tokyo,2858,374,158,1,382,7,1936,-
平成28,2016,出国, Departure,羽田（空港）,Haneda(Airport),3272228,2351298,432774,9309,335109,21473,121965,300
平成28,2016,出国, Departure,成田（空港）,Narita(Airport),6815021,4881858,685804,18890,904546,64008,259417,498
平成26,2014,入国, Entry,総数,Total,6683874,4586723,837061,23661,914084,65000,256801,544
平成27,2015,入国, Entry,総数,Total,8603742,6113868,987032,26536,1065723,81470,328470,643
平成28,2016,入国, Entry,総数,Total,10086896,7192225,1128086,28891,1262773,88073,386072,776
平成28,2016,入国, Entry,東京,Tokyo,445,360,15,11,20,12,27,-
平成28,2016,入国, Entry,羽田（空港）,Haneda(Airport),3264070,2353094,428557,9253,332336,18767,121751,312
平成28,2016,入国, Entry,成田（空港）,Narita(Airport),6822381,4838771,699514,19627,930417,69294,264294,464
,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,
4-26　国籍別出入国者数 (平成26～28年) 4-26 PERSONS WHO ENTERED OR DEPARTED FROM TOKYO BY NATIONALITY ( 2014-2016 ) ,,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice（ホームページ）,,,,,,,,,,,,,
