年次,Year,港,Harbor,総数 Total／隻数 Number,総数 Total／総トン数 GT,内航商船 Coasters／隻数 Number,内航商船 Coasters／総トン数 GT,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／隻数 Number,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／総トン数 GT
平成24,2012,総数,Total,27715,15789640,11719,15407520,15996,382120
平成25,2013,総数,Total,27775,17039108,10271,16616498,17504,422610
平成26,2014,総数,Total,26636,19912525,10734,19452794,15902,459731
平成27,2015,総数,Total,22757,18113590,9569,17335425,13188,778165
平成28,2016,総数,Total,24776,19930909,9814,19531893,14962,399016
平成28,2016,元町港,Motomachi Harbor,1369,791825,1360,788128,9,3697
平成28,2016,岡田港,Okada Harbor,2170,3065398,2150,3047681,20,17717
平成28,2016,波浮港,Habu Harbor,430,134239,318,109583,112,24656
平成28,2016,利島港,Toshima Harbor,1378,2686109,1378,2686109,-,-
平成28,2016,新島港,Niijima Harbor,1314,2747746,1313,2747261,1,485
平成28,2016,式根島港,Shikinejima Harbor,1484,11375,-,-,1484,11375
平成28,2016,神津島港,Kozushima Harbor,3989,951149,432,824168,3557,126981
平成28,2016,三池港,Miike Harbor,341,1331788,341,1331788,-,-
平成28,2016,御蔵島港,Mikurajima Harbor,599,2764337,599,2764337,-,-
平成28,2016,神湊港,Kaminato Harbor,955,3827624,940,3795765,15,31859
平成28,2016,八重根港,Yaene Harbor,69,103924,69,103924,-,-
平成28,2016,青ヶ島港,Aogashima Harbor,171,79530,171,79530,-,-
平成28,2016,二見港,Futami Harbor,7630,1276548,438,1116104,7192,160444
平成28,2016,沖港,Oki Harbor,2877,159317,305,137515,2572,21802
,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-21  入港船舶隻数及び総トン数 （平成24～28年）（島しょ港湾） 4-21 NUMBER AND GROSS TONNAGE OF ARRIVING VESSELS ( 2012-2016 )( Harbors of Islands ),,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,
