年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成24,2012,総数,Total,,,,22850,14813,8037,22850,14813,8037
平成25,2013,総数,Total,,,,24368,16034,8334,24368,16034,8334
平成26,2014,総数,Total,,,,25778,17085,8693,25778,17085,8693
平成27,2015,総数,Total,,,,27731,18520,9211,27731,18520,9211
平成28,2016,総数,Total,,,,29207,19728,9479,29207,19728,9479
平成28,2016,日暮里・舎人ライナー,Nippori-Toneri Liner,日暮里,Nippori,※,8777,6393,2385,8776,6393,2383
平成28,2016,日暮里・舎人ライナー,Nippori-Toneri Liner,西日暮里,Nishi-Nippori,※,4751,3039,1712,5086,3039,2047
平成28,2016,日暮里・舎人ライナー,Nippori-Toneri Liner,赤土小学校前,Akado-Shogakkomae,※,893,455,438,836,455,381
平成28,2016,日暮里・舎人ライナー,Nippori-Toneri Liner,熊野前,Kumanomae,※,1670,916,754,1591,916,675
平成28,2016,日暮里・舎人ライナー,Nippori-Toneri Liner,足立小台,Adachi-Odai,※,696,448,249,688,448,241
平成28,2016,日暮里・舎人ライナー,Nippori-Toneri Liner,扇大橋,Ogi-Ohashi,※,1594,1037,557,1561,1037,524
平成28,2016,日暮里・舎人ライナー,Nippori-Toneri Liner,高野,Koya,※,1033,730,302,1008,730,278
平成28,2016,日暮里・舎人ライナー,Nippori-Toneri Liner,江北,Kohoku,※,1745,1152,593,1727,1152,575
平成28,2016,日暮里・舎人ライナー,Nippori-Toneri Liner,西新井大師西,Nishiaraidaishi-Nishi,※,1959,1337,622,1938,1337,601
平成28,2016,日暮里・舎人ライナー,Nippori-Toneri Liner,谷在家,Yazaike,※,1695,1177,518,1652,1177,475
平成28,2016,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人公園,Toneri-Koen,※,785,424,360,774,424,349
平成28,2016,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人,Toneri,※,1350,953,397,1340,953,388
平成28,2016,日暮里・舎人ライナー,Nippori-Toneri Liner,見沼代親水公園,Minumadai-Shinsuikoen,※,2260,1668,592,2230,1668,562
,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-11  都営日暮里・舎人ライナーの駅別乗降車人員 (平成24～28年度） 4-11 NUMBER OF PASSENGERS ON TOEI NIPPORI-TONERI LINER TRAINS BY STATION ( Fiscal Years 2012-2016 ),,,,,,,,,,,,
同一会社内の乗り継ぎは除く。  ※印は区部にある駅 (線) を示す。,,,,,,,,,,,,
Figures exclude transits between lines of the same company. The lines and stations marked with ※ refer to the ones located in the ku area.,,,,,,,,,,,,
資料：都交通局総務部企画調整課  Source: Bureau of Transportation， TMG,,,,,,,,,,,,
（単位　千人） (In thousands),,,,,,,,,,,,
