No,観測地点 1),Location of observatory 1),水準基標番号 Bench mark number,測量開始年,Year of start of measurement,平成14年 2002,平成15年 2003,平成16年 2004,平成17年 2005,平成18年 2006,平成19年 2007,平成20年 2008,平成21年 2009,平成22年 2010,平成23年 2011,平成24年 2012,平成25年 2013,平成26年 2014,平成27年 2015,平成28年 2016,(参考) 測量開始年からの変動量累計 (単位 ｍ) (Reference) Accumulated total since the beginning of observation (in meters) 3) 
1,港区 芝,Shiba， Minato-ku,芝(6),昭和5,1930,-0.09,0.21,-0.15,-0.19,0.39,-0.44,0.09,0.1,-0.35,2),0.19,-0.03,0.09,-0.08,0.34,-0.0592
2,新宿区 市谷田町,Ichigayatamachi， Shinjuku-ku,牛(4),昭和5,1930,-0.07,0.04,-0.33,-0.12,0.15,-0.39,0.06,0.21,-0.57,2),-0.01,-0.46,-0.05,0.04,0.14,-0.1566
3,文京区 本郷,Hongo， Bunkyo-ku,郷(2),昭和5,1930,-0.21,0.41,-0.4,0.03,0.47,-0.8,0.25,0.03,-0.82,2),-0.25,-0.17,-0.19,0.13,0.27,-0.1572
4,墨田区 八広,Yahiro， Sumida-ku,向(3),昭和8,1933,0.61,0.42,0.2,0.38,0.69,-0.4,0.23,0.24,-0.22,2),0.27,0,0.14,-0.02,0.09,-1.7393
5,江東区 南砂,Minamisuna， Koto-ku,9832,大正7,1918,-0.28,1.02,0.02,0.34,0.92,-0.27,0.28,0.32,-0.16,2),0.2,0.03,0.36,-0.53,0.44,-4.5102
6,大田区 本羽田,Honhaneda， Ota-ku,蒲(5),昭和19,1944,-0.34,-0.06,-0.38,0.42,-0.03,-0.65,0.38,0.01,0.45,2),0.25,-0.25,0.18,0.4,-0.12,-0.0402
7,世田谷区 千歳台,Chitosedai， Setagaya-ku,世(8),昭和47,1972,0.03,-0.25,0.36,-0.45,0,-0.45,0.22,0.26,-0.52,2),0.48,-0.28,0.27,0.05,0.04,-0.0426
8,板橋区 新河岸,Shingashi， Itabashi-ku,板(7),昭和33,1958,-0.02,0.55,-0.28,-0.29,0.43,-0.55,0.46,0.12,-0.72,2),-0.02,0.06,-0.07,0.17,-0.32,-1.2408
9,練馬区 高松,Takamatsu， Nerima-ku,練(15),昭和44,1969,-0.32,0.48,-0.07,-0.2,0.15,-0.4,0.56,-0.02,-0.81,2),0.28,0.23,-0.01,0.07,0.15,-0.3356
10,足立区 千住大川町,Senjuokawa-cho， Adachi-ku,足(18),昭和37,1962,0.12,0.76,-0.31,0.46,0.52,-0.36,0.38,-0.45,0,2),-0.08,0.4,0,0.04,0.13,-0.7353
11,足立区 谷在家,Yazaike， Adachi-ku,足(7),昭和8,1933,-0.19,0.46,-0.42,0.4,0.05,-0.53,0.44,-0.06,-0.67,2),-0.15,0.21,0.16,0.11,-0.44,-0.9134
12,葛飾区 高砂,Takasago， Katsushika-ku,葛(4),昭和8,1933,-0.02,0.44,-0.09,0.28,0.51,-0.62,0.43,-0.33,-0.38,2),-0.09,0.1,0.24,-0.11,-0.37,-0.6676
