年度末,End of fiscal year,地域階層,地域コード,地域,District,浄水場数 Purification plants,給水所数 Distribution stations,営業所数 Service stations,配水管 Water pipes／総延長 Total length (m),配水管 Water pipes／配水本管 Water mains (m),配水管 Water pipes／配水小管 Service pipes (m),消火栓数 Fire hydrants,制水弁数 Hydraulic control valves,空気弁数 Air relief valves,排水弁数 Drainage valves
平成24,2012,0,13000,総数,Tokyo-to,11,58,33,26490398,2384790,24105608,131949,375880,15760,10753
平成25,2013,0,13000,総数,Tokyo-to,11,58,33,26613015,2401441,24211574,132315,380580,15823,10852
平成26,2014,0,13000,総数,Tokyo-to,11,58,33,26774392,2428895,24345497,132616,385832,15910,10886
平成27,2015,0,13000,総数,Tokyo-to,11,58,33,26915097,2453386,24461711,132833,391026,15962,11073
平成28,2016,0,13000,総数,Tokyo-to,11,58,33,27038163,2476659,24561504,132993,396081,16034,11197
平成28,2016,1,13100,区部,All ku,5,23,21,16570182,1686435,14883747,90557,255794,9376,7540
平成28,2016,2,13101,千代田区,Chiyoda-ku,-,-,1,289450,46779,242672,1551,4167,318,219
平成28,2016,2,13102,中央区,Chuo-ku,-,1, - ,315846,39368,276478,1834,5854,336,392
平成28,2016,2,13103,港区,Minato-ku,-,1,1,432847,66267,366581,2591,6549,384,334
平成28,2016,2,13104,新宿区,Shinjuku-ku,-,1,1,552663,66092,486571,3680,7952,330,272
平成28,2016,2,13105,文京区,Bunkyo-ku,-,1,1,319122,40847,278274,1933,4897,260,205
平成28,2016,2,13106,台東区,Taito-ku,-,-,-,412891,33998,378893,2405,7418,233,212
平成28,2016,2,13107,墨田区,Sumida-ku,-,-,1,505763,56514,449249,2868,8403,376,315
平成28,2016,2,13108,江東区,Koto-ku,-,4,1,753553,107216,646337,3785,10578,692,576
平成28,2016,2,13109,品川区,Shinagawa-ku,-,-,1,586872,58301,528572,2872,8660,332,349
平成28,2016,2,13110,目黒区,Meguro-ku,-,1,1,451467,38159,413308,2430,7573,186,209
平成28,2016,2,13111,大田区,Ota-ku,-,2,1,1177753,114896,1062857,6241,19327,675,685
平成28,2016,2,13112,世田谷区,Setagaya-ku,2,3,1,1637011,167698,1469313,9079,24002,821,687
平成28,2016,2,13113,渋谷区,Shibuya-ku,-,-,1,398945,39251,359695,2292,6633,207,144
平成28,2016,2,13114,中野区,Nakano-ku,-,-,1,553314,49010,504304,2781,8487,302,179
平成28,2016,2,13115,杉並区,Suginami-ku,1,1,1,1085892,111787,974106,5480,15086,580,365
平成28,2016,2,13116,豊島区,Toshima-ku,-,-,1,475380,45560,429820,2501,7778,243,239
平成28,2016,2,13117,北区,Kita-ku,-,-,1,560516,51505,509012,3001,8533,302,234
平成28,2016,2,13118,荒川区,Arakawa-ku,-,1,1,328005,28813,299192,2083,5938,195,96
平成28,2016,2,13119,板橋区,Itabashi-ku,1,2,1,852273,96373,755900,4979,12859,455,317
平成28,2016,2,13120,練馬区,Nerima-ku,-,1,1,1295487,105106,1190380,7309,18896,474,345
平成28,2016,2,13121,足立区,Adachi-ku,-,1,1,1416487,124266,1292221,7355,21400,596,430
平成28,2016,2,13122,葛飾区,Katsushika-ku,1,1,1,933014,102579,830435,4803,14321,547,327
平成28,2016,2,13123,江戸川区,Edogawa-ku,-,2,1,1235630,96051,1139579,6704,20483,532,409
平成28,2016,1,,市郡部,shi and gun,3,35,12,10457159,779521,9677639,42435,140270,6629,3637
平成28,2016,2,13201,八王子市,Hachioji-shi,-,14,1,1632886,103531,1529355,6131,21962,1037,436
平成28,2016,2,13202,立川市,Tachikawa-shi,-,-,1,410830,35628,375202,2049,5548,189,115
平成28,2016,2,13204,三鷹市,Mitaka-shi,-,-, - ,357395,20026,337369,1652,5347,90,62
平成28,2016,2,13205,青梅市,Ome-shi,-,3,1,591655,30457,561198,3563,7273,559,182
平成28,2016,2,13206,府中市,Fuchu-shi,-,-,1,596160,52731,543429,3033,8562,209,203
平成28,2016,2,13208,調布市,Chofu-shi,-,1,1,423090,19275,403815,1867,6985,137,62
平成28,2016,2,13209,町田市,Machida-shi,-,1,1,1293094,142485,1150609,3903,15821,890,497
平成28,2016,2,13210,小金井市,Koganei-shi,-,-, - ,237152,16427,220725,1150,3189,98,106
平成28,2016,2,13211,小平市,Kodaira-shi,-,-,1,415152,29337,385815,1502,4905,175,85
平成28,2016,2,13212,日野市,Hino-shi,-,2,1,522090,33852,488237,1917,7700,337,182
平成28,2016,2,13213,東村山市,Higashimurayama-shi,1,2, - ,307014,21545,285469,990,4107,137,112
平成28,2016,2,13214,国分寺市,Kokubunji-shi,-,-, - ,260893,15691,245202,1250,3223,74,87
平成28,2016,2,13215,国立市,Kunitachi-shi,-,-, - ,177803,9687,168116,918,2348,77,87
平成28,2016,2,13218,福生市,Fussa-shi,-,-, - ,160709,8576,152133,615,2244,89,43
平成28,2016,2,13219,狛江市,Komae-shi,-,-, - ,156352,12676,143676,691,2509,65,84
平成28,2016,2,13220,東大和市,Higashiyamato-shi,-,1, - ,247868,18599,229270,836,3571,137,128
平成28,2016,2,13221,清瀬市,Kiyose-shi,-,-, - ,166063,11977,154086,515,1877,98,86
平成28,2016,2,13222,東久留米市,Higashikurume-shi,-,-,1,265103,18780,246323,1065,3529,165,119
平成28,2016,2,13223,武蔵村山市,Musashimurayama-shi,-,-,1,224127,18094,206033,638,2838,123,66
平成28,2016,2,13224,多摩市,Tama-shi,-,-,1,221362,10336,211026,931,3120,119,125
平成28,2016,2,13225,稲城市,Inagi-shi,-,2,-,185782,2075,183707,959,2723,98,41
平成28,2016,2,13228,あきる野市,Akiruno-shi,-,3,1,391894,24978,366916,1349,5280,444,203
平成28,2016,2,13229,西東京市,Nishitokyo-shi,-,-, - ,369807,28978,340829,1631,5349,202,87
平成28,2016,2,13303,瑞穂町,Mizuho-machi,-,1, - ,202894,18268,184626,760,2377,111,56
平成28,2016,2,13305,日の出町,Hinode-machi,-,1, - ,112961,4634,108327,250,1436,184,135
平成28,2016,2,13308,奥多摩町,Okutama-machi,-,-, - ,113021, - ,113021,358,994,199,11
平成28,2016,2,,多摩ﾆｭｰﾀｳﾝ,Tama New Town,-,-, - ,398121,55249,342872,1912,5434,553,212
平成28,2016,2,,その他,Others,2,1, - ,15886,15632,254,-,19,33,25
平成28,2016,1,99999,都外,Outside Tokyo-to,3,-, - ,10822,10704,118,1,17,29,20
,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,
6-4  地域別上水道施設及び付属設備 （平成24～28年度末） 6-4  WATERWORKS FACILITIES AND EQUIPMENT BY DISTRICT (End of Fiscal Years 2012～2016) ,,,,,,,,,,,,,,,
この表は， 都水道局の事業実績である。 区部及び多摩地区26市町に給水するほか， 武蔵野， 昭島， 羽村の 3市に分水している。 ,,,,,,,,,,,,,,,
The table shows business activities of the Bureau of Waterworks， Tokyo Metropolitan Government， with water supplied  to the “ku” area and the 26 cities and towns in the Tama area. Water is also shared with Musashino， Akishima and Hamura cities， which have their own water supply entities.,,,,,,,,,,,,,,,
資料：都水道局総務部調査課　　　Source : Bureau of  Waterworks,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市郡部・都外　２:区市町村・多摩ニュータウン・その他）,,,,,,,,,,,,,,,
