年次,Year,区分階層,項番Itemnumber,種類,Kind,受理Received／総数Total,受理Received／旧受Previouslyreceived,受理Received／新受Newlyreceived,既済Disposed／総数Total,既済Disposed／認容Granted,既済Disposed／却下Rejected,既済Disposed／取下Withdrawn,既済Disposed／その他Others,未済Pending
平成27,2015,0,,総数,Total,103428,8542,94886,94774,90427,486,2154,1707,8654
平成28,2016,0,,総数,Total,103393,8653,94740,96071,91798,570,2183,1520,7322
平成28,2016,1,,別表第一審判事件総数,TotalnumberofcasesofadjudicationofdomesticrelationsstipulatedinAppendedTable1oftheDomesticRelationsCaseProcedureAct,99976,7454,92522,93760,90690,316,1795,959,6216
平成28,2016,2,1,後見開始の審判及びその取消し,Adjudicationoncommencementofguardianshipandrescissionofsuchadjudication,4428,433,3995,4102,3954,12,61,75,326
平成28,2016,2,2,保佐開始の審判・取消しなど,Adjudicationoncommencementofcuratorship，rescissionofsuchadjudication，etc.,1919,222,1697,1711,1542,15,125,29,208
平成28,2016,2,3,補助開始の審判・取消しなど,Adjudicationoncommencementofassistance，rescissionofsuchadjudication，etc.,723,71,652,655,586,7,52,10,68
平成28,2016,2,4,後見人等の選任,Appointmentofaguardian，etc.,2579,147,2432,2500,2410,14,31,45,79
平成28,2016,3,,うち成年後見人の選任,(ofwhich)Appointmentofaguardianofanadult,810,31,779,796,759,9,9,19,14
平成28,2016,3,,うち成年後見監督人の選任,(ofwhich)Appointmentofasupervisorfortheguardianofanadult,1095,31,1064,1082,1071,2,3,6,13
平成28,2016,3,,うち保佐人の選任,(ofwhich)Appointmentofacurator,102,12,90,91,80,2,2,7,11
平成28,2016,3,,うち保佐監督人の選任,(ofwhich)Appointmentofasupervisorforacurator,256,25,231,249,240,1,-,8,7
平成28,2016,3,,うち補助人の選任,(ofwhich)Appointmentofanassistant,34,3,31,33,33,-,-,-,1
平成28,2016,3,,うち補助監督人の選任,(ofwhich)Appointmentofasupervisorfortheassistant,83,9,74,81,78,-,1,2,2
平成28,2016,3,,うち未成年後見人の選任,(ofwhich)Appointmentofaguardianofaminor,180,35,145,149,130,-,16,3,31
平成28,2016,3,,うち未成年後見監督人の選任,(ofwhich)Appointmentofasupervisorfortheguardianofaminor,19,1,18,19,19,-,-,-,-
