年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total 1),住宅の種類 Type of dwelling／専用住宅 Used exclusively for living,住宅の種類 Type of dwelling／店舗，その他の併用住宅 Used also for commerce or other purposes,所有関係 Tenure of dwelling／持ち家 Owned houses,所有関係 Tenure of dwelling／借家 Rented houses／計 Total,所有関係 Tenure of dwelling／借家 Rented houses／公営の借家 Owned by local government,所有関係 Tenure of dwelling／借家 Rented houses／都市再生機構(UR）・公社の借家 Owned by Urban Renaissance Agency or public corporation,所有関係 Tenure of dwelling／借家 Rented houses／民営借家 Owned privately,所有関係 Tenure of dwelling／借家 Rented houses／給与住宅 Issued houses,建て方 Type of building／一戸建 Detached houses,建て方 Type of building／長屋建 Tenement houses,建て方 Type of building／共同住宅 Apartments／計 Total,建て方 Type of building／共同住宅 Apartments／1～2階 1-2 Stories,建て方 Type of building／共同住宅 Apartments／3～5階 3-5 Stories,建て方 Type of building／共同住宅 Apartments／6～10階 6-10 Stories,建て方 Type of building／共同住宅 Apartments／11階以上 11 Stories and higher,建て方 Type of building／共同住宅 Apartments／その他 Others,構造 Construction material／木造（防火木造を除く） Wooden (excluding wooden and fire-proofed),構造 Construction material／防火木造 Wooden and fire-proofed,構造 Construction material／非木造 Non-wooden
平成15,2003,0,13000,,東京都,Tokyo-to,5434100,5273000,161100,2432900,2719100,277200,220300,2015200,206500,1608700,101100,3697600,967900,1506300,705900,517600,26700,627800,1645300,3161000
平成20,2008,0,13000,,東京都,Tokyo-to,5939900,5799900,140000,2650900,2909300,274600,225900,2206300,202500,1686500,93700,4134900,952400,1619700,858600,704200,24900,538600,1668200,3733200
平成25,2013,0,13000,,東京都,Tokyo-to,6472600,6372000,100700,2962100,3100300,268200,232200,2432200,167600,1797300,118100,4529700,952300,1695900,1007600,873900,27500,535600,1799500,4137500
平成25,2013,1,13100,,区部,All ku,4601560,4524930,76630,1988200,2283640,170450,142860,1834320,136010,1060670,75830,3440980,646080,1234930,800780,759190,24080,350830,1086650,3164090
平成25,2013,2,13101,1,千代田区,Chiyoda-ku,27560,26580,970,11340,14880,850,190,10550,3300,1040,60,24730,200,1260,9440,13830,1720,280,580,26700
平成25,2013,2,13102,2,中央区,Chuo-ku,76110,74930,1180,31310,42560,2110,4530,30520,5410,3740,160,71400,150,2360,15450,53440,820,1310,1620,73180
平成25,2013,2,13103,3,港区,Minato-ku,111320,110650,670,47060,56400,4740,3900,42750,5010,5790,1030,103520,2250,18240,33800,49240,980,2180,4070,105080
平成25,2013,2,13104,4,新宿区,Shinjuku-ku,194970,193000,1970,70240,105370,7620,1050,87570,9120,24290,2510,167380,20590,65170,40010,41600,790,8500,28160,158310
平成25,2013,2,13105,5,文京区,Bunkyo-ku,114590,112860,1730,51720,58670,1020,1080,51280,5280,22020,2480,89330,8370,27930,22270,30770,760,8660,13350,92570
平成25,2013,2,13106,6,台東区,Taito-ku,99860,94230,5620,49700,43370,1920,-,39900,1550,19320,460,78340,3710,15960,28080,30590,1730,9610,6700,83550
