年次,Year,港または空港,Seaport or airport ,総数 Total,入国者 Entry／計 Total,入国者 Entry／日本人 Japanese,入国者 Entry／外国人 Foreigner,入国者 Entry／協定該当者 Under the status of forces agreement 1),出国者 Departure／計 Total,出国者 Departure／日本人 Japanese,出国者 Departure／外国人 Foreigner,出国者 Departure／協定該当者 Under the status of forces agreement 1)
平成26,2014,総数,Total,34768457,17366606,10570093,6683874,112639,17401851,10576454,6712760,112637
平成27,2015,総数,Total,38126649,19089183,10368049,8603742,117392,19037466,10337634,8581352,118480
平成28,2016,総数,Total,42179951,21081603,10869976,10086896,124731,21098348,10883323,10090107,124918
平成28,2016,東京,Tokyo,7372,749,304,445,-,6623,3765,2858,-
平成28,2016,羽田（空港）,Haneda(Airport),15027468,7491579,4206812,3264070,20697,7535889,4241440,3272228,22221
平成28,2016,成田（空港）,Narita(Airport),27145111,13589275,6662860,6822381,104034,13555836,6638118,6815021,102697
,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-25  港別出入国者数 （平成26～28年） 4-25 NUMBER OF PERSONS ENTERING OR DEPARTING JAPAN BY SEAPORT OR AIRPORT ( 2014-2016 ),,,,,,,,,,,,
注 １) 日米間の地位協定及び日本国における国際連合の軍隊の地位に関する協定による軍人，軍属及びその家族で，軍艦又は軍用機によらないで，本邦へ入国又は本邦から出国した者をいう。,,,,,,,,,,,,
Note： 1) Members of foreign military forces， civilian component， and their families falling under the US-Japan Status of Forces Agreements and UN Status of Forces Agreement， who entered or departed Japan by means other than military ships or aircraft.,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,
