年,Year,区分,Classification,数量 Number,金額 Value（千円 in thousands of yen）
平成26,2014,総数,Total,…,85487278
平成27,2015,総数,Total,…,88368365
平成28,2016,総数,Total,…,89274124
平成28,2016,切花（本）,Cut flowers (stems),886201203,60003186
平成28,2016,切葉（枚）,Cut leaves (pieces),71252393,2281549
平成28,2016,切枝（束）,Cut tree branches (bundles),28102981,5118749
平成28,2016,鉢物（鉢）,Potted flowers (pots),30894462,16456847
平成28,2016,苗物（箱）,Bedding plants (boxes),3052562,4967374
平成28,2016,その他花き（箱）,Others (boxes),683829,446420
,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,
10-4  花きの部類別取扱高 （平成26～28年） 10-4 TOTAL TRANSACTIONS IN FLOWERS BY TYPE（ 2014-2016 ）,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,
（単位　金額　千円） （Value in thousands of yen),,,,,
