年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,規格改良済 Standard-improved／計 Total／延長 Length,規格改良済 Standard-improved／計 Total／面積 Area,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／延長 Length,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／面積 Area,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／延長 Length,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／延長 Length,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／延長 Length,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／面積 Area,未改良 Unimproved／計 Total／延長 Length,未改良 Unimproved／計 Total／面積 Area,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／延長 Length,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／延長 Length,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／延長 Length,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／面積 Area,
平成25,2013,0,13000,,総数,Tokyo-to,24431102,184674165,18178522,166684718,320483,12625201,1004049,27886445,6229529,67827829,10624461,58345243,6252580,17989447,58136,588476,429398,2100585,5765046,15300386,
平成26,2014,0,13000,,総数,Tokyo-to,24466923,185309675,18233090,167360258,321179,12677806,1008821,28087240,6220148,67891712,10682942,58703500,6233833,17949417,57650,587833,427461,2093754,5748722,15267830,
平成27,2015,0,13000,,総数,Tokyo-to,24498186,186379779,18315681,168477508,321895,12731828,1017210,28564585,6239539,68172405,10737037,59008690,6182505,17902271,59159,599983,434140,2128594,5689206,15173694,
平成28,2016,0,13000,,総数,Tokyo-to,24522639,187047726,18361686,169218870,323193,12964269,1019528,28472686,6251788,68580038,10767177,59201877,6160953,17828856,58382,594590,424812,2083669,5677759,15150597,
平成29,2017,0,13000,,総数,Tokyo-to,24557683,187626292,18434055,169867818,321386,12916029,1023368,28597839,6281109,68897682,10808192,59456268,6123628,17758474,58175,592916,425025,2086447,5640428,15079111,
平成29,2017,1,13100,,区部,All ku,11934266,103169937,10270628,97072185,295156,11792332,760173,19695389,3897376,38108301,5317923,27476163,1663638,6097752,26066,312675,224186,1008189,1413386,4776888,
平成29,2017,5,13101,1,千代田区,Chiyoda-ku,175570,2784694,175570,2784694,19563,798418,33987,892845,69451,805860,52569,287571,-,-,-,-,-,-,-,-,
平成29,2017,5,13102,2,中央区,Chuo-ku,194759,2992249,186188,2948095,15311,620281,31362,924544,100581,1173552,38934,229718,8571,44154,1141,15149,656,7371,6774,21634,
平成29,2017,5,13103,3,港区,Minato-ku,304051,4391850,284926,4329248,29696,1241266,50734,1328261,87196,1100728,117300,658993,19125,62602,110,815,50,208,18965,61579,
平成29,2017,5,13104,4,新宿区,Shinjuku-ku,356120,3393005,356120,3393005,11989,421442,36110,992551,79517,928613,228504,1050399,-,-,-,-,-,-,-,-,
平成29,2017,5,13105,5,文京区,Bunkyo-ku,207453,1953101,112858,1553162,6147,239505,18617,466419,41564,552252,46530,294986,94595,399939,-,-,15848,89496,78747,310443,
平成29,2017,5,13106,6,台東区,Taito-ku,258486,2625356,217474,2476057,8148,315892,25435,648367,84883,913548,99008,598250,41012,149299,-,-,-,-,41012,149299,
平成29,2017,5,13107,7,墨田区,Sumida-ku,296876,2954134,296770,2953916,3211,118421,35742,877478,109917,1243597,147900,714420,106,218,-,-,-,-,106,218,
平成29,2017,5,13108,8,江東区,Koto-ku,393993,5709464,392916,5704870,38377,1585475,68776,1765770,175723,1659482,110040,694143,1077,4594,-,-,809,3684,268,910,
平成29,2017,5,13109,9,品川区,Shinagawa-ku,388455,3849693,221784,3169387,18003,768892,42247,1046568,138486,1192980,23048,160947,166671,680306,80,1529,128624,566581,37967,112196,
平成29,2017,5,13110,10,目黒区,Meguro-ku,358968,2303792,294252,2113658,2824,104823,15942,464677,135612,996860,139874,547298,64716,190134,140,3459,2517,12627,62059,174048,
平成29,2017,5,13111,11,大田区,Ota-ku,853591,7564889,799017,7393272,32615,1126509,47795,1252197,264952,2451118,453655,2563448,54574,171617,839,6837,2106,12189,51629,152591,
平成29,2017,5,13112,12,世田谷区,Setagaya-ku,1186135,8237377,946838,7420873,16289,615470,27932,662305,221811,2353954,680806,3789144,239297,816504,70,578,2876,14542,236351,801384,
平成29,2017,5,13113,13,渋谷区,Shibuya-ku,272489,2780441,245156,2707332,8745,391088,29899,816474,110673,1062494,95839,437276,27333,73109,-,-,-,-,27333,73109,
平成29,2017,5,13114,14,中野区,Nakano-ku,368256,2155187,210982,1603657,925,30438,8631,241228,52779,642517,148647,689474,157274,551530,-,-,-,-,157274,551530,
平成29,2017,5,13115,15,杉並区,Suginami-ku,688704,4619631,509894,3969391,8413,327711,20461,534287,90612,992950,390408,2114443,178810,650240,24,270,1127,4923,177659,645047,
平成29,2017,5,13116,16,豊島区,Toshima-ku,307963,2364042,221700,2071224,4665,180719,17972,510698,47352,564837,151711,814970,86263,292818,-,-,167,666,86096,292152,
平成29,2017,5,13117,17,北区,Kita-ku,374835,2993762,274108,2628232,2038,75820,20316,489376,171113,1639208,80641,423828,100727,365530,13868,115456,26826,98532,60033,151542,
平成29,2017,5,13118,18,荒川区,Arakawa-ku,215239,1663498,215239,1663498,2593,92171,5763,179861,86554,873232,120329,518234,-,-,-,-,-,-,-,-,
