地域階層,地域コード,項番 Item number,地域,District,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees,総数 Total／年間商品販売額 Annual sales of goods,卸売業 Wholesale trade／事業所数 Number of establishments,卸売業 Wholesale trade／従業者数 Number of employees,卸売業 Wholesale trade／年間商品販売額 Annual sales of goods,小売業 Retail trade／事業所数 Number of establishments,小売業 Retail trade／従業者数 Number of employees,小売業 Retail trade／年間商品販売額 Annual sales of goods,小売業 Retail trade／売場面積 Sales floor space (m2)
0,13000,,東京都,Tokyo-to,106460,1299880,167859560,36504,686677,152004498,69956,613203,15855062,9687256
1,13100,,区部,All ku,84067,1087719,161407706,32056,647497,148977459,52011,440222,12430247,6382852
2,13101,1,千代田区,Chiyoda-ku,5212,121760,51703904,2887,99022,50795845,2325,22738,908058,356876
2,13102,2,中央区,Chuo-ku,6903,147245,28157180,4723,122471,26653285,2180,24774,1503894,356334
2,13103,3,港区,Minato-ku,4551,120186,32572152,2438,97611,31726443,2113,22575,845709,195125
2,13104,4,新宿区,Shinjuku-ku,3982,64020,5205669,1238,30989,3884099,2744,33031,1321570,484489
2,13105,5,文京区,Bunkyo-ku,2194,28004,2227804,1005,20466,2103322,1189,7538,124482,76707
2,13106,6,台東区,Taito-ku,5972,56365,4336775,3325,40572,3933375,2647,15793,403400,223911
2,13107,7,墨田区,Sumida-ku,3079,29629,2795276,1423,17467,2540775,1656,12162,254501,201242
2,13108,8,江東区,Koto-ku,3151,46221,3362636,1201,26777,2832105,1950,19444,530531,356241
2,13109,9,品川区,Shinagawa-ku,3222,54693,8663859,1295,38428,8233228,1927,16265,430631,205936
2,13110,10,目黒区,Meguro-ku,2002,19152,1017765,500,8398,786437,1502,10754,231328,131072
2,13111,11,大田区,Ota-ku,5069,54797,5735742,1641,28774,5152643,3428,26023,583100,321350
2,13112,12,世田谷区,Setagaya-ku,4568,37879,1178210,853,8921,593786,3715,28958,584424,378701
2,13113,13,渋谷区,Shibuya-ku,3992,59211,4773407,1332,30624,3659823,2660,28587,1113584,476242
2,13114,14,中野区,Nakano-ku,1881,16371,744953,436,6079,515707,1445,10292,229245,118721
2,13115,15,杉並区,Suginami-ku,3102,23468,945432,634,5770,629988,2468,17698,315444,213552
2,13116,16,豊島区,Toshima-ku,3081,35211,1856287,856,12550,1071212,2225,22661,785075,400674
2,13117,17,北区,Kita-ku,2402,18747,846405,642,5722,669027,1760,13025,177378,151851
2,13118,18,荒川区,Arakawa-ku,1816,12814,495660,609,5857,389453,1207,6957,106207,96711
2,13119,19,板橋区,Itabashi-ku,2968,27188,1050245,830,9657,709208,2138,17531,341037,272642
2,13120,20,練馬区,Nerima-ku,3364,27478,882162,883,6453,459549,2481,21025,422614,318822
2,13121,21,足立区,Adachi-ku,4649,35287,1284195,1404,11191,779228,3245,24096,504967,433008
2,13122,22,葛飾区,Katsushika-ku,3153,21394,605120,835,5448,330222,2318,15946,274898,236806
2,13123,23,江戸川区,Edogawa-ku,3634,29268,924121,1057,8141,512542,2577,21127,411579,362623
