地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／強姦 Rape),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強姦 Rape),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強姦 Rape),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering／theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others
0,13000,総数,Tokyo-to,,,,134619,81,1,9,4,63,-,112,-,213,75,138,-,4734,3142,7,540,278,5230,91428,6627,165,618,3,7,27,1060,4801,505,1059,100,12972,620
1,13100,区部,All ku,,,,100644,49,1,8,3,53,-,88,-,169,54,110,-,3804,2515,4,398,211,3696,68230,5077,137,529,3,7,26,803,3643,387,776,71,9271,521
2,13101,千代田区,Chiyoda-ku,1,麹町署,Kojimachi P. Sta．,465,-,-,-,-,-,-,-,-,-,-,-,-,38,21,-,5,1,10,241,50,3,2,-,-,-,4,28,3,3,-,40,16
2,13101,千代田区,Chiyoda-ku,2,丸の内署,Marunouchi P. Sta. ,1159,-,-,-,-,1,-,-,-,2,-,-,-,109,25,-,3,-,8,864,53,2,8,-,-,-,4,28,3,3,-,29,17
2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda P. Sta.,526,-,-,-,-,-,-,-,-,-,1,-,-,32,14,-,4,2,18,334,34,-,9,-,-,-,5,27,3,8,-,31,4
2,13101,千代田区,Chiyoda-ku,4,万世橋署,Manseibashi P. Sta.,1217,-,-,-,-,-,-,-,-,1,-,-,-,63,34,-,2,8,41,822,71,5,13,-,-,-,9,67,7,9,2,61,2
2,13102,中央区,Chuo-ku,5,中央署,Chuo P. Sta.,735,-,-,-,-,-,-,1,-,-,-,-,-,44,24,-,8,1,27,433,65,5,13,-,-,-,8,46,2,1,-,48,9
2,13102,中央区,Chuo-ku,6,久松署,Hisamatsu P. Sta.　,421,-,-,-,-,-,-,-,-,-,1,2,-,22,7,-,2,1,16,245,27,-,9,-,-,-,6,26,2,5,-,41,9
2,13102,中央区,Chuo-ku,7,築地署,Tsukiji P. Sta.,1098,-,-,-,-,2,-,-,-,3,1,1,-,41,37,-,5,2,46,756,72,2,13,-,-,-,10,28,5,2,-,63,9
2,13102,中央区,Chuo-ku,8,月島署,Tsukishima P. Sta. ,333,-,-,-,-,-,-,-,-,1,-,2,-,17,17,-,2,1,4,204,20,-,2,-,-,-,3,14,-,5,-,39,2
