年度,Fiscal year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self Employed,就職状況 Placement／就職率 Employment Rate (%)
平成27,2015,総数,All Courses,4014,3355,2460,56,75
令和28,2016,総数,All Courses,4009,3473,2598,65,76.7
令和28,2016,メカトロニクス,Mechatronics (2 years),31,21,21,0,100
令和28,2016,自動車整備工学,Automobile mechanics (2 years),54,51,51,0,100
令和28,2016,機械加工,Machining (2 years),15,16,16,0,100
令和28,2016,自動車車体整備,Automobile body repair (2 years),14,10,9,0,90
令和28,2016,エンジニア養成,Engineering (2 years),12,17,14,0,82.4
令和28,2016,精密加工,Precision machining,17,18,18,0,100
令和28,2016,木工技術,Woodworking,47,38,35,1,94.7
令和28,2016,インテリアサービス,Interior decoration,18,18,18,0,100
令和28,2016,電気工事,Electrical wiring ,89,74,70,0,94.6
令和28,2016,コンピュータ制御システム,Embedded computer system development,7,4,4,0,100
令和28,2016,電気設備技術,Electrical work,14,9,9,0,100
令和28,2016,計測制御システム,Measurement control systems,5,5,5,0,100
令和28,2016,環境分析,Environmental analysis,16,15,14,0,93.3
令和28,2016,自動車塗装,Automobile body painting,13,12,11,0,91.7
令和28,2016,パソコングラフィック,Computer graphics,30,22,18,0,81.8
令和28,2016,ＯＡシステム開発,OA system development,36,26,24,0,92.3
令和28,2016,ネットワークプログラミング,Network programming,23,15,15,0,100
令和28,2016,金型加工,Die and mold machining,7,5,5,0,100
令和28,2016,３ＤＣＡＤ・ＣＡＭ,3D CAD／CAM,29,21,16,1,81
令和28,2016,機械組立技術,Machine assembly,10,9,6,0,66.7
令和28,2016,建築設備,Building equipment installation,10,9,9,0,100
令和28,2016,広告美術,Advertising art,27,24,15,0,62.5
令和28,2016,サイン・ディスプレイ,Signs and displays,21,17,14,0,82.4
令和28,2016,測量設計,Surveying,20,10,8,0,80
令和28,2016,環境空調サービス,Air conditioning services,28,25,23,2,100
令和28,2016,和装技術,Kimono-making,29,25,22,1,92
令和28,2016,電気設備システム,Electrical facilities management,21,20,19,0,95
令和28,2016,Ｗｅｂ設計,Web design,30,18,17,0,94.4
令和28,2016,組込みシステム技術,Embedded systems technology,17,10,10,0,100
令和28,2016,若年者就業支援科(塗装コース),Employment support course for young people (painting course),12,4,4,0,100
令和28,2016,若年者就業支援科（建築塗装）,Employment support course for young people (Construction painting),12,7,6,0,85.7
令和28,2016,若年者就業支援科（溶接コース）,Employment support course for young people (welding course),10,8,6,1,87.5
令和28,2016,わかもの人財養成,Basic job skills for young people,14,10,5,0,50
令和28,2016,ネットワーク施工,Network technology,49,45,26,0,57.8
令和28,2016,プラスチック加工,Plastics processing,13,11,11,0,100
令和28,2016,アパレルパタンナー,Fashion pattern making,30,22,17,3,90.9
令和28,2016,製くつ,Shoemaking,21,19,17,2,100
令和28,2016,財務管理,Financial accounting,118,100,47,0,47
令和28,2016,ＣＡＤ,CAD,71,58,38,0,65.5
令和28,2016,建築ＣＡＤ,Architecture CAD,59,45,32,0,71.1
令和28,2016,溶接,Welding,42,39,38,1,100
令和28,2016,住宅内外装仕上,Interior and exterior finishing,50,41,34,4,92.7
令和28,2016,建築設備施工,Equipment installation,42,38,36,0,94.7
令和28,2016,住宅リフォーム,Home renovation,56,44,30,7,84.1
令和28,2016,グリーンエクステリア,Gardening and exterior work,59,57,42,0,73.7
令和28,2016,セキュリティサービス,Security services,52,46,31,0,67.4
令和28,2016,電気・通信工事,Electrical／telecommunications wiring,54,40,28,0,70
令和28,2016,印刷企画営業,Print design and marketing,25,22,18,1,86.4
令和28,2016,グラフィック印刷,Graphic printing,26,22,22,0,100
令和28,2016,ＤＴＰ,DTP,57,44,33,1,77.3
令和28,2016,医療事務,Medical billing,188,154,114,0,74
令和28,2016,貿易実務,International trade documentation,116,94,58,0,61.7
令和28,2016,ＯＡソフト管理,Office software management,94,72,36,0,50
令和28,2016,ネットワーク構築,Network construction,45,32,14,0,43.8
令和28,2016,配管,Plumbing,24,23,18,2,87
令和28,2016,流通ビジネス,Retail sales,40,35,25,0,71.4
令和28,2016,ファッションリテール,Fashion retail,13,10,8,1,90
令和28,2016,調理,Cooking,49,41,32,1,80.5
令和28,2016,介護サービス,Nursing care,315,299,279,2,94
令和28,2016,ビルクリーニング管理,Building custodial services,26,23,23,0,100
令和28,2016,ビルクリーニング管理（高年齢者向）,Building custodial services (for elderly people) ,31,26,25,0,96.2
令和28,2016,福祉調理,Cooking for welfare institutions,51,45,38,0,84.4
令和28,2016,福祉用具,Assistive equipment,27,24,15,0,62.5
令和28,2016,介護福祉用具,Nursing care equipment,30,26,24,0,92.3
令和28,2016,マンション改修施工,Condominium renovation,51,50,36,6,84
令和28,2016,造園土木施工,Gardening and landscape construction,34,32,29,3,100
令和28,2016,三次元ＣＡＤ,3D CAD,117,105,73,2,71.4
令和28,2016,マンション維持管理,Condominium maintenance and management,60,57,46,0,80.7
