品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位, Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,　　　　　,,,15188501,,5820405,,9368096
食料品及び動物,Foodstuffs and animals,,,,,,,　　　　　,,,117384,,90555,,26829
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,1，000t,,154,31467,154,28783,0,2684
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,13025,,12013,,1012
食料に適さない原材料,No beverage raw material,,,,,,,,,,112484,,101156,,11328
食料に適さない原材料,No beverage raw material,パルプ及び古紙,Pulp and usedpaper,,,,,1，000t,,1791,35077,1791,35077,-,-
食料に適さない原材料,No beverage raw material,金属鉱及びくず,Metallicore and rubbish ,,,,,1，000t,,644,24027,644,24027,-,-
鉱物性燃料,Mineral fuels,,,,,,,,,,5171,,4702,,469
動植物性油脂,Animal and vegetable oils and fats,,,,,,,1，000t,,6,1497,6,1215,0,282
化学製品,Chemical products,,,,,,,　　　　　,,,1477421,,628980,,848441
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,　　　　　,,,125638,,41455,,84183
化学製品,Chemical products,プラスチック,Plastic materials,,,,,1，000t,,736,430567,716,274844,20,155723
原料別製品,Manufactured goods by raw materials,,,,,,,　　　　　,,,1041108,,479902,,561206
原料別製品,Manufactured goods by raw materials,ゴム製品,Rubber goods,,,,,1，000t,,55,82037,53,61175,2,20862
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,　　　　　,,,183080,,70070,,113010
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,ガラス及び同製品,Glass and glasswares,,,          ,,,81196,,27140,,54056
原料別製品,Manufactured goods by raw materials,鉄鋼,Iron and steel products,,,,,1，000t,,181,41906,181,41906,-,-
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,,1，000t,,95,351047,81,111037,14,240009
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,　　　　　,,,284007,,137437,,146570
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,　　　　　,,,7147857,,3373924,,3773933
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,　　　　　,,,3155303,,1647482,,1507821
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,原動機,Power generating machinery,,,1，000t,,129,474900,121,245557,7,229342
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,　　　　　,,,609733,,407782,,201952
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,（電算機類 (含周辺機器)),(Computers (including peripheral devices)),100万台,mil.number,4,189189,2,93908,3,95281
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,,,,,　　　　　,,,3460397,,1262911,,2197486
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,重電機器,Heavy electrical power machinery,,,　　　　　,,,178726,,85314,,93412
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,電気回路等の機器,Electrical apparatuses,,,　　　　　,,,609032,,257907,,351125
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,映像機器,Visual apparatuses,,,10，000台,number,371,231314,90,44048,281,187266
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,音響・映像機器の部分品,Parts of audio／visual apparatuses,,,1，000t,,4,123423,2,41692,2,81731
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,通信機,Communication instruments,,,          ,,,230369,,92906,,137463
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,半導体等電子部品,Semiconductors and other electronic parts,,,          ,,,836688,,210056,,626632
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,半導体等電子部品,Semiconductors and other electronic parts,(IC）,(Integrated circuits),1，000万個,10mil.num.,2814,496655,927,133807,1887,362848
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,電気計測機器,Electrical measuring instruments,,,　　　　　,,,419815,,165569,,254246
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,コンデンサー,Condensers,,,1億個,100mil.num.,916,114691,54,31917,862,82773
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,,,,,　　　　　,,,532157,,463530,,68626
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車,Motor vehicles ,,,1，000台,number,32,66818,32,66818,-,-
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車の部分品,Parts of motor vehicles,,,1，000t,,261,372099,251,340179,9,31921
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,航空機類,Aircrafts,,,,,,69411,,45031,,24379
雑製品,Miscellaneous manufactured goods,,,,,,,　　　　　,,,1793534,,609506,,1184028
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,,,,,　　　　　,,,884726,,286859,,597868
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,科学光学機器,Scientific and optical instruments,,,　　　　　,,,795531,,258275,,537257
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,時計及び部分品,Watches， clocks and parts,,,,,,88980,,28584,,60396
雑製品,Miscellaneous manufactured goods,記録媒体（含記録済）,Blank／recorded media,,,,,100万個 mil.number,1mil.units,67,77124,-,-,67,77124
特殊取扱品,Special commodities,,,,,,,,,,3479020,,518453,,2960566
特殊取扱品,Special commodities,再輸出品,Re-export goods,,,,,,,,2611462,,517414,,2094047
,,,,,,,,,,,,,,,
