年度,Fiscal year,系統,Line,旅客営業キロ Passenger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成24,2012,総数,Total,185.1,172,17851220,11290068,6561152
平成25,2013,総数,Total,185.1,172,18693047,11808378,6884669
平成26,2014,総数,Total,185.1,172,18970658,11975295,6995363
平成27,2015,総数,Total,185.1,172,19649068,12372674,7276394
平成28,2016,総数,Total,185.1,172,20077008,12651607,7425401
平成28,2016,銀座線,Ginza Line,14.3,19,1429468,700326,729142
平成28,2016,丸ノ内線,Marunouchi Line,27.4,28,2367461,1388494,978967
平成28,2016,日比谷線,Hibiya Line,20.3,21,2298875,1377919,920956
平成28,2016,東西線,Tozai Line,22.2,17,3571675,2409744,1161931
平成28,2016,千代田線,Chiyoda Line,24,20,3213914,2180574,1033340
平成28,2016,有楽町線,Yurakucho Line,26.9,23,2865578,1907087,958491
平成28,2016,半蔵門線,Hanzomon Line,16.8,14,1932168,1137647,794521
平成28,2016,南北線 ,Namboku Line,21.3,19,1198287,794670,403617
平成28,2016,副都心線,Fukutoshin Line,11.9,11,1199582,755146,444436
,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-14  地下鉄の運輸成績 (1)  東京地下鉄株式会社 (平成24～28年度）4-14 OPERATIONS OF SUBWAYS  (1)  TOKYO METRO CO.， LTD. ( Fiscal Years 2012-2016 ),,,,,,,,
資料：東京地下鉄株式会社鉄道本部営業部審査課 Source: Tokyo Metro Co.， Ltd.　,,,,,,,,
