年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成24,2012,総数,Total,,,,,,3198046,1815420,1382626,3197664,1815420,1382244
平成25,2013,総数,Total,,,,,,3334757,1899773,1434984,3334398,1899773,1434625
平成26,2014,総数,Total,,,,,,3394159,1938795,1455364,3394114,1938795,1455319
平成27,2015,総数,Total,,,,,,3522765,2006648,1516117,3522758,2006648,1516110
平成28,2016,総数,Total,,,,,,3602048,2058723,1543325,3602021,2058723,1543298
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,,,,,,2507335,1418866,1088469,2507152,1418866,1088286
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,,,※,286775,128881,157894,289411,128881,160530
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,渋谷,Shibuya,◎,39710,18945,20765,40566,18945,21621
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,表参道,Omote-Sando,◎,11048,3502,7546,12070,3502,8568
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,外苑前,Gaiemmae,,13789,6420,7369,14794,6420,8374
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,青山一丁目,Aoyama-Itchome,◎,9975,4501,5474,10402,4501,5901
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,赤坂見附,Akasaka-Mitsuke,◎,10856,4996,5860,10485,4996,5489
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,溜池山王,Tameike-Sanno,◎,11863,6362,5501,11469,6362,5107
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,虎ノ門,Toranomon,,21712,12701,9011,21510,12701,8809
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,新橋,Shimbashi,,45560,23268,22292,44695,23268,21427
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,銀座,Ginza,◎,17665,5946,11719,18312,5946,12366
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,京橋,Kyobashi,,10270,5219,5051,10491,5219,5272
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,日本橋,Nihombashi,◎,11937,4418,7519,11067,4418,6649
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,三越前,Mitsukoshimae,◎,13159,5214,7945,12567,5214,7353
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,神田,Kanda,,10886,4239,6647,10722,4239,6483
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,末広町,Suehirocho,,4296,1577,2719,4406,1577,2829
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,上野広小路,Ueno-Hirokoji,◎,4101,1077,3024,4453,1077,3376
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,上野,Ueno,◎,21856,9749,12107,23053,9749,13304
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,稲荷町,Inaricho,,3018,1486,1532,3049,1486,1563
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,田原町,Tawaramachi,,5772,2262,3510,5991,2262,3729
平成28,2016,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,浅草,Asakusa,,19302,6999,12303,19309,6999,12310
