年度,Fiscal year,総数 Total,警察官 Police officers／計 Total,警察官 Police officers／警部以上 Chief inspector or higher rank,警察官 Police officers／警部補 Inspector,警察官 Police officers／巡査部長 Sergeant,警察官 Police officers／巡査 Police officer,警察官以外の職員 Staff other than police officer
平成28,2016,46466,43505,3814,12764,13204,13723,2961
,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,
22-5  職員数 (6) 警察 (平成28年4月1日) 22-5  GOVERNMENT EMPLOYEES (6) POLICE DEPARTMENT ( Apr. 1， 2016 ),,,,,,,,
この表の職員数は定数である。,,,,,,,,
Number of employees refers to the personnel quota.,,,,,,,,
資料：警視庁総務部文書課 Source: Metropolitan Police Department,,,,,,,,
