年次,Year,地域階層,地域コード,地域,District,項番 Item number,消防署,Fire station,出場件数 Number of dispatches,出場件数 Number of dispatches／うち従事 of which engaged,救助人員 Persons rescued／総数 Total,救助人員 Persons rescued／重症 Severe injury,救助人員 Persons rescued／中等症 Moderate injury,救助人員 Persons rescued／軽症 Minor injury,救助人員 Persons rescued／無症 No injury,救助人員 Persons rescued／死亡 Death,誘導人員 Persons guided to safety,出場車両数 Vehicles deployed／総数 Total,出場車両数 Vehicles deployed／ポンプ車 Pumpers,出場車両数 Vehicles deployed／救助車 Rescue trucks,出場車両数 Vehicles deployed／化学車 Foam pumpers,出場車両数 Vehicles deployed／はしご車 Aerial ladders,出場車両数 Vehicles deployed／救急車 Ambulances,出場車両数 Vehicles deployed／指揮隊車 Command vans,出場車両数 Vehicles deployed／その他 Others 1),従事台数 Vehicles engaged,出場人員 Persons deployed,従事人員 Persons engaged
平成26,2014,0,13000,総数,Tokyo-to,,,,22500,18247,19416,3330,6781,7192,1160,953,78,69903,23893,6856,3469,575,23926,9299,1885,46306,283628,183108
平成27,2015,0,13000,総数,Tokyo-to,,,,22075,17461,19226,2808,6500,7275,1488,1155,67,69476,23273,7028,3537,331,23648,9901,1758,44484,282275,176673
平成28,2016,0,13000,総数,Tokyo-to,,,,21980,17078,18958,2641,6028,7231,1703,1355,89,69978,23270,7245,3463,319,23557,10496,1628,43607,284536,173731
平成28,2016,1,13100,区部,All ku,,,,14784,11246,12475,1789,3910,4629,1156,991,70,48551,15713,6057,2360,266,15818,7329,1008,29224,199695,117645
平成28,2016,2,13101,千代田区,Chiyoda-ku,1,丸の内署,Marunouchi F. Sta.,52,36,42,7,15,19,-,1,-,167,65,15,4,-,61,21,1,94,709,385
平成28,2016,2,13101,千代田区,Chiyoda-ku,2,麹町署,Kojimachi F. Sta．,120,104,127,12,31,74,8,2,-,361,152,24,-,14,135,36,-,272,1474,1095
平成28,2016,2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda F. Sta.,141,104,156,22,25,97,12,-,-,486,188,52,-,4,166,63,13,302,2081,1255
平成28,2016,2,13102,中央区,Chuo-ku,4,京橋署,Kyobashi F. Sta.,165,115,134,13,33,69,13,6,6,564,154,67,61,6,187,83,6,312,2373,1294
平成28,2016,2,13102,中央区,Chuo-ku,5,日本橋署,Nihonbashi F. Sta.,192,155,173,8,41,113,4,7,2,572,233,41,10,4,212,60,12,387,2344,1560
平成28,2016,2,13102,中央区,Chuo-ku,6,臨港署,Rinko F. Sta.,100,80,72,12,18,18,9,15,-,466,71,61,64,2,105,85,78,265,2065,1151
平成28,2016,2,13103,港区,Minato-ku,7,芝署,Shiba F. Sta.,277,216,213,25,45,123,16,4,-,882,299,93,54,5,309,113,9,546,3729,2296
平成28,2016,2,13103,港区,Minato-ku,8,麻布署,Azabu F. Sta.,131,86,102,12,26,49,13,2,-,462,174,46,2,4,152,68,16,262,1914,1082
平成28,2016,2,13103,港区,Minato-ku,9,赤坂署,Akasaka F. Sta.,97,63,75,14,17,33,7,4,-,373,136,47,-,6,113,61,10,210,1574,862
平成28,2016,2,13103,港区,Minato-ku,10,高輪署,Takanawa F. Sta.,148,110,116,12,45,36,19,4,-,443,107,52,60,-,158,65,1,249,1871,1041
平成28,2016,2,13109,品川区,Shinagawa-ku,11,品川署,Shinagawa F. Sta.,260,212,236,37,80,70,41,8,-,857,328,94,37,6,262,118,12,544,3519,2198
平成28,2016,2,13109,品川区,Shinagawa-ku,12,大井署,Oi F. Sta.,199,152,169,14,49,91,7,8,3,682,257,68,26,12,218,86,15,444,2837,1795
平成28,2016,2,13109,品川区,Shinagawa-ku,13,荏原署,Ebara F. Sta.,165,139,145,18,53,40,18,16,1,505,197,51,-,4,172,79,2,332,2133,1384
平成28,2016,2,13111,大田区,Ota-ku,14,大森署,Omori F. Sta.,362,280,324,37,71,160,29,27,1,1192,370,149,86,6,394,167,20,739,5063,2998
平成28,2016,2,13111,大田区,Ota-ku,15,田園調布署,Denencyofu F. Sta.,297,248,251,41,106,64,23,17,-,910,273,92,108,-,310,124,3,554,3609,2125
平成28,2016,2,13111,大田区,Ota-ku,16,蒲田署,Kamata F. Sta.,290,219,278,25,48,165,18,22,-,969,345,125,14,4,319,137,25,587,4055,2369
平成28,2016,2,13111,大田区,Ota-ku,17,矢口署,Yaguchi F. Sta.,199,160,165,23,69,39,15,19,-,606,178,70,53,4,205,81,15,385,2491,1520
平成28,2016,2,13110,目黒区,Meguro-ku,18,目黒署,Meguro F. Sta.,316,251,258,35,100,80,23,20,-,985,363,120,14,1,335,138,14,630,4036,2544
平成28,2016,2,13112,世田谷区,Setagaya-ku,19,世田谷署,Setagaya F. Sta.,491,359,391,49,122,156,29,35,2,1554,514,210,66,3,510,238,13,871,6273,3399
平成28,2016,2,13112,世田谷区,Setagaya-ku,20,玉川署,Tamagawa F. Sta.,299,247,280,40,115,100,12,13,-,875,355,75,5,2,329,101,8,606,3415,2301
平成28,2016,2,13112,世田谷区,Setagaya-ku,21,成城署,Seijo F. Sta.,305,239,252,23,92,75,37,25,-,916,332,110,4,1,320,145,4,539,3677,2105
平成28,2016,2,13113,渋谷区,Shibuya-ku,22,渋谷署,Shibuya F. Sta.,393,261,344,42,64,172,53,13,5,1241,486,137,1,9,428,170,10,621,5060,2484
平成28,2016,2,13104,新宿区,Shinjuku-ku,23,四谷署,Yotsuya F. Sta.,141,97,103,20,34,40,8,1,-,420,155,49,-,5,151,60,-,222,1675,861
平成28,2016,2,13104,新宿区,Shinjuku-ku,24,牛込署,Ushigome F. Sta.,170,115,125,19,52,35,10,9,1,596,224,79,-,5,184,96,8,328,2532,1344
平成28,2016,2,13104,新宿区,Shinjuku-ku,25,新宿署,Shinjuku F. Sta.,456,321,355,64,124,103,45,19,4,1485,537,203,-,10,475,239,21,833,6258,3479
平成28,2016,2,13114,中野区,Nakano-ku,26,中野署,Nakano F. Sta.,199,136,148,31,45,52,12,8,-,651,235,88,-,2,210,107,9,342,2743,1431
平成28,2016,2,13114,中野区,Nakano-ku,27,野方署,Nogata F. Sta.,258,205,188,28,80,51,10,19,1,961,335,125,50,8,273,156,14,598,3907,2403
平成28,2016,2,13115,杉並区,Suginami-ku,28,杉並署,Suginami F. Sta.,480,334,373,35,121,170,31,16,1,1452,538,180,1,3,513,207,10,762,5739,2953
平成28,2016,2,13115,杉並区,Suginami-ku,29,荻窪署,Ogikubo F. Sta.,315,255,297,37,97,120,23,20,-,1075,279,117,102,35,348,177,17,720,4285,2849
平成28,2016,2,13105,文京区,Bunkyo-ku,30,小石川署,Koishikawa F. Sta.,161,110,122,20,39,48,9,6,-,544,185,84,-,1,177,92,5,294,2247,1173
平成28,2016,2,13105,文京区,Bunkyo-ku,31,本郷署,Hongo F. Sta.,129,96,100,23,38,22,8,9,1,404,144,51,-,1,136,71,1,237,1683,973
平成28,2016,2,13116,豊島区,Toshima-ku,32,豊島署,Toshima F. Sta.,263,191,222,39,78,67,25,13,-,877,318,121,-,1,288,135,14,527,3661,2154
平成28,2016,2,13116,豊島区,Toshima-ku,33,池袋署,Ikebukuro F. Sta.,196,142,158,24,49,56,15,14,12,656,237,92,-,3,211,102,11,371,2756,1530
平成28,2016,2,13117,北区,Kita-ku,34,王子署,Oji F. Sta.,195,153,160,27,36,46,23,28,4,806,265,111,36,17,207,136,34,534,3310,2163
平成28,2016,2,13117,北区,Kita-ku,35,赤羽署,Akabane F. Sta.,275,207,215,34,74,54,28,25,-,1012,282,155,46,1,283,183,62,582,4273,2405
平成28,2016,2,13117,北区,Kita-ku,36,滝野川署,Takinogawa F. Sta.,121,81,82,17,32,22,7,4,-,407,144,53,2,3,128,73,4,217,1679,878
平成28,2016,2,13119,板橋区,Itabashi-ku,37,板橋署,Itabashi F. Sta.,370,317,361,53,107,136,39,26,-,1056,295,128,91,-,394,147,1,728,4276,2914
平成28,2016,2,13119,板橋区,Itabashi-ku,38,志村署,Shimura F. Sta.,493,380,408,59,133,133,38,45,2,1705,430,257,182,3,514,282,37,975,7077,3955
平成28,2016,2,13120,練馬区,Nerima-ku,39,練馬署,Nerima F. Sta.,321,255,260,41,96,70,31,22,9,996,222,139,131,2,334,165,3,603,4049,2440
平成28,2016,2,13120,練馬区,Nerima-ku,40,光が丘署,Hikarigaoka F. Sta.,177,137,158,32,55,53,13,5,-,526,184,67,-,-,185,90,-,314,2217,1300
平成28,2016,2,13120,練馬区,Nerima-ku,41,石神井署,Shakujii F. Sta.,375,269,285,36,105,74,29,41,2,1220,417,184,5,8,374,230,2,722,5070,2985
平成28,2016,2,13106,台東区,Taito-ku,42,上野署,Ueno F. Sta.,198,158,155,32,47,47,20,9,-,673,254,86,1,2,216,109,5,440,2906,1908
平成28,2016,2,13106,台東区,Taito-ku,43,浅草署,Asakusa F. Sta.,104,86,103,15,36,39,6,7,-,316,114,28,-,-,117,41,16,214,1307,863
平成28,2016,2,13106,台東区,Taito-ku,44,日本堤署,Nihonzutsumi F. Sta.,159,134,136,38,44,33,10,11,-,499,184,50,1,1,164,71,28,351,2102,1459
平成28,2016,2,13118,荒川区,Arakawa-ku,45,荒川署,Arakawa F. Sta.,176,108,111,21,33,25,22,10,-,586,197,83,11,2,184,97,12,264,2455,1100
平成28,2016,2,13118,荒川区,Arakawa-ku,46,尾久署,Ogu F. Sta.,88,65,68,16,30,14,2,6,-,304,82,41,28,1,94,45,13,169,1265,684
平成28,2016,2,13121,足立区,Adachi-ku,47,千住署,Senju F. Sta.,171,124,135,15,43,50,12,15,-,695,206,99,32,2,182,108,66,390,2899,1585
平成28,2016,2,13121,足立区,Adachi-ku,48,足立署,Adachi F. Sta.,487,382,452,68,101,179,38,66,1,1718,514,230,95,8,529,296,46,1080,7120,4369
平成28,2016,2,13121,足立区,Adachi-ku,49,西新井署,Nishiarai F. Sta.,354,265,303,51,75,116,27,34,-,1169,394,159,27,4,386,186,13,672,4749,2675
平成28,2016,2,13107,墨田区,Sumida-ku,50,本所署,Honjo F. Sta.,237,172,209,24,58,111,7,9,-,783,294,87,5,6,261,103,27,459,3264,1836
平成28,2016,2,13107,墨田区,Sumida-ku,51,向島署,Mukojima F. Sta.,239,183,182,30,77,48,14,13,1,755,204,96,87,2,251,96,19,459,3043,1782
平成28,2016,2,13108,江東区,Koto-ku,52,深川署,Fukagawa F. Sta.,425,324,417,45,123,188,37,24,-,1426,444,174,82,7,463,198,58,925,5809,3713
平成28,2016,2,13108,江東区,Koto-ku,53,城東署,Joto F. Sta.,404,316,346,38,102,142,31,33,6,1330,334,173,135,5,431,218,34,792,5410,3120
平成28,2016,2,13122,葛飾区,Katsushika-ku,54,本田署,Honden F. Sta.,502,415,460,62,150,140,50,58,2,1637,499,205,130,7,537,228,31,1073,6619,4253
平成28,2016,2,13122,葛飾区,Katsushika-ku,55,金町署,Kanamachi F. Sta.,230,170,182,40,60,50,8,24,-,751,142,99,137,4,242,113,14,427,3020,1650
平成28,2016,2,13123,江戸川区,Edogawa-ku,56,江戸川署,Edogawa F. Sta.,370,291,326,61,123,102,23,17,-,1186,295,140,154,2,392,164,39,766,4773,2991
平成28,2016,2,13123,江戸川区,Edogawa-ku,57,葛西署,Kasai F. Sta.,277,203,242,27,64,98,22,31,-,927,264,114,68,4,310,139,28,519,3672,2010
平成28,2016,2,13123,江戸川区,Edogawa-ku,58,小岩署,Koiwa F. Sta.,269,213,225,46,84,52,17,26,3,879,289,111,52,4,274,130,19,564,3543,2214
平成28,2016,3,,消防事務受託地区,Entrusted districts,,,,7196,5832,6483,852,2118,2602,547,364,19,21427,7557,1188,1103,53,7739,3167,620,14383,84841,56086
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-16  消防署別救助活動状況（平成26～28年） 20-16  RESCUE OPERATIONS BY FIRE STATION ( 2014-2016 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) その他には次のものが含まれる。照明車，指揮統制車，水難救助車，救出救助車，ヘリコプター，消防艇。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: 1)  ""Others"" include floodlight trucks， command and operations vehicles， water rescue vehicles， heavy vehicles for rescue， fire helicopters， and fireboats.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部　2:区市町村　3:消防事務受託地区),,,,,,,,,,,,,,,,,,,,,,,,,,,,
