年次,Year,総数 Total／建築物の数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,居住専用住宅 Exclusively for dwelling／建築物の数 Number,居住専用住宅 Exclusively for dwelling／床面積の合計 Total floor space,居住専用住宅 Exclusively for dwelling／工事費予定額 Estimated construction cost,居住専用準住宅 Dormitories／建築物の数 Number,居住専用準住宅 Dormitories／床面積の合計 Total floor space,居住専用準住宅 Dormitories／工事費予定額 Estimated construction cost,居住産業併用 Dwelling and business mixed use／建築物の数 Number,居住産業併用 Dwelling and business mixed use／床面積の合計 Total floor space,居住産業併用 Dwelling and business mixed use／工事費予定額 Estimated construction cost,農林水産業用 Agriculture，forestry and fisheries／建築物の数 Number,農林水産業用 Agriculture，forestry and fisheries／床面積の合計 Total floor space,農林水産業用 Agriculture，forestry and fisheries／工事費予定額 Estimated construction cost,鉱・採石・砂利採取・建設業用 Mining，quarrying of stone，gravel and construction／建築物の数 Number,鉱・採石・砂利採取・建設業用 Mining，quarrying of stone，gravel and construction／床面積の合計 Total floor space,鉱・採石・砂利採取・建設業用 Mining，quarrying of stone，gravel and construction／工事費予定 額Estimated construction cost,製造業用 Manufacturing／建築物の数 Number,製造業用 Manufacturing／床面積の合計 Total floor space,製造業用 Manufacturing／工事費予定額 Estimated construction cost,電気・ｶﾞｽ・熱供給・水道業用 Electricity，gas，heat supply and water／建築物の数 Number,電気・ｶﾞｽ・熱供給・水道業用 Electricity，gas，heat supply and water／床面積の合計 Total floor space,電気・ｶﾞｽ・熱供給・水道業用 Electricity，gas，heat supply and water／工事費予定額 Estimated construction cost,情報通信業用 Information and communications／建築物の数 Number,情報通信業用 Information and communications／床面積の合計 Total floor space,情報通信業用 Information and communications／工事費予定額 Estimated construction cost,運輸業用 Transport／建築物の数 Number,運輸業用 Transport／床面積の合計 Total floor space,運輸業用 Transport／工事費予定額 Estimated construction cost,卸売・小売業用 Wholesale and retail trade／建築物の数 Number,卸売・小売業用 Wholesale and retail trade／床面積の合計 Total floor space,卸売・小売業用 Wholesale and retail trade／工事費予定額 Estimated construction cost,金融・保険業用 Finance and Insurance／建築物の数 Number,金融・保険業用 Finance and Insurance／床面積の合計 Total floor space,金融・保険業用 Finance and Insurance／工事費予定額 Estimated construction cost,不動産業用 Real estate／建築物の数 Number,不動産業用 Real estate／床面積の合計 Total floor space,不動産業用 Real estate／工事費予定額 Estimated construction cost,宿泊・飲食サービス業用 Accommodations，eating and drinking services／建築物の数 Number,宿泊・飲食サービス業用 Accommodations，eating and drinking services／床面積の合計 Total floor space,宿泊・飲食サービス業用 Accommodations，eating and drinking services／工事費予定額 Estimated construction cost,医療，福祉用 Medical，healthcare and welfare／建築物の数 Number,医療，福祉用 Medical，healthcare and welfare／床面積の合計 Total floor space,医療，福祉用 Medical，healthcare and welfare／工事費予定額 Estimated construction cost,教育，学習支援業用 Education，learning support／建築物の数 Number,教育，学習支援業用 Education，learning support／床面積の合計 Total floor space,教育，学習支援業用 Education，learning support／工事費予定額 Estimated construction cost,その他のサービス業用 Other services／建築物の数 Number,その他のサービス業用 Other services／床面積の合計 Total floor space,その他のサービス業用 Other services／工事費予定額 Estimated construction cost,公務用 Government／建築物の数 Number,公務用 Government／床面積の合計 Total floor space,公務用 Government／工事費予定額 Estimated construction cost,他に分類されない Industries unable to classify／建築物の数 Number,他に分類されない Industries unable to classify／床面積の合計 Total floor space,他に分類されない Industries unable to classify／工事費予定額 Estimated construction cost
平成24,2012,51054,15255070,337932355,45904,9260858,187432543,81,91306,2049193,1042,1191029,29435849,19,3339,26276,74,50081,1326486,238,281984,7624929,50,59327,1660980,35,116117,3791388,209,230686,6472102,650,601285,13497977,65,186733,5874994,440,1044683,27102639,216,168776,4545457,514,717317,16694310,597,708908,17076342,643,305178,7805779,239,234495,5412599,38,2968,102512
平成25,2013,55499,15045565,336074519,50267,9318124,192343065,104,86804,2146787,1104,1265659,30391769,34,5473,115521,79,76648,1482926,194,260714,6501260,61,57977,1507924,52,33863,563806,172,123075,2059222,682,743626,14170178,37,61621,1748548,394,795097,25055568,377,180336,4722223,445,524840,12724169,389,573379,15796574,833,789909,20154148,235,146626,4524083,40,1794,66748
平成26,2014,51164,15586694,372847050,45849,9086944,197641214,142,69960,1508842,1048,1514339,45059246,41,4419,57065,77,54397,1228476,231,164804,4059869,44,19453,465346,30,58154,1531428,205,626982,10329385,699,949920,20533745,52,40815,1540629,366,772285,26657302,227,345377,11780113,480,576417,16410528,465,715831,20925869,952,439545,9549267,209,145023,3515942,47,2029,52784
平成27,2015,49010,14710082,389567531,43490,8575702,202271378,465,136778,3226344,942,1100184,30371324,34,2138,24765,93,27633,582749,185,187580,4827664,34,9314,254273,49,60850,2778438,204,723554,15361750,624,658933,19348940,41,154910,7308416,389,961564,34350058,321,271433,10409618,429,560059,16465352,452,708997,25328691,946,378131,11021892,264,190390,5599626,48,1932,36253
平成28,2016,49110,15160287,440391062,43708,8476826,199842893,588,162554,3560094,954,1286609,45179007,29,6669,148755,80,53270,1513668,223,211729,7096404,38,46776,1705568,147,135787,4413838,186,660607,18339697,591,1151537,42074847,41,35575,1851945,429,505352,19933291,307,516251,22233401,462,543478,17504141,395,623381,24209960,600,551106,23870435,255,157082,5572683,77,35698,1340435
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-9  用 途 別 着 工 建 築 物 （平成24年～28年） ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　（単位　面積　平方メートル， 金額　万円） ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　資料：国土交通省 「建築着工統計調査報告」 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-9  BUILDING CONSTRUCTION STARTS BY BUILDING USE ( 2012-2016 ) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Space in ㎡，Valuein10thousandofyen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ministry of Land，Infrastructure，TransportandTourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
