年齢階層,年齢 (歳) ,Age (years old),計 Total,男 Male,女 Female
0,総数,Total,113415,59824,53591
2,0～9,0-9,329,178,151
3,0,0,222,116,106
3,1,1,27,16,11
3,2,2,24,10,14
3,3,3,5,3,2
3,4,4,8,8,-
3,5,5,9,2,7
3,6,6,13,10,3
3,7,7,15,9,6
3,8,8,1,1,-
3,9,9,5,3,2
2,10～19,10--19,125,81,44
3,10,10,1,1,-
3,11,11,9,7,2
3,12,12,6,6,-
3,13,13,7,3,4
3,14,14,12,9,3
3,15,15,14,9,5
3,16,16,19,9,10
3,17,17,16,11,5
3,18,18,17,10,7
3,19,19,24,16,8
2,20～29,20-29,466,319,147
3,20,20,33,26,7
3,21,21,47,27,20
3,22,22,50,40,10
3,23,23,32,22,10
3,24,24,46,31,15
3,25,25,57,35,22
3,26,26,47,34,13
3,27,27,45,29,16
3,28,28,56,37,19
3,29,29,53,38,15
2,30～39,30-39,923,563,360
3,30,30,62,35,27
3,31,31,64,44,20
3,32,32,72,51,21
3,33,33,80,48,32
3,34,34,83,52,31
3,35,35,87,46,41
3,36,36,109,62,47
3,37,37,119,79,40
3,38,38,117,70,47
3,39,39,130,76,54
2,40～49,40-49,2476,1553,923
3,40,40,131,76,55
3,41,41,180,109,71
3,42,42,177,102,75
3,43,43,213,130,83
3,44,44,226,130,96
3,45,45,240,150,90
3,46,46,301,194,107
3,47,47,283,186,97
3,48,48,372,243,129
3,49,49,353,233,120
2,50～59,50-59,4908,3243,1665
3,50,50,355,237,118
3,51,51,402,244,158
3,52,52,421,265,156
3,53,53,435,276,159
3,54,54,461,285,176
3,55,55,487,344,143
3,56,56,569,374,195
3,57,57,583,401,182
3,58,58,595,399,196
3,59,59,600,418,182
2,60～69,60-69,12665,8961,3704
3,60,60,656,486,170
3,61,61,763,531,232
3,62,62,753,513,240
3,63,63,943,687,256
3,64,64,1099,786,313
3,65,65,1279,882,397
3,66,66,1514,1092,422
3,67,67,1787,1263,524
3,68,68,1984,1385,599
3,69,69,1887,1336,551
2,70～79,70-79,24207,15767,8440
3,70,70,1431,990,441
3,71,71,1735,1209,526
3,72,72,2197,1487,710
3,73,73,2279,1498,781
3,74,74,2494,1699,795
3,75,75,2621,1701,920
3,76,76,2608,1720,888
3,77,77,2557,1595,962
3,78,78,2983,1829,1154
3,79,79,3302,2039,1263
2,80～89,80-89,40885,21248,19637
3,80,80,3735,2220,1515
3,81,81,3684,2135,1549
3,82,82,3793,2156,1637
3,83,83,4369,2395,1974
3,84,84,4146,2229,1917
3,85,85,4290,2188,2102
3,86,86,4140,2079,2061
3,87,87,4213,1991,2222
3,88,88,4337,2022,2315
3,89,89,4178,1833,2345
2,90～99,90-99,24234,7557,16677
3,90,90,4120,1672,2448
3,91,91,3690,1342,2348
3,92,92,3289,1182,2107
3,93,93,2967,929,2038
3,94,94,2570,697,1873
3,95,95,2273,554,1719
3,96,96,1894,449,1445
3,97,97,1394,310,1084
3,98,98,1129,243,886
3,99,99,908,179,729
2,100～109,100-109,2190,353,1837
3,100,100,716,132,584
3,101,101,517,85,432
3,102,102,352,53,299
3,103,103,231,30,201
3,104,104,159,21,138
3,105,105,99,19,80
3,106,106,58,7,51
3,107,107,26,1,25
3,108,108,26,5,21
3,109,109,6,-,6
2,110～113,110-113,7,1,6
3,110,110,1,-,1
3,111,111,2,-,2
3,112,112,3,1,2
3,113,113,1,-,1
3,114～,114- and over,-,-,-
3,不詳,Unknown age,-,-,-
1,（再掲) 0～14,(relisted) 0-14,364,204,160
1,（再掲) 15～64,(relisted) 15-64,13077,8736,4341
1,（再掲) 65～ 1),(relisted) 65 and over 1),99974,50884,49090
,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,
2-7  人口動態  (4) 年齢，男女別死亡者数（平成28年） 2-7  VITAL STATISTICS  (4) DEATHS BY SINGLE YEARS OF AGE AND GENDER ( 2016 ),,,,,
注 1) （再掲）の「65～」は不詳分を含む。,,,,,
"Note: 1) In the ""relisted"" section， figures for ages 65 and up include those of unknown age.",,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,
年齢階層（0:総数　1:再掲　2:年齢区分　3:各年齢）,,,,,
