年次,Year,月次,Month,調布飛行場 Chofu Airport／旅客数 Passengers／乗客 Boarding,調布飛行場 Chofu Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／旅客数 Passengers／乗客 Boarding,大島空港 Oshima Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／貨物 Freight／積荷 Loaded(t),大島空港 Oshima Airport／貨物 Freight／降荷 Unloaded(t),大島空港 Oshima Airport／郵便物 Mail／積荷 Loaded(t),大島空港 Oshima Airport／郵便物 Mail／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／旅客数 Passengers／乗客 Boarding,三宅島空港 Miyakejima Airport／旅客数 Passengers／降客 Deboarding,三宅島空港 Miyakejima Airport／貨物 Freight／積荷 Loaded(t),三宅島空港 Miyakejima Airport／貨物 Freight／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／積荷 Loaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／旅客数 Passengers／乗客 Boarding,八丈島空港 Hachijojima Airport／旅客数 Passengers／降客 Deboarding,八丈島空港 Hachijojima Airport／貨物 Freight／積荷 Loaded(t),八丈島空港 Hachijojima Airport／貨物 Freight／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／積荷 Loaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／降荷 Unloaded(t),新島空港 Niijima Airport／旅客数 Passengers／乗客 Boarding,新島空港 Niijima Airport／旅客数 Passengers／降客 Deboarding,新島空港 Niijima Airport／貨物 Freight／積荷 Loaded(t),新島空港 Niijima Airport／貨物 Freight／降荷 Unloaded(t),新島空港 Niijima Airport／郵便物 Mail／積荷 Loaded(t),新島空港 Niijima Airport／郵便物 Mail／降荷 Unloaded(t),神津島空港 Kozushima Airport／旅客数 Passengers／乗客 Boarding,神津島空港 Kozushima Airport／旅客数 Passengers／降客 Deboarding,神津島空港 Kozushima Airport／貨物 Freight／積荷 Loaded(t),神津島空港 Kozushima Airport／貨物 Freight／降荷 Unloaded(t),神津島空港 Kozushima Airport／郵便物 Mail／積荷 Loaded(t),神津島空港 Kozushima Airport／郵便物 Mail／降荷 Unloaded(t)
平成28,2016,8,Aug.,4665,5652,1208,1131,104,1172,-,-,1436,890,360,57,-,-,13550,11530,73123,31482,1325,3635,1698,1494,201,1892,-,-,1353,1182,77,26,-,-
平成28,2016,9,Sept.,3350,4514,853,683,104,1053,-,-,1275,702,66,209,-,-,9101,7901,54425,22581,1275,2669,1453,1205,417,1431,-,-,951,766,109,41,-,-
平成28,2016,10,Oct.,3517,4827,791,671,216,1098,-,-,1348,662,138,263,-,-,7941,7290,48854,16335,1377,3184,1629,1309,295,1542,-,-,1085,882,160,9,-,-
平成28,2016,11,Nov.,3357,4527,727,696,217,1142,-,-,1285,709,405,215,-,-,7335,6567,61119,22198,1296,3338,1527,1140,278,1572,-,-,1000,817,125,22,-,-
平成28,2016,12,Dec.,3605,4740,911,840,254,1169,-,-,1296,648,294,277,-,-,6393,6437,95399,23408,1719,3359,1559,1281,467,1984,-,-,987,846,104,36,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-23　航空輸送量 (3)  その他の空港 （国内線）（平成24～28年） 4-23 TRANSPORTATION BY ＡIR (3) OTHER AIRPORTS ( DOMESTIC )  ( 2012-2016 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料： 都港湾局離島港湾部管理課 Source: Bureau of  Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位：月別貨物郵便物取扱量（kg）） (Unit: Monthly amount of  freight／mail handled in kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
