学校,School,総数 Total,教員数 Teachers／本務者 Full-time／計 Total,教員数 Teachers／本務者 Full-time／男 Male,教員数 Teachers／本務者 Full-time／女 Female,教員数 Teachers／兼務者 Part-time／計 Total,教員数 Teachers／兼務者 Part-time／男 Male,教員数 Teachers／兼務者 Part-time／女 Female,職員 General Personnel／計 Total,職員 General Personnel／男 Male,職員 General Personnel／女 Female
総数,Total,…,64806,29964,34842,…,…,…,8160,…,…
幼稚園,Kindergartens,1155,857,23,834,257,54,203,41,15,26
幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),155,149,8,141,1,-,1,5,-,5
小学校,Elementary schools,40226,31795,12007,19788,4525,1138,3387,3906,1653,2253
中学校,Junior high schools,20783,15064,8410,6654,4165,1825,2340,1554,733,821
義務教育学校,Compulsory education schools,425,330,158,172,67,27,40,28,10,18
高等学校,Senior high schools,13728,9452,6093,3359,2852,1521,1331,1424,793,631
中等教育学校,Secondary education schools,585,434,273,161,107,54,53,44,19,25
大学,Colleges and universities,…,713,580,133,…,…,…,353,161,192
高等専門学校,Colleges of technology,…,133,121,12,…,…,…,42,…,…
特別支援学校,Special needs schools,6860,5662,2255,3407,502,171,331,696,316,380
高等学校（通信制）,Senior high schools (Correspondence course),80,44,29,15,30,15,15,6,4,2
専修学校,Specialized training schools,1052,173,7,166,818,427,391,61,13,48
,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,
22-5  職員数 (5) 教職員 (平成28年5月1日) 22-5  GOVERNMENT EMPLOYEES (5) EDUCATIONAL PERSONNEL ( May. 1， 2016 ),,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」 Source: Ministry of Education， Culture， Sports， Science and Technology,,,,,,,,,,,
