年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Ku assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成26,2014,13100,,区部,All ku,3442340,18467,467469,1727632,261671,7289,1092,41456,327218,31730,459514,122,98548,132
平成27,2015,13100,,区部,All ku,3504316,19583,491524,1774099,255987,7127,1050,44795,330450,25882,464425,144,88921,331
平成28,2016,13100,,区部,All ku,3602555,18275,445784,1855631,262474,7551,1124,41684,368332,36473,493770,191,70584,682
平成28,2016,13101,1,千代田区,Chiyoda-ku,57709,559,13856,16238,4671,100,-,1550,10907,460,8846,-,521,-
平成28,2016,13102,2,中央区,Chuo-ku,95745,621,10218,27009,6264,186,43,3388,28894,534,17741,-,848,-
平成28,2016,13103,3,港区,Minato-ku,128424,727,23194,51413,10289,284,-,1945,12605,8878,18130,-,959,-
平成28,2016,13104,4,新宿区,Shinjuku-ku,139651,761,17989,75461,12652,1020,-,2055,10393,1371,15055,-,2893,-
平成28,2016,13105,5,文京区,Bunkyo-ku,83213,649,13779,38804,6647,114,-,579,5038,960,15168,-,1475,-
平成28,2016,13106,6,台東区,Taito-ku,95632,630,10680,53580,7721,157,-,3702,5924,946,9608,-,2683,-
平成28,2016,13107,7,墨田区,Sumida-ku,112201,640,13295,60594,7389,240,-,1815,8085,723,15830,-,3592,-
平成28,2016,13108,8,江東区,Koto-ku,186085,891,30759,94391,13585,215,-,1053,8751,1370,32490,184,2395,-
平成28,2016,13109,9,品川区,Shinagawa-ku,159247,809,16605,69731,11163,501,-,1856,34286,3209,19090,7,1990,-
平成28,2016,13110,10,目黒区,Meguro-ku,89781,720,13119,43079,7962,208,7,649,5951,516,14115,-,3455,-
平成28,2016,13111,11,大田区,Ota-ku,250187,1089,28856,139208,16831,97,20,3767,26248,1999,27105,-,4968,-
平成28,2016,13112,12,世田谷区,Setagaya-ku,286324,979,37990,146230,20490,199,246,1549,33488,876,38048,-,6228,-
平成28,2016,13113,13,渋谷区,Shibuya-ku,83362,747,16681,41026,7160,155,-,579,5332,753,8978,-,1950,-
平成28,2016,13114,14,中野区,Nakano-ku,123000,853,21406,60204,8404,80,2,749,13366,791,12276,-,4868,-
平成28,2016,13115,15,杉並区,Suginami-ku,179406,937,21497,98356,13951,658,74,1190,13261,1289,26381,-,1811,-
平成28,2016,13116,16,豊島区,Toshima-ku,125520,690,20609,58938,7485,974,-,973,12365,958,19692,-,2837,-
平成28,2016,13117,17,北区,Kita-ku,143112,780,14990,75516,8934,265,0,2666,15216,1223,20505,-,3016,-
平成28,2016,13118,18,荒川区,Arakawa-ku,97394,634,12417,52361,6833,116,-,1879,7641,999,12556,-,1957,-
平成28,2016,13119,19,板橋区,Itabashi-ku,200477,903,18482,121824,14585,137,100,1215,11104,484,27876,-,3766,-
平成28,2016,13120,20,練馬区,Nerima-ku,254958,1036,23446,142814,22832,655,358,1678,23214,1777,31984,-,5163,-
平成28,2016,13121,21,足立区,Adachi-ku,278882,918,21596,157984,19058,423,88,1563,25665,709,44630,-,6248,-
平成28,2016,13122,22,葛飾区,Katsushika-ku,187080,800,19370,99484,11337,499,37,3823,19588,4792,22055,-,4613,682
平成28,2016,13123,23,江戸川区,Edogawa-ku,245166,900,24948,131385,16229,266,149,1461,31009,857,35611,-,2349,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (2) 歳出 (平成26～28年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (2) EXPENDITURE ( Fiscal Years 2014-2016 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
