地域階層,地域コード,項番 Item number,地域,District,農家数 Farm households／総数 Total,農家数 Farm households／自給的農家数 Non-commercial farm households,農家数 Farm households／販売農家数 Commercial farm households,農家数 Farm households／販売農家数 Commercial farm households／専業農家 Fulltime,農家数 Farm households／販売農家数 Commercial farm households／兼業農家 Parttime,農家数 Farm households／販売農家数 Commercial farm households／兼業農家 Parttime／第1種 Mainly farming,農家数 Farm households／販売農家数 Commercial farm households／兼業農家 Parttime／第2種 Mainly other jobs,農家人口（販売農家） Farm Population(commercial)／総数 Total,農家人口（販売農家） Farm Population(commercial)／主に仕事 Mainly engaged in work／自営農業が主の人 Primary occupation is a self-managed farm,農家人口（販売農家） Farm Population(commercial)／主に仕事 Mainly engaged in work／勤務が主の人 Mainly employed,農家人口（販売農家） Farm Population(commercial)／主に仕事 Mainly engaged in work／農業以外の自営業が主の人 Mainly self-employed in business other than agriculture,農家人口（販売農家） Farm Population(commercial)／主に家事・育児 が主の人 Mainly engaged in housekeeping or child-rearing,農家人口（販売農家） Farm Population(commercial)／その他 1) Others,経営耕地面積(農業経営体） Managed cultivated land area／田 Paddy-fields／経営体数 Number of management entities,経営耕地面積(農業経営体） Managed cultivated land area／田 Paddy-fields／面積 Planted area,経営耕地面積(農業経営体） Managed cultivated land area／畑 Fields／経営体数 Number of management entities,経営耕地面積(農業経営体） Managed cultivated land area／畑 Fields／面積 Planted area,経営耕地面積(農業経営体） Managed cultivated land area／樹園地 Orchards／経営体数 Number of management entities,経営耕地面積(農業経営体） Managed cultivated land area／樹園地 Orchards／面積 Planted area
0,13000,,総数,Tokyo-to,11222,5599,5623,2613,3010,444,2566,20996,9687,3182,1076,2325,4726,673,22579,5324,292621,2855,109332
1,13100,,区部,All ku          　,1455,606,849,351,498,49,449,3588,1660,476,207,387,858,73,7967,884,37992,320,7771
2,13101,1,千代田区,Chiyoda-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,x
2,13102,2,中央区,Chuo-ku,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2168,1,660
2,13103,3,港区,Minato-ku,1,-,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13104,4,新宿区,Shinjuku-ku,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13105,5,文京区,Bunkyo-ku,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13106,6,台東区,Taito-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,x
2,13107,7,墨田区,Sumida-ku,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13108,8,江東区,Koto-ku,2,2,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,x
2,13109,9,品川区,Shinagawa-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13110,10,目黒区,Meguro-ku,12,5,7,3,4,-,4,26,12,5,3,2,4,1,10,7,164,5,45
2,13111,11,大田区,Ota-ku,10,3,7,2,5,-,5,28,13,3,2,4,6,-,-,7,317,3,31
2,13112,12,世田谷区,Setagaya-ku,342,153,189,65,124,4,120,781,344,117,35,115,170,4,1736,194,5664,99,2378
2,13113,13,渋谷区,Shibuya-ku,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13114,14,中野区,Nakano-ku,17,12,5,x,x,x,x,x,x,x,x,x,x,1,95,6,159,2,201
2,13115,15,杉並区,Suginami-ku,108,49,59,21,38,3,35,227,104,25,19,26,53,1,7,68,2802,28,704
2,13116,16,豊島区,Toshima-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,x
2,13117,17,北区,Kita-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13118,18,荒川区,Arakawa-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13119,19,板橋区,Itabashi-ku,65,38,27,12,15,-,15,107,54,19,12,5,17,3,293,28,885,16,252
2,13120,20,練馬区,Nerima-ku,432,143,289,132,157,20,137,1201,563,156,59,127,296,2,46,297,13175,138,2809
2,13121,21,足立区,Adachi-ku,173,93,80,31,49,7,42,362,167,46,22,34,93,16,1315,86,4253,6,141
2,13122,22,葛飾区,Katsushika-ku,117,42,75,33,42,5,37,338,173,46,12,27,80,28,3371,71,3613,8,89
2,13123,23,江戸川区,Edogawa-ku,170,60,110,52,58,9,49,493,226,54,39,44,130,16,1064,112,4562,12,281
1,13200,,市部,All shi,8018,3992,4026,1806,2220,346,1874,15638,7047,2448,753,1789,3601,588,14441,3931,217885,2027,61927
2,13201,1,八王子市,Hachioji-shi,1197,805,392,168,224,44,180,1388,596,223,78,166,325,101,2846,378,19875,184,4811
2,13202,2,立川市,Tachikawa-shi,341,72,269,108,161,38,123,1155,495,171,57,135,297,5,115,251,19859,106,7037
2,13203,3,武蔵野市,Musashino-shi,68,7,61,26,35,3,32,251,123,35,6,34,53,2,413,55,2712,30,889
2,13204,4,三鷹市,Mitaka-shi,265,61,204,79,125,18,107,881,384,113,53,105,226,1,40,196,9929,107,4025
2,13205,5,青梅市,Ome-shi,697,506,191,68,123,26,97,628,240,146,42,89,111,64,1248,188,11409,96,2807
2,13206,6,府中市,Fuchu-shi,326,164,162,77,85,9,76,657,312,90,26,73,156,81,2228,160,7112,58,1354
2,13207,7,昭島市,Akishima-shi,142,79,63,25,38,5,33,241,101,54,7,32,47,21,564,61,2430,28,697
2,13208,8,調布市,Chofu-shi,231,78,153,82,71,17,54,618,283,84,31,90,130,20,346,152,7746,64,1716
2,13209,9,町田市,Machida-shi,849,475,374,145,229,33,196,1343,580,254,54,166,289,67,1565,397,18842,218,4793
2,13210,10,小金井市,Koganei-shi,149,56,93,40,53,3,50,358,159,49,16,56,78,2,141,100,5543,60,1392
2,13211,11,小平市,Kodaira-shi,312,97,215,106,109,17,92,820,379,141,40,84,176,1,2,207,11152,134,3538
2,13212,12,日野市,Hino-shi,301,151,150,75,75,9,66,527,239,85,26,58,119,44,969,136,4785,77,1958
2,13213,13,東村山市,Higashimurayama-shi,284,107,177,74,103,17,86,769,350,125,34,77,183,5,56,173,8799,124,4024
2,13214,14,国分寺市,Kokubunji-shi,205,47,158,77,81,8,73,678,326,93,25,79,155,2,25,152,12373,70,2322
2,13215,15,国立市,Kunitachi-shi,109,55,54,35,19,1,18,193,92,17,10,26,48,24,694,49,2362,20,355
2,13218,16,福生市,Fussa-shi,45,28,17,8,9,-,9,48,23,8,3,8,6,2,20,17,613,11,136
2,13219,17,狛江市,Komae-shi,118,55,63,33,30,1,29,263,126,23,15,39,60,-,-,61,2259,31,625
2,13220,18,東大和市,Higashiyamato-shi,170,83,87,40,47,5,42,334,149,48,17,37,83,-,-,90,3252,53,1428
2,13221,19,清瀬市,Kiyose-shi,225,51,174,99,75,18,57,756,388,94,25,55,194,-,-,175,15707,42,1125
2,13222,20,東久留米市,Higashikurume-shi,274,88,186,84,102,11,91,752,373,117,33,63,166,1,33,191,11751,72,2646
2,13223,21,武蔵村山市,Musashimurayama-shi,327,160,167,76,91,12,79,624,253,115,33,68,155,3,114,169,10309,65,2458
2,13224,22,多摩市,Tama-shi,83,60,23,11,12,-,12,84,47,17,1,5,14,4,163,24,1158,21,1104
2,13225,23,稲城市,Inagi-shi,251,76,175,80,95,18,77,655,327,90,35,61,142,34,606,128,3461,151,5544
2,13227,24,羽村市,Hamura-shi,104,46,58,28,30,3,27,222,97,31,14,25,55,20,373,58,2586,18,267
2,13228,25,あきる野市,Akiruno-shi,711,514,197,84,113,16,97,697,265,134,38,100,160,83,1740,190,9144,112,2572
2,13229,26,西東京市,Nishitokyo-shi,234,71,163,78,85,14,71,696,340,91,34,58,173,1,140,173,12717,75,2304
1,13300,,郡部,All gun,858,648,210,81,129,20,109,699,275,135,49,82,158,10,114,202,11957,98,3878
2,13303,1,瑞穂町,Mizuho-machi,399,258,141,61,80,14,66,469,200,84,24,49,112,1,6,131,8691,53,2907
2,13305,2,日の出町,Hinode-machi,239,179,60,18,42,5,37,202,64,44,21,31,42,4,18,62,2948,42,939
2,13307,3,檜原村,Hinohara-mura,161,155,6,2,4,-,4,16,6,4,1,2,3,3,65,7,303,2,2
2,13308,4,奥多摩町,Okutama-machi,59,56,3,-,3,1,2,12,5,3,3,-,1,2,25,2,15,1,30
1,13350,,島部,All islands,891,353,538,375,163,29,134,1071,705,123,67,67,109,2,57,307,24787,410,35756
2,13361,1,大島町,Oshima-machi,143,73,70,58,12,2,10,144,103,9,3,8,21,-,-,78,7511,17,475
2,13362,2,利島村,Toshima-mura,39,1,38,19,19,3,16,95,48,10,21,3,13,-,-,13,390,38,12063
2,13363,3,新島村,Niijima-mura,110,104,6,5,1,-,1,10,9,1,-,-,-,-,-,6,432,2,24
2,13364,4,神津島村,Kozushima-mura,41,22,19,10,9,2,7,45,27,6,5,1,6,-,-,19,389,3,19
2,13381,5,三宅村,Miyake-mura,102,55,47,31,16,1,15,86,60,14,6,2,4,-,-,51,2503,7,72
2,13382,6,御蔵島村,Mikurajima-mura,23,9,14,2,12,-,12,28,4,20,3,1,-,-,-,14,618,-,-
2,13401,7,八丈町,Hachijo-machi,370,63,307,228,79,18,61,587,413,53,19,47,55,2,57,102,11659,308,21769
2,13402,8,青ヶ島村,Aogashima-mura,9,3,6,3,3,-,3,10,5,2,2,1,-,-,-,4,286,5,136
2,13421,9,小笠原村,Ogasawara-mura,54,23,31,19,12,3,9,66,36,8,8,4,10,-,-,20,999,30,1198
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,,,,,,,,,,,,,,,,,,
9-1  地域別農家数， 農家人口及び経営耕地面積 （平成27年2月1日） 9-1 FARM HOUSEHOLDS，  POPULATION AND SIZE OF MANAGED CULTIVATED LAND AREA BY DISTRICT( Feb. 1，  2015 ）,,,,,,,,,,,,,,,,,,,,,,,
この表は農林業センサスによる。 農家とは経営耕地面積が10アール以上又は経営耕地面積が10アール未満であっても過去1年間（平成26年2月1日～27年1月31日） の農産物販売金額が15万円以上かのいずれかに該当する世帯である。,,,,,,,,,,,,,,,,,,,,,,,
Data are based on the Census of Agriculture and Forestry. Farm households refer to households managing cultivated land of 10 ares or more， or had total sales of at least 150000 yen over the past year (from Feb. 1， 2014 to Jan. 31， 2015) if the managed cultivated land is under 10 ares.,,,,,,,,,,,,,,,,,,,,,,,
注 1) 農家人口の 「その他」 は非就業者及び14歳以下の世帯員である。,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Farm population “Others” refer to household members who are not working and those who are 14 years old and under. ,,,,,,,,,,,,,,,,,,,,,,,
資料：農林水産省「2015年農林業センサス」，都総務局統計部産業統計課 「2015年農林業センサス　東京都調査結果報告」 Source: Ministry of Agriculture，Forestry and Fisheries;Bureau of General Affairs， TMG ,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　アール） (Area in ares),,,,,,,,,,,,,,,,,,,,,,,
