年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets
平成24 ,2012,総数,Total,,,,3273538,1929235,1343261
平成25,2013,総数,Total,,,,3317344,1962690,1354654
平成26,2014,総数,Total,,,,3311052,1945108,1365944
平成27,2015,総数,Total,,,,3391174,1993399,1397776
平成28,2016,総数,Total,,,,3422984,2013516,1409467
平成28,2016,うち区部,Ku area only,,,,2869299,1660618,1208681
平成28,2016,東海道本線,Tokaido Line,,,※,700253,414831,285422
平成28,2016,東海道本線,Tokaido Line,東京,Tokyo,,160437,84048,76389
平成28,2016,東海道本線,Tokaido Line,有楽町,Yurakucho,,61886,33810,28076
平成28,2016,東海道本線,Tokaido Line,新橋,Shimbashi,,98926,61168,37757
平成28,2016,東海道本線,Tokaido Line,浜松町,Hamamatsucho,,56682,34994,21689
平成28,2016,東海道本線,Tokaido Line,田町,Tamachi,,55708,39704,16005
平成28,2016,東海道本線,Tokaido Line,品川,Shinagawa,,135702,77566,58137
平成28,2016,東海道本線,Tokaido Line,大井町,Oimachi,,38044,23056,14988
平成28,2016,東海道本線,Tokaido Line,大森,Omori,,34744,22431,12313
平成28,2016,東海道本線,Tokaido Line,蒲田,Kamata,,52586,34500,18086
平成28,2016,東海道本線,Tokaido Line,西大井,Nishi-oi,,5536,3555,1981
平成28,2016,中央本線,Chuo Line,,,,751792,457296,294496
平成28,2016,中央本線,Chuo Line,神田,Kanda,※,36989,20945,16044
平成28,2016,中央本線,Chuo Line,御茶ノ水,Ochanomizu,※,38258,23317,14941
平成28,2016,中央本線,Chuo Line,水道橋,Suidobashi,※,30423,16130,14293
平成28,2016,中央本線,Chuo Line,飯田橋,Iidabashi,※,34296,21938,12358
平成28,2016,中央本線,Chuo Line,市ケ谷,Ichigaya,※,22332,14619,7713
平成28,2016,中央本線,Chuo Line,四ツ谷,Yotsuya,※,34874,23132,11742
平成28,2016,中央本線,Chuo Line,信濃町,Shinanomachi,※,9249,4237,5012
平成28,2016,中央本線,Chuo Line,千駄ケ谷,Sendagaya,※,6726,3029,3697
平成28,2016,中央本線,Chuo Line,代々木,Yoyogi,※,25429,11943,13485
平成28,2016,中央本線,Chuo Line,大久保,Okubo,※,9643,5030,4613
平成28,2016,中央本線,Chuo Line,東中野,Higashi-nakano,※,14796,8596,6200
平成28,2016,中央本線,Chuo Line,中野,Nakano,※,53436,33441,19995
平成28,2016,中央本線,Chuo Line,高円寺,Koenji,※,18374,10726,7648
平成28,2016,中央本線,Chuo Line,阿佐ケ谷,Asagaya,※,16303,9669,6634
