年度,Fiscal year,組織,Form of organization,業種,Contractor classification,資本金階層別,By size of capital,企業数 Enterprises,完成工事高 Value of construction work completed／元請 Original contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／機械 Machinery,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／機械 Machinery,完成工事高 Value of construction work completed／下請 Subcontract／総数 Total,完成工事高 Value of construction work completed／下請 Subcontract／土木 Civil engineering,完成工事高 Value of construction work completed／下請 Subcontract／建築 Building construction,完成工事高 Value of construction work completed／下請 Subcontract／機械 Machinery
平成23,2011,総数,Total,,,,,21722,18394201,14605004,1809383,10641250,2154373,3789197,2015853,1189582,583762,6831194,1578959,4360232,892003
平成24,2012,総数,Total,,,,,20431,18500578,14476976,1779979,10606997,2089999,4023602,2225589,1156390,641623,7080756,1736684,4571304,772768
平成25,2013,総数,Total,,,,,22412,19989660,15406621,1725819,11533349,2147453,4583040,2547723,1320464,714854,7617115,1908827,4828895,879393
平成26,2014,総数,Total,,,,,20406,20522428,15584408,2070528,11820537,1693344,4938020,2628885,1499727,809407,7686176,2090000,4752476,843700
平成27,2015,総数,Total,,,,,20645,21437350,16405046,1968115,12417850,2019081,5032304,2766000,1580200,686105,7937073,2004828,5076453,855792
平成27,2015,経営組織別,By form of organization,許可業者,Licensed contractors,,,20645,21437350,16405046,1968115,12417850,2019081,5032304,2766000,1580200,686105,7937073,2004828,5076453,855792
平成27,2015,経営組織別,By form of organization,許可業者,Licensed contractors,大臣許可,Licensed by minister,1763,19224537,14653906,1832737,11081653,1739516,4570631,2532999,1377366,660266,5568319,1557786,3428226,582307
平成27,2015,経営組織別,By form of organization,許可業者,Licensed contractors,知事許可,Licensed by governor,18882,2212813,1751140,135378,1336197,279565,461673,233001,202834,25839,2368754,447042,1648227,273485
平成27,2015,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,,,6043,15468948,11595009,1285353,10037316,272339,3873939,2660498,1119356,94087,2232866,1496701,677521,58644
平成27,2015,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,一般土木建築工事業,General civil engineering work andbuilding work,136,8942603,6188966,908939,5246663,33365,2753637,1901254,837561,14821,377093,197276,178944,873
平成27,2015,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,土木工事業,Civil engineering work,1349,805387,387013,255835,32654,98524,418374,411799,1604,4971,630810,600709,9365,20736
平成27,2015,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,造園工事業,Gardening work,329,43479,21056,20989,67,-,22423,22413,10,-,53248,52793,428,27
平成27,2015,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,水道施設工事業,Plumbing work,242,187790,41535,9427,858,31250,146255,72378,352,73525,81894,68658,392,12843
