年度,Fiscal year,系統,Line,駅,Station,マーク Mark,総数 Total／発 Departure,総数 Total／着 Arrival,車扱貨物 Carload freight／発 Departure,車扱貨物 Carload freight／着 Arrival,コンテナ貨物 Container freight／発 Departure,コンテナ貨物 Container freight／着 Arrival
平成24,2012,総数,Total,,,,1968053,3072475,69839,580634,1898214,2491841
平成25,2013,総数,Total,,,,2162100,3202455,70596,572661,2091504,2629794
平成26,2014,総数,Total,,,,2116735,3121561,82638,677877,2034097,2443684
平成27,2015,総数,Total,,,,2272453,3155631,76876,656521,2195577,2499110
平成28,2016,総数,Total,,,,2337074,3111723,80444,678457,2256630,2433266
平成28,2016,うち区部,Ku area only,,,,2237812,2394649,12192,9067,2225620,2385582
平成28,2016,東海道本線,Tokaido Line,,,※,1493970,1579742,195,1877,1493775,1577865
平成28,2016,東海道本線,Tokaido Line,品川,Shinagawa,,-,-,-,-,-,-
平成28,2016,東海道本線,Tokaido Line,東京貨物ターミナル,Tokyo freight terminal,,1493970,1579742,195,1877,1493775,1577865
平成28,2016,中央線,Chuo Line,,,,89562,667022,58552,619338,31010,47684
平成28,2016,中央線,Chuo Line,中野,Nakano,※,-,-,-,-,-,-
平成28,2016,中央線,Chuo Line,八王子,Hachioji,,89562,667022,58552,619338,31010,47684
平成28,2016,青梅線,Ome Line,,,,9700,50052,9700,50052,-,-
平成28,2016,青梅線,Ome Line,拝島,Haijima,,9700,50052,9700,50052,-,-
平成28,2016,東北本線,Tohoku Line,,,※,-,-,-,-,-,-
平成28,2016,東北本線,Tohoku Line,田端操,Tabataso,,-,-,-,-,-,-
平成28,2016,東北本線,Tohoku Line,北王子,Kitaoji,,-,-,-,-,-,-
平成28,2016,常磐線,Joban Line,,,※,731845,811317,-,3600,731845,807717
平成28,2016,常磐線,Joban Line,金町,Kanamachi,,-,-,-,-,-,-
平成28,2016,常磐線,Joban Line,綾瀬,Ayase,,-,3600,-,3600,-,-
平成28,2016,常磐線,Joban Line,隅田川,Sumidagawa,,731845,807717,-,-,731845,807717
平成28,2016,総武線,Sobu Line,,,※,11997,3590,11997,3590,-,-
平成28,2016,総武線,Sobu Line,新小岩操,Shinkoiwaso,,10182,-,10182,-,-,-
平成28,2016,総武線,Sobu Line,越中島,Etchujima,,1815,3590,1815,3590,-,-
,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-16  J R 貨物の駅別貨物発着量 (平成24～28年度) 4-16  VOLUME OF FREIGHT TRANSPORTED BY JAPAN FREIGHT RAILWAY COMPANY BY STATION ( Fiscal Years 2012-2016 ),,,,,,,,,,,,
注) ※印は区部にある駅 （線） を示す。,,,,,,,,,,,,
Note: Lines and stations marked with  a ※ refer to those located in the ku area.,,,,,,,,,,,,
資料：日本貨物鉄道株式会社関東支社営業部 Source: Japan Freight Railway Company,,,,,,,,,,,,
（単位　トン） (In metric tons),,,,,,,,,,,,
