年次,Year,月次,Month,旅客数 Passengers／国内線 Domestic／乗客 Boarding,旅客数 Passengers／国内線 Domestic／降客 Deboarding,旅客数 Passengers／国際線 International／乗客 Boarding,旅客数 Passengers／国際線 International／降客 Deboarding,旅客数 Passengers／国際線 International／通過 Direct transit,貨物 Freight／国内線 Domestic／積荷 Loaded(t),貨物 Freight／国内線 Domestic／降荷 Unloaded(t),貨物 Freight／国際線 International／積荷 Loaded(t),貨物 Freight／国際線 International／降荷 Unloaded(t),郵便物 Mail／国内線 Domestic／積荷 Loaded(t),郵便物 Mail／国内線 Domestic／降荷 Unloaded(t),郵便物 Mail／国際線 International／積荷 Loaded(t),郵便物 Mail／国際線 International／降荷 Unloaded(t)
平成24,2012,,,29394316,29397466,3975097,3934904,18662,333439,375780,60615,76842,33021,13351,3548,12692
平成25,2013,,,30264464,30185190,4005483,3947366,21273,349349,390060,63322,86481,33584,13859,4457,13247
平成26,2014,,,31088746,31074067,5297278,5214671,69001,360945,404600,123335,145770,33047,16086,10354,14952
平成27,2015,,,31268972,31231517,6326645,6310755,117053,354054,401774,156771,175294,33087,18648,18948,15176
平成28,2016,,,32453768,32481295,7535889,7506839,132011,350090,380687,194460,225555,33281,18394,19470,15993
平成28,2016,1,Jan.,2271061,2560903,577530,585444,15847,24739,27950,12852,14975,2773,1493,1739,1248
平成28,2016,2,Feb.,2408589,2414416,592240,559740,11524,25085,28182,12631,13503,2635,1370,1475,1077
平成28,2016,3,Mar.,2725550,2752859,620045,685798,7438,29823,33675,13956,16034,2958,1687,1791,1294
平成28,2016,4,Apr.,2394688,2276526,651128,593959,8750,28826,31277,15428,17470,2836,1584,2080,1245
平成28,2016,5,May,2491928,2624102,579881,595527,10801,25144,27924,15580,17244,2682,1490,1589,1132
平成28,2016,6,June,2545309,2516119,583500,592712,15822,27885,29370,16470,17831,3044,1581,1540,1211
平成28,2016,7,July,2864476,2786584,656339,643938,14633,30763,34951,16183,18764,2704,1449,1425,1210
平成28,2016,8,Aug.,3074745,3146918,693923,664137,9007,29535,32811,15691,18398,2388,1331,1306,1145
平成28,2016,9,Sept.,2944602,2968617,607671,634175,8107,31629,32842,16830,20160,2524,1398,1371,1236
平成28,2016,10,Oct.,3004841,3011308,645964,652098,8551,30492,31714,18215,23590,2728,1389,1473,1381
平成28,2016,11,Nov.,2841074,2841025,650945,637254,8195,31247,32270,20021,23717,2800,1628,1601,1718
平成28,2016,12,Dec.,2886905,2581918,676723,662057,13336,34922,37721,20603,23869,3208,1995,2079,2094
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-23　航空輸送量 (1)　東京国際空港 (羽田) (平成24～28年) 4-23 TRANSPORTATION BY ＡIR (1) TOKYO INTERNATIONAL AIRPORT ( HANEDA ) ( 2012-2016 ),,,,,,,,,,,,,,,,
資料：国土交通省「航空管理状況調書」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,
