年度末,End of fiscal year,商工組合中央金庫 Shoko Chukin Bank／預金 Deposits,商工組合中央金庫 Shoko Chukin Bank／貸出 Loans ,信用組合 Credit Co-operatives／預金 Deposits,信用組合 Credit Co-operatives／貸出 Loans ,労働金庫 Labour Banks／預金 Deposits,労働金庫 Labour Banks／貸出 Loans 
平成24,2012,1164781,2496521,2686621,1540775,1824397,1212986
平成25,2013,1378326,2492807,2720946,1539114,1867804,1219961
平成26,2014,1354968,2487765,2776084,1547712,1898567,1204295
平成27,2015,1302988,2498103,2818174,1587487,2002759,1211226
平成28,2016,1253616,2432166,2870275,1648268,2085104,1237603
,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　15  金融 15  FINANCE,,,,,,,
15-2  中小企業金融機関の主要勘定 (2) 商工組合中央金庫， 信用組合及び労働金庫 (平成24～28年度末) 15-2  MAIN ACCOUNTS OF FINANCIAL INSTITUTIONS FOR SMALL BUSINESSES (2) SHOKO CHUKIN BANK， CREDIT CO-OPERATIVES AND LABOUR BANKS ( End of Fiscal Years 2012-2016 ),,,,,,,
資料：東京都信用組合協会業務部， 商工組合中央金庫総務部， 中央労働金庫総合企画部 Source: Association of Tokyo Shinyou Kumiai， Shoko Chukin Bank， Chuo Labour Bank,,,,,,,
  (単位  百万円) (In millions of yen),,,,,,,
