項番 Item number,地域,District,消防署,Fire Station,マーク Mark,4階以上の建築物数 Buildings with 4 stories and more／総数 Total,4階以上の建築物数 Buildings with 4 stories and more／4階 4 Stories,4階以上の建築物数 Buildings with 4 stories and more／5階 5 Stories,4階以上の建築物数 Buildings with 4 stories and more／6階 6 Stories,4階以上の建築物数 Buildings with 4 stories and more／7階 7 Stories,4階以上の建築物数 Buildings with 4 stories and more／8階 8 Stories,4階以上の建築物数 Buildings with 4 stories and more／9階 9 Stories,4階以上の建築物数 Buildings with 4 stories and more／10階 10 Stories,4階以上の建築物数 Buildings with 4 stories and more／11階 11 Stories,4階以上の建築物数 Buildings with 4 stories and more／12階 12 Stories,4階以上の建築物数 Buildings with 4 stories and more／13～29階 13-29 Stories,4階以上の建築物数 Buildings with 4 stories and more／30階以上 30 Stories and higher,地階を有する建築物数 Buildings with basements／総数 Total,地階を有する建築物数 Buildings with basements／地下1階 1 Basement level,地階を有する建築物数 Buildings with basements／地下2階 2 Basement levels,地階を有する建築物数 Buildings with basements／地下3階 3 Basement levels,地階を有する建築物数 Buildings with basements／地下4階以下 4 Basement levels and lower
,総数,Total,,,,167360,50138,40680,19236,14877,12184,9247,7429,4098,2808,6334,329,70371,62328,6445,1084,514
,区部,All ku,,,,141856,40994,32199,16809,13272,10948,8573,6780,3603,2586,5771,321,60117,52779,5826,1018,494
1,千代田区,Chiyoda-ku,丸の内署,Marunouchi F. Sta.,,197,16,13,5,4,11,21,16,12,3,73,23,244,66,55,38,85
2,千代田区,Chiyoda-ku,麹町署,Kojimachi F. Sta.,,1998,197,308,304,263,266,259,177,50,39,123,12,1313,945,274,57,37
3,千代田区,Chiyoda-ku,神田署,Kanda F. Sta.,,4610,469,809,716,629,662,607,356,88,103,166,5,2285,1935,300,41,9
4,中央区,Chuo-ku,京橋署,Kyobashi F. Sta.,,3602,292,474,446,457,535,544,376,140,146,189,3,2234,1679,442,73,40
5,中央区,Chuo-ku,日本橋署,Nihonbashi F. Sta.,,3782,305,562,543,511,504,503,377,166,138,169,4,1896,1565,238,67,26
6,中央区,Chuo-ku,臨港署,Rinko F. Sta.,,622,106,85,60,58,96,38,37,17,32,64,29,212,163,35,6,8
7,港区,Minato-ku,芝署,Shiba F. Sta.,,4041,473,650,496,471,505,539,331,151,115,267,43,2176,1756,301,78,41
8,港区,Minato-ku,麻布署,Azabu F. Sta.,,2436,561,500,316,280,237,187,106,65,50,126,8,1739,1481,208,33,17
9,港区,Minato-ku,赤坂署,Akasaka F. Sta.,,1970,406,390,260,207,206,189,128,53,34,86,11,1660,1351,236,56,17
10,港区,Minato-ku,高輪署,Takanawa F. Sta.,,1316,317,258,137,123,115,86,70,46,35,105,24,811,663,108,29,11
11,新宿区,Shinjuku-ku,四谷署,Yotsuya F. Sta.,,2052,432,416,249,198,198,211,173,79,26,70,0,1287,1091,162,32,2
12,新宿区,Shinjuku-ku,牛込署,Ushigome F. Sta.,,2489,648,645,315,236,164,125,122,62,55,112,5,1308,1148,135,18,7
13,新宿区,Shinjuku-ku,新宿署,Shinjuku F. Sta.,,5152,1541,1156,561,407,367,343,285,132,99,225,36,2943,2395,422,77,49
14,文京区,Bunkyo-ku,小石川署,Koishikawa F. Sta.,,2542,690,575,290,219,160,163,126,111,66,140,2,1181,1024,130,17,10
15,文京区,Bunkyo-ku,本郷署,Hongo F. Sta.,,2574,519,512,309,248,252,189,180,98,79,188,0,1305,1148,128,22,7
16,台東区,Taito-ku,上野署,Ueno F. Sta.,,3291,567,656,476,388,351,285,212,114,84,155,3,1366,1223,116,12,15
17,台東区,Taito-ku,浅草署,Asakusa F. Sta.,,3010,581,679,411,294,270,259,199,114,65,138,0,901,849,42,9,1
