年次,Year,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,国 Central Government／床面積の合計 Total floor space,国 Central Government／工事費予定額 Estimated construction cost,都道府県 Prefectures／床面積の合計 Total floor space,都道府県 Prefectures／工事費予定額 Estimated construction cost,区市町村 KuShi，Machi and Mura／床面積の合計 Total floor space,区市町村 Ku，Shi，Machi and Mura／工事費予定額 Estimated construction cost,会社 Companies／床面積の合計 Total floor space,会社 Companies／工事費予定額 Estimated construction cost,会社でない団体 Organization other than companies／床面積の合計 Total floor space,会社でない団体 Organization other than companies／工事費予定額 Estimated construction cost,個人 Individuals／床面積の合計 Total floor space,個人 Individuals／工事費予定額 Estimated construction cost
平成24,2012,15255070,337932355,103999,2370996,510897,11074308,351152,9491030,8450954,180725925,1890211,49088018,3947857,85182078
平成25,2013,15045565,336074519,88028,2926016,645374,17037824,304036,8430738,8359018,179525138,1190018,31169450,4459091,96985353
平成26,2014,15586694,372847050,188931,4452061,412379,8444481,371363,10246992,8528117,197439626,2231245,65379875,3854659,86884015
平成27,2015,14710082,389567531,117289,3603111,292619,7073563,256490,8088912,8704437,231003737,1528317,51361200,3810930,88437008
平成28,2016,15160287,440391062,385389,22790422,369080,9589569,265594,9909651,9123661,258570761,1375706,54166730,3640857,85363929
,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,
3-8  建 築 主 別 着 工 建 築 物 （平成24～28年） ,,,,,,,,,,,,,,,
この表は， 建築基準法の規定によって， 建築主から知事に届出のあった建築工事届による着工建築物の数であり， ,,,,,,,,,,,,,,,
この調査対象は延面積10平方メートルを超える建築物である。 ,,,,,,,,,,,,,,,
　　（単位　面積　平方メートル， 金額　万円） ,,,,,,,,,,,,,,,
　　資料：国土交通省 「建築着工統計調査報告」（ホームページ） ,,,,,,,,,,,,,,,
3-8  BUILDING CONSTRUCTION STARTS BY BUILDING OWNER ( 2012-2016 ) ,,,,,,,,,,,,,,,
Data refer to the number of building constructions started after submission of construction notification to the Governor by the ,,,,,,,,,,,,,,,
builders as prescribed in the Building Standards Act and covers buildings with total floor space of more than 10 square meters.,,,,,,,,,,,,,,,
(Space in ㎡，Value in 10 thousand yen),,,,,,,,,,,,,,,
Source: Ministry of Land，Infrastructure，TransportandTourism,,,,,,,,,,,,,,,
