年次,Year,区分 Classification,項番 Item Numbers,地域階層,地域コード,地域,District,構造と長さ,Structure and Length,総数 Total／橋数 Number,総数 Total／橋長 Length,総数 Total／橋面積 Area,一般国道 （指定区間外） General national highways (outside designated sections)／橋数 Number,一般国道 （指定区間外） General national highways (outside designated sections)／橋長 Length,一般国道 （指定区間外） General national highways (outside designated sections)／橋面積 Area,主要地方道 Main regional roads／橋数 Number,主要地方道 Main regional roads／橋長 Length,主要地方道 Main regional roads／橋面積 Area,一般都道 General metropolitan roads／橋数 Number,一般都道 General metropolitan roads／橋長 Length,一般都道 General metropolitan roads／橋面積 Area
平成25,2013,,,0,13000,東京都,Tokyo to,総数,Total,1200,74586,1147038,47,4285,48189,551,43717,687734,602,26584,411115
平成26,2014,,,0,13000,東京都,Tokyo to,総数,Total,1206,76133,1169077,48,4384,49506,555,44833,703301,603,26916,416270
平成27,2015,,,0,13000,東京都,Tokyo to,総数,Total,1230,77395,1188728,48,4384,49506,561,45380,714426,621,27631,424796
平成28,2016,,,0,13000,東京都,Tokyo to,総数,Total,1226,77124,1181471,48,4384,49506,557,45188,707631,621,27551,424334
平成29,2017,,,0,13000,東京都,Tokyo to,総数,Total,1226,77102,1180871,48,4384,49506,556,45162,707010,622,27556,424355
平成29,2017,構造・橋長別By structure and length,1,0,13000,東京都,Tokyo to,総数／15ｍ未満,Total／15ｍless than,541,3914,56923,13,99,2034,207,1665,36087,321,2150,18801
平成29,2017,構造・橋長別By structure and length,2,0,13000,東京都,Tokyo to,総数／15～30未満,Total／15～30less than,226,5033,75199,6,94,1437,110,2332,31059,110,2607,42703
平成29,2017,構造・橋長別By structure and length,3,0,13000,東京都,Tokyo to,総数／30～100未満,Total／30～100less than,253,13647,221413,21,1446,16135,106,5695,114055,126,6506,91223
平成29,2017,構造・橋長別By structure and length,4,0,13000,東京都,Tokyo to,総数／100～以上,Total／100～and over,206,54508,827336,8,2745,29900,133,35470,525809,65,16293,271628
平成29,2017,構造・橋長別By structure and length,,0,13000,東京都,Tokyo to,鋼橋／総数,Steelbridges／Total,502,49831,738150,36,4128,44698,266,31892,431554,200,13811,261898
平成29,2017,構造・橋長別By structure and length,1,0,13000,東京都,Tokyo to,鋼橋／15ｍ未満,Steelbridges／15ｍless than,70,695,8865,6,60,209,29,317,2598,35,318,6058
平成29,2017,構造・橋長別By structure and length,2,0,13000,東京都,Tokyo to,鋼橋／15～30未満,Steelbridges／15～30less than,112,2426,16769,3,42,614,72,1642,5590,37,742,10565
平成29,2017,構造・橋長別By structure and length,3,0,13000,東京都,Tokyo to,鋼橋／30～100未満,Steelbridges／30～100less than,172,9090,148250,19,1281,13975,72,3146,71614,81,4663,62661
平成29,2017,構造・橋長別By structure and length,4,0,13000,東京都,Tokyo to,鋼橋／100～以上,Steelbridges／100～and over,148,37620,564265,8,2745,29900,93,26787,351752,47,8088,182614
平成29,2017,構造・橋長別By structure and length,,0,13000,東京都,Tokyo to,コンクリート橋／総数,Concretebridges／Total,656,14974,238425,12,256,4808,250,6482,113018,394,8236,120599
平成29,2017,構造・橋長別By structure and length,1,0,13000,東京都,Tokyo to,コンクリート橋／15ｍ未満,Concretebridges／15ｍless than,465,3175,47426,7,39,1825,176,1328,33349,282,1808,12252
