地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated building cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated building cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated building cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated building cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated building cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated building cost
0,13000,,総数,Tokyo-to,49110,15160287,440391062,36044,4130801,73250463,128,848477,29300219,2895,4911291,158589388,9732,5204777,177872742,16,1129,14142,295,63812,1364108
1,13100,,区部,All ku,30096,11596016,364805724,20618,2421828,43922136,112,747460,26497902,2491,4210750,139807936,6635,4156896,153247471,11,1016,13116,229,58066,1317163
5,13101,1,千代田区,Chiyoda-ku,165,814484,37154222,8,1087,11526,7,57316,2696473,53,154428,5801909,90,593485,28349664,-,-,-,7,8168,294650
5,13102,2,中央区,Chuo-ku,191,613403,26871378,16,1807,26105,3,12038,670000,85,216652,7744609,84,382773,18430069,1,34,x,2,99,x
5,13103,3,港区,Minato-ku,446,623931,24327119,94,12536,226910,11,151870,5157200,115,164765,6385989,203,290128,12525550,-,-,-,23,4632,31470
5,13104,4,新宿区,Shinjuku-ku,774,726448,34637715,396,49214,899676,10,40144,2461614,149,179371,5536848,215,457666,25739257,-,-,-,4,53,320
5,13105,5,文京区,Bunkyo-ku,416,331487,13437617,256,29310,530604,1,683,x,60,280140,12255778,99,21354,x,-,-,-,-,-,-
5,13106,6,台東区,Taito-ku,624,450254,14380667,265,28851,619917,3,6055,190400,152,262406,8776798,201,152857,4793083,-,-,-,3,85,469
5,13107,7,墨田区,Sumida-ku,790,272165,7277791,458,50247,864137,3,8618,294000,106,132304,4005785,219,80576,2107669,2,74,x,2,346,x
5,13108,8,江東区,Koto-ku,1010,539715,15092932,451,49417,851987,7,52012,2083000,123,210922,6159885,412,225768,5987304,-,-,-,17,1596,10756
