年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,特別区税 Ku taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,特別区財政調整交付金 Finance adjustment grants for ku,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成26,2014,13100,,区部,All ku,3577931,990706,13730,15157,35265,156888,37,4311,4489,981603,974,30877,85965,15986,594437,210435,20561,5022,167469,110386,73829,59804
平成27,2015,13100,,区部,All ku,3647001,1008264,14488,13147,31559,253641,39,6077,4402,996356,1021,33137,86118,16005,608021,222626,44463,4985,65145,115081,74657,47771
平成28,2016,13100,,区部,All ku,3728107,1040544,14521,3684,19080,230087,38,6150,4461,987804,970,36236,89763,15915,652858,242369,18720,4386,103294,119118,73636,64471
平成28,2016,13101,1,千代田区,Chiyoda-ku,59887,18442,298,51,266,10948,-,137,11,6036,22,357,4672,551,3866,2660,1073,907,3862,4219,1509,-
平成28,2016,13102,2,中央区,Chuo-ku,98580,26441,382,84,439,9561,-,176,61,14312,26,674,5937,782,14893,5938,1001,47,5307,4363,4906,3251
平成28,2016,13103,3,港区,Minato-ku,135353,76826,443,254,1324,13478,-,203,46,2885,41,446,8239,724,13329,5912,1305,484,2292,4717,2405,-
平成28,2016,13104,4,新宿区,Shinjuku-ku,143502,45583,472,151,785,12193,-,214,85,28348,40,1723,3874,873,27119,9542,1313,59,1285,4318,2741,2786
平成28,2016,13105,5,文京区,Bunkyo-ku,86384,32006,267,118,613,5739,-,121,51,17156,19,1158,2158,451,9435,4879,936,102,6857,2951,1366,-
平成28,2016,13106,6,台東区,Taito-ku,98001,20962,344,66,344,5487,-,157,88,29569,25,667,2714,641,21471,6703,589,72,564,3941,3099,500
平成28,2016,13107,7,墨田区,Sumida-ku,115164,23273,356,80,414,5941,-,162,160,39968,27,1772,2528,476,21826,7184,1705,316,2127,2952,1268,2629
平成28,2016,13108,8,江東区,Koto-ku,190724,49986,667,174,901,11623,22,306,315,58096,47,3255,3103,756,31561,11160,246,1417,7709,5101,3294,985
平成28,2016,13109,9,品川区,Shinagawa-ku,164543,46954,532,164,850,10255,-,242,156,40993,32,1873,4784,611,30190,12262,920,30,4564,5050,4080,-
平成28,2016,13110,10,目黒区,Meguro-ku,93336,43461,364,162,839,5928,-,166,64,12822,27,1063,2409,460,11754,5898,79,141,1515,3752,784,1648
平成28,2016,13111,11,大田区,Ota-ku,257275,73006,2011,265,1373,15418,-,456,345,72168,69,2710,7066,1096,48669,16782,402,46,3476,7354,4081,483
平成28,2016,13112,12,世田谷区,Setagaya-ku,296894,119445,1220,445,2302,17689,-,555,282,44436,90,2381,6133,1297,43922,22339,1936,117,201,10183,9562,12361
平成28,2016,13113,13,渋谷区,Shibuya-ku,92879,48785,396,169,879,8420,-,180,41,3697,33,787,3439,698,10565,5412,601,55,-,7871,852,-
平成28,2016,13114,14,中野区,Nakano-ku,126519,33159,415,121,629,6612,-,188,108,36993,25,888,1839,542,22083,7961,2451,31,5548,3167,1920,1838
平成28,2016,13115,15,杉並区,Suginami-ku,186736,63341,740,240,1234,11002,-,335,185,40683,56,1104,4198,766,26828,14216,564,25,4422,7333,1850,7613
平成28,2016,13116,16,豊島区,Toshima-ku,128122,31468,431,108,561,7514,-,195,92,30405,25,1146,2912,610,20626,8282,390,14,11174,373,3636,8162
平成28,2016,13117,17,北区,Kita-ku,147003,28067,455,99,512,7040,9,207,157,50206,27,1569,3003,537,26154,9689,349,15,7047,3559,3373,4929
