地域階層,地域コード,項番 Item number,地域,District,登録自動車 Motor vehicles registered／総数 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／計 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／普通車 Ordinary,登録自動車 Motor vehicles registered／貨物自動車 Trucks／小型車 Small,登録自動車 Motor vehicles registered／貨物自動車 Trucks／被けん引車 Trailers,登録自動車 Motor vehicles registered／乗用車 Passenger cars／計 Total,登録自動車 Motor vehicles registered／乗用車 Passenger cars／普通車 Ordinary,登録自動車 Motor vehicles registered／乗用車 Passenger cars／小型車 Small,登録自動車 Motor vehicles registered／乗合自動車 Buses,登録自動車 Motor vehicles registered／特種用途車 Special use motor vehicles,登録自動車 Motor vehicles registered／大型特殊車 Heavy special type motor vehicles,1)小型二輪車（検査） Light two-wheeled motor vehicles ( Inspected ),2)課税登録台数軽自動車(四輪車) Light four-wheeled motor vehicles registered,有料駐車場 Pay parking lots／駐車場数 Quantity,有料駐車場 Pay parking lots／収容台数 Capacity,,
0,13000,,総数,Tokyo-to,3152538,385763,124869,252289,8605,2658868,1511237,1147631,16154,77969,13784,169306,718623,1585,275063,,
1,13100,,区部,All ku,1966748,278966,89090,182005,7871,1617737,988747,628990,10291,50652,9102,113009,310897,1236,199519,,
5,13101,1,千代田区,Chiyoda-ku,31146,4452,440,4008,4,25915,17547,8368,68,647,64,926,2954,171,19254,,
5,13102,2,中央区,Chuo-ku,41689,6677,921,5700,56,33690,23252,10438,77,968,277,1701,3984,125,15624,,
5,13103,3,港区,Minato-ku,76778,8506,1932,6181,393,66116,51133,14983,288,1276,592,3473,5191,171,23647,,
5,13104,4,新宿区,Shinjuku-ku,52639,6638,1150,5479,9,44398,28233,16165,186,1380,37,3697,8053,94,15873,,
5,13105,5,文京区,Bunkyo-ku,32203,3869,568,3300,1,27878,18306,9572,27,421,8,2062,4046,29,3085,,
5,13106,6,台東区,Taito-ku,34166,6854,881,5937,36,26606,15439,11167,41,619,46,1856,6274,43,4126,,
5,13107,7,墨田区,Sumida-ku,48776,9573,2369,7178,26,37537,21151,16386,167,1138,361,3327,8747,25,4653,,
5,13108,8,江東区,Koto-ku,111857,26926,11711,13316,1899,77257,46956,30301,767,5185,1722,5184,13174,109,28750,,
5,13109,9,品川区,Shinagawa-ku,70699,11707,2843,7127,1737,56627,35865,20762,476,1574,315,4558,8901,61,9727,,
5,13110,10,目黒区,Meguro-ku,53765,3782,955,2797,30,48854,34458,14396,239,832,58,3595,5327,20,1565,,
