年次,Year,月次,Month,区分,Classification,総数 Total,農，水産品 Agricultural and fishery products,金属 Metals,金属製品，機械 Metal products and machinery,窯業品 Ceramics,化学工業品 Chemicals,紙 ，パルプ Paper and pulp,繊維工業品 Textiles,食料工業品 Processed food,雑工業品 Miscellaneous manufactured articles,雑品 Miscellaneous
平成26,2014,,,入庫, Incoming,8033179,704341,32135,842370,16190,304442,2353066,15834,1704641,1168861,891299
平成27,2015,,,入庫, Incoming,8036202,715535,17430,895893,18443,439684,2176270,14217,1711505,1054718,992507
平成28,2016,,,入庫, Incoming,7918468,700021,5080,922676,12580,302004,2092819,13361,1732892,1134167,1002868
平成28,2016,1,Jan.,入庫, Incoming,608073,53716,499,75937,1168,20667,169269,1278,126304,87002,72233
平成28,2016,2,Feb.,入庫, Incoming,699680,63696,359,132365,1311,22982,177546,831,131798,89930,78862
平成28,2016,3,Mar.,入庫, Incoming,738991,62700,468,93740,1107,25177,194600,1228,139862,94328,125781
平成28,2016,4,Apr.,入庫, Incoming,676946,60613,397,90968,1020,25783,177415,1184,142979,84366,92221
平成28,2016,5,May,入庫, Incoming,695101,66089,463,64211,1021,25002,175585,883,144254,138641,78952
平成28,2016,6,June,入庫, Incoming,660830,57488,342,78200,892,23671,169616,1169,151981,88536,88935
平成28,2016,7,July,入庫, Incoming,647894,55996,398,69257,1034,22302,160347,1190,149224,87122,101024
平成28,2016,8,Aug.,入庫, Incoming,618222,59960,470,62750,1030,19953,163645,1105,154629,84792,69888
平成28,2016,9,Sept.,入庫, Incoming,633915,47655,520,67119,985,24454,171809,1035,146762,90109,83467
平成28,2016,10,Oct.,入庫, Incoming,619913,59091,364,58162,1072,24478,176420,1432,133762,94985,70147
平成28,2016,11,Nov.,入庫, Incoming,668325,50577,398,66268,1016,41867,177265,1027,158625,97960,73322
平成28,2016,12,Dec.,入庫, Incoming,650578,62440,402,63699,924,25668,179302,999,152712,96396,68036
平成26,2014,,,在庫, Inventory balance,1449367,95970,6087,154184,2082,49279,279925,4142,314040,183947,359711
平成27,2015,,,在庫, Inventory balance,1456050,101526,3321,159649,1883,58036,281608,3716,311151,177997,357163
平成28,2016,,,在庫, Inventory balance,1474377,96110,3459,119357,1431,70183,259757,3355,312289,246474,361962
平成28,2016,1,Jan.,在庫, Inventory balance,1469629,101398,3559,160037,1947,58899,282058,4185,322144,183902,351500
平成28,2016,2,Feb.,在庫, Inventory balance,1525934,106085,3621,211127,2077,59573,276521,3979,319799,184139,359013
平成28,2016,3,Mar.,在庫, Inventory balance,1514810,109837,3595,166199,1952,60222,270288,4188,319506,180101,398922
平成28,2016,4,Apr.,在庫, Inventory balance,1502795,105352,3390,168766,1875,62284,273529,4066,306678,180382,396473
平成28,2016,5,May,在庫, Inventory balance,1557683,114016,3337,129269,1678,62800,286857,4024,320821,243162,391719
平成28,2016,6,June,在庫, Inventory balance,1573672,111186,3309,139576,1582,60879,281705,3792,328040,247221,396382
平成28,2016,7,July,在庫, Inventory balance,1569294,107819,3367,138212,1601,59813,279063,3758,324749,248689,402223
平成28,2016,8,Aug.,在庫, Inventory balance,1547963,107792,3468,134697,1633,60187,268152,3635,331309,249102,387988
平成28,2016,9,Sept.,在庫, Inventory balance,1531118,97703,3639,130007,1592,60649,261603,3355,332774,252057,387739
平成28,2016,10,Oct.,在庫, Inventory balance,1507416,97241,3320,123827,1602,60068,264538,3509,322314,254212,376785
平成28,2016,11,Nov.,在庫, Inventory balance,1508122,90697,3356,122160,1504,79110,257755,3372,328106,253871,368191
平成28,2016,12,Dec.,在庫, Inventory balance,1474377,96110,3459,119357,1431,70183,259757,3355,312289,246474,361962
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-24  普通営業倉庫の使用状況 （平成26～28年) 4-24 REGULAR COMMERCIAL WAREHOUSES ( 2014-2016 ),,,,,,,,,,,,,,,,
この表は区部のみである。 「在庫」 は年末又は月末現在である。,,,,,,,,,,,,,,,,
Figures refer to the ku area. Figures for “Stocks” are as of the end of the year or month stated.,,,,,,,,,,,,,,,,
資料：東京倉庫協会「保管貨物１０品目別残高表」 Source: Tokyo Warehousing Association Inc.,,,,,,,,,,,,,,,,
（単位　トン） (In metric tons),,,,,,,,,,,,,,,,
